Specific Domains	Type	Type	Type	Type	Type	Type
The Velvet Revolution	Music Group	Group	Organization, Music Genre	Genre		
the War on Terror	War, Political Movement	Political philosophy	Struggle			
the Woman's movement	Feminism, Political Movement	Political philosophy	Struggle			
the Working Class	Social Group	Group	Political Philosophy			
The X-Files	TV Show	Drama, Science Fiction	Fictional World			
The X-Men	Movie, Comic Book	Drama, Science Fiction	Fictional World			
Theatre	Art Genre	Genre				
Thimble Theatre	Animation	Comedy	Fictional World			
Tim Burton's imagination	Imagination	Fictional World	Art Genre	Genre		
TJ Hooker	TV Show, Fictional Character	Drama	Fictional World			
Tomb Raider	Movie, Video games	Drama	Fictional World			
Toy Story	Movie, Animation	Comedy, Drama	Fictional World			
Traditional Art	Art	Art Genre	Genre			
Transformers	Movie, Animation	Science Fiction, Drama	Fictional World			
Tweeny music	Music	Music Genre	Genre			
Twilight	Movie	Fantasy, Drama	the Vampire world	Fictional World		
Twin Peaks	TV Show	Fantasy, Drama	Fictional World			
Victorian England	Historical culture, Era, Regional culture	Culture				
Victorian literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline				
Victorian London	Historical culture, Era, Regional culture	Culture				
Victorian medicine	Historical science	Medicine	Science			
Video games	Art Genre	Genre				
Vietnam War	Era, Political Culture, Political Philosophy, History, War	Struggle				
Violin music	Instrumental music	Music	Music Genre	Genre		
Vulcan	Fictional Place					
Wall Street	Place, Regional culture, Business	Fictional World				
Walt Disney animation	Animation	Art Genre	Genre			
War	Struggle					
War And Peace	Victorian Novel, Victorian literature	Novel	Drama	Fictional World		
War movies	Movie Genre	Genre				
Warner Bros animation	Animation	Art Genre	Genre			
Westerns	Movie Genre	Genre				
Westeros	Fictional Place	Fictional World				
Whaling	Specialist Activity, Business	Activity				
Whitehall	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy				
Wikileaks	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy				
World War I	War	Struggle				
World War II	War	Struggle				
Wrestling	Sporting Activity, Sport	Activity, Contest	Struggle			
Zoology	Science	Academic Discipline	Discipline			
Symbology	Science	Academic Discipline	Discipline			
Iconology	Science	Academic Discipline	Discipline			
The Far Side	Cartooning	Comedy Genre 	Genre	Fictional World		
The Marx Brothers	Comedy Group	Group, Genre				
SPECTRE	Terrorist Organization	Criminal Organization	Organization, Culture			
Personal Computers	Computers	Technology Culture	Technology			
Computers	Technology Culture	Technology				
The World Wide Web	Computers	Technology Culture	Technology			
The Internet	Computers	Technology Culture	Technology			
The Big Lebowski	Movie	Comedy	Fictional World			
Magic	Specialist Activity, Magic Genre	Genre				
Mentalism	Magic	Specialist Activity, Magic Genre	Genre			
Show Business	Business, Cultural Phenomenon	Struggle				
Bowling	Sporting Activity, Sport	Content	Struggle			
Facebook	Company, Communication Network	Business, Framework				
Microsoft	Company, Communication Network	Business, Framework				
Blade Runner	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
Norse mythology	Mythology	Religion	Culture	Fictional World		
Mythology	Religion	Culture	Fictional World			
The Chronicles of Riddick	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
Bletchley Park	Country House	Military Installation	Place			
Artificial Intelligence	Computers	Technology				
The Hyborian Age	Mythology	Culture	Fictional World			
Fight Club	Movie	Drama	Fictional World			
Consumerism	Political Culture, Political Philosophy	Culture, Philosophy				
Supernatural	TV Show	Horror, Drama	Fictional World			
Demonology	Mythology	Religion	Culture	Fictional World		
Christianity	Religion	Culture				
Satanism	Mythology	Religion	Culture	Fictional World		
South Park	TV Show, Animation	Comedy	Fictional World			
S.H.I.E.L.D	Government Organization, Technology Culture	Group, Organization	Culture	Fictional World		
Continental philosophy	Political Culture, Political Philosophy	Culture, Philosophy				
French philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Modern philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
 the Clinton Era	Political Culture, Era	Culture				
Krypton	Fictional Place					
Alien Science	Science, Academic Discipline	Discipline				
Regency England	Era	British culture	Culture			
Hellraiser	Movie, Comic Book	Horror, Drama	Fictional World			
Dark Horse Comics	Publishing Company	Company, Business, Genre	Organization			
B.P.R.D.	Government Organization, Technology Culture	Organization, Culture				
Two And A Half Men	TV Show	Comedy	Fictional World			
Escape From New York	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
Borat!	Movie	Comedy	Fictional World			
Ali G Indahouse	Movie, TV Show	Comedy	Fictional World			
Only Fools and Horses 	TV Show	Comedy	Fictional World			
Mutiny on the Bounty	Movie	Drama	History			
