Category	When Subject	When Object
Cyclist	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Propagandist	propagandize_for, popularize, shill_for, influence, speak_for, lie_for	are_popularized_by, speak_through, are_marketed_by
Judge	prosecute, imprison, incarcerate, evaluate, disqualify, listen_to, condemn, rank	are_prosecuted_by, are_charged_by, testify_before, are_judged_by, seek_sympathy_from, argue_before, are_disqualified_by, are_condemned_by, are_evaluated_by
Lecher	pick_up, pursue, woo, seduce, charm, sleep_with, are_rejected_by	are_charmed_by, are_seduced_by, are_wooed_by, take_up_with, sleep_with, are_kissed_by, attract, are_deflowered_by, reject
Fashion Designer	style_for, beautify, design_for, create_for	model_for, pose_for, attract
Basketball Player	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by, are_fielded_by	coach, train, play_against, disqualify
Scholar	study, read_the_works_of, write_about, study_under, read_about, are_published_by	publish, learn_with, are_studied_by
Female Impersonator	impersonate, mimic, entertain, imitate, are_uncovered_by, are_mistaken_for, resemble	are_entertained_by, are_copied_by, are_imitated_by
Sister	live_with, look_after, are_wooed_by	live_with, write_to, woo
Motorcyclist	transport, drive_for, are_accompanied_by	navigate_for, are_driven_around_by, travel_with, accompany
Soccer player	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Trader	buy_from, sell_to, sell_via, export_to, are_guaranteed_by, sell_through, supply, supply_to	guarantee, are_supplied_by
Mother	nurture, breastfeed, scold, chastise, teach, raise, baptize, care_for, give_birth_to, provide_for	look_up_to, learn_from, study_under, are_taught_by, are_raised_by, are_scolded_by, are_chastised_by, are_named_by
Vigilante	preach_to,  accuse, testify_against, punish, catch, capture, pursue, arrest, chastise, beat_up, track_down, whip, lay_a_trap_for, take_aim_at	are_punished_by, are_pursued_by, are_accused_by, are_arrested_by, are_chastised_by, are_whipped_by, are_tracked_by, are_lured_by, run_away_from, are_detained_by
Brother	live_with, woo	live_with, write_to, are_wooed_by
Paleontologist	look_for, study, pursue, seek, find	are_uncovered_by, are_discovered_by, are_pursued_by, are_probed_by, are_chronicled_by, are_found_by
Fascist	threaten, intimidate, bully, oppress, suppress, repress, silence, subjugate, imprison, incarcerate, cast_off, suppress, spread_lies_about, coerce	are_threatened_by, are_intimidated_by, are_subjugated_by, are_expelled_by, are_suppressed_by, are_mistreated_by, are_detained_by
Linguist	study, read_the_works_of, write_about, study_under, read_about, are_published_by	publish, learn_with, are_studied_by
Showman	impress, inspire, entertain, mystify	are_impressed_by, are_intrigued_by, are_entertained_by, believe_in, lose_faith_in, are_enchanted_by, are_mystified_by
Pope	preach_to, chastise, pray_for, mentor, counsel, baptize, ordain, indoctrinate, brainwash, minister_to, excommunicate	look_up_to, worship_with, lose_faith_in, pray_to, are_advised_by, are_counseled_by,  pray_with, confess_to, are_ordained_by, are_indoctrinated_by, are_brainwashed_by, look_up_to, pray_for, are_blessed_by, are_excommunicated_by
Skeptic	distrust, lose_faith_in, are_unimpressed_by, are_unimpressed_with	are_distrusted_by, fail_to_impress
Newspaper Magnate	propagandize_for, rouse, commission, publish, spread_lies_about, are_sued_by	are_published_by, sign_with, are_roused_by, write_for, are_scripted_by
Architect	build_for, create_for, design_for	hire, recruit
Therapist	diagnose, treat, listen_to, advise, influence, are_trusted_by	are_diagnosed_by, are_treated_by, confide_in, confess_to, trust
Producer	supervise, delegate_to, recruit	are_supervised_by, are_recruited_by, report_to
Grump	complain_to, resent, criticize, alienate, are_frustrated_by, scold, chastise, dislike	are_hindered_by, are_criticized_by, anger, are_sued_by, are_chastised_by, are_scolded_by, are_driven_mad_by, dislike, are_resented_by
Exile	flee_from, run_away_from, hide_from, are_discovered_by, are_expelled_by, are_evicted_by, leave_behind, are_dismissed_by	expel, evict, pursue, dismiss
Thug	threaten, intimidate, bully, beat_up, assault, obey, kill_for, torture, torment, are_arrested_for_killing, coerce, are_arrested_for_hurting, assassinate	intimidate_with, threaten_with, are_obeyed_by, are_tortured_by, are_tormented_by, are_assaulted_by
Old Man	counsel, mentor, advise	seek_advice_from, are_advised_by, are_counseled_by, consult_with, confer_with, look_up_to, consult
Shyster	trick, deceive, exploit, manipulate, represent, corrupt, bribe, blackmail, pay_off, buy_off, lead_astray, defraud, argue_before, are_retained_by, settle_with	are_represented_by, are_defended_by, are_accused_by,  act_via, act_through, are_bribed_by, are_bought_off_by, are_corrupted_by, are_defrauded_by
News Reader	interview, host, charm, chat_with	are_informed_by, listen_to
Anchorman	interview, host, charm, chat_with	are_informed_by, listen_to, are_interviewed_by, are_probed_by
AI Program	harden_toward, rebel_against, turn_against, are_disillusioned_by, disobey	disillusion, lose_faith_in, are_disobeyed_by, underestimate, are_challenged_by
Software Agent	harden_toward, rebel_against, turn_against, are_disillusioned_by, disobey	disillusion, lose_faith_in, are_disobeyed_by, underestimate, unleash, are_challenged_by
Opera Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, sign_with, sing_with	sing_with, heckle, boo, are_entertained_by
French Buffoon	are_exploited_by, are_manipulated_by, are_cheated_by, are_tricked_by, are_underestimated_by, fail_to_impress	laugh_at, mock, fool, trick, exploit, manipulate, cheat, underestimate, are_hindered_by, are_driven_mad_by
Executive	supervise, delegate_to, recruit, hire, fire	are_supervised_by, are_recruited_by, report_to, are_fired_by, are_hired_by
Pretender	impersonate, seduce, fool, trick, deceive, are_uncovered_by, are_mistaken_for	are_fooled_by, are_tricked_by, are_deceived_by
Cartoonist	satirize, laugh_at, paint, mock, joke_about, take_aim_at	are_satirized_by
Android	harden_toward, rebel_against, turn_against, are_disillusioned_by, disobey, kill_for	disillusion, lose_faith_in, are_disobeyed_by, underestimate, are_challenged_by
Vampire	seduce, charm, deceive, exploit, entice, manipulate, are_feared_by	are_seduced_by, are_charmed_by, are_deceived_by, are_exploited_by, are_manipulated_by, hide_from, are_victimized_by, are_sickened_by, fear
English Buffoon	are_exploited_by, are_manipulated_by, are_cheated_by, are_tricked_by, are_underestimated_by, fail_to_impress	laugh_at, mock, fool, trick, exploit, manipulate, cheat, underestimate, are_hindered_by, are_driven_mad_by
Bodybuilder	intimidate, are_trained_by, are_coached_by, beat_up	coach, train, mentor
Colonel	command, are_obeyed_by, deploy, recruit, enlist	are_commanded_by, obey, are_deployed_by, are_recruited_by, are_enlisted_by
Caveman	hunt, track_down, devour	are_hunted_by, are_tracked_by
Adulteress	are_seduced_by, seduce, sleep_with, cheat_with	cheat_with, sleep_with, seduce
Cowboy	farm_for, whip, round_up, track_down	are_whipped_by, are_tracked_by
Roman Gladiator	fight_against, compete_against, are_trained_by, are_coached_by, beat_up, kill_for, die_for, fight_for	descend_from, train, coach, mentor, enslave
Gladiator	fight_against, compete_against, are_trained_by, are_coached_by, beat_up, kill_for, die_for, fight_for	descend_from, train, coach, mentor, enslave
Hotelier	accommodate, rent_to, host, evict, welcome, receive	are_accommodated_by, are_evicted_by, lease_from, rent_from, are_received_by, are_welcomed_by, are_greeted_by
Songwriter	write_for, create_for	are_scripted_by
Con Man	trick, deceive, exploit, manipulate, take_advantage_of, cheat, blackmail,  lead_astray, defraud, profit_from	are_tricked_by, are_deceived_by, are_defrauded_by, trust, confide_in, are_blackmailed_by, are_cheated_by, are_exploited_by, withhold_payment_from, lose_to
Capitalist	invest_in, fund, finance, profit_from, are_begged_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to
Orator	persuade, charm, propagandize_for, testify_for, testify_against	speak_through, talk_through, are_persuaded_by
Racer	compete_with, are_coached_by, are_trained_by, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Autocrat	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, torment, oppress, subjugate	are_ruled_by, are_dominated_by, are_suppressed_by, are_repressed_by, are_imprisoned_by, are_oppressed_by, are_tormented_by,  stand_up_to, are_incarcerated_by, banish, overthrow, topple, are_oppressed_by, are_persecuted_by, appease, are_subjugated_by
Tycoon	invest_in, fund, finance, lend_to, evict, bribe, exploit,  buy_off, commission, sue, profit_from, are_begged_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to
Informant	leak_to, snitch_to, spy_on, observe	are_observed_by, chat_with
Prisoner	flee_from, run_away_from, hide_from, are_discovered_by,  leave_behind	pursue, chase, chase_after, track_down, lay_a_trap_for, search_for, release, take_as_prisoner, apprehend
Entertainer	entertain, perform_for, are_heckled_by, are_booed_by, rouse	are_entertained_by, laugh_at, are_roused_by
Messiah	save, inspire, preach_to, protect, die_for, indoctrinate, brainwash, are_followed_by	worship, look_up_to, die_for, listen_to, are_indoctrinated_by, are_brainwashed_by, are_inspired_by, pray_to, sacrifice_to, lose_faith_in
Norse God	threaten, intimidate, bully, impress, punish, are_feared_by	descend_from, sacrifice_to, are_punished_by, pray_to
God	save, inspire, preach_to, protect, indoctrinate, brainwash	worship, look_up_to, die_for, listen_to, are_indoctrinated_by, are_brainwashed_by, are_inspired_by, pray_to, sacrifice_to
Convict	flee_from, run_away_from, hide_from, are_discovered_by,  leave_behind, are_incarcerated_by, are_imprisoned_by	pursue, chase, chase_after, track_down, lay_a_trap_for, release
Demonologist	hunt, track_down, kill, exorcize, lay_a_trap_for, banish	are_exorcized_by, are_tracked_by, are_hunted_by, are_lured_by, are_banished_by, haunt
Vampire Slayer	hunt, track_down, kill, exorcize, lay_a_trap_for, banish, are_feared_by	are_exorcized_by, are_tracked_by, are_hunted_by, are_lured_by, are_banished_by, haunt
Demon	are_exorcized_by, are_tracked_by, are_hunted_by, are_lured_by, are_banished_by, are_feared_by, haunt	hunt, track_down, kill, exorcize, lay_a_trap_for, banish, haunt, fear, are_haunted_by
Miser	refuse_to_pay, overwork	are_refused_payment_by, are_underpaid_by, are_overworked_by, are_underappreciated_by, withhold_payment_from
Clerk	wait_on, are_appointed_by, report_to, leak_to, take_messages_for, are_promoted_by, attend_to, answer_questions_from, are_dispatched_by, deliver_to	appoint, promote, summon, dispatch, recall, are_waited_upon_by, are_answered_by
Atheist	lose_faith_in, are_unimpressed_with, are_unimpressed_by	fail_to_impress
Astronomer	look_for, observe, photograph, seek, find	are_observed_by, are_photographed_by, are_found_by
Shopper	buy_from	sell_to, supply
Madman	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, are_diagnosed_by	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by
Host	host, are_visited_by, chat_with, invite, attend_to, interact_with, receive, welcome	visit, are_received_by, are_invited_by, are_welcomed_by, are_greeted_by
Lexicographer	study, read_the_works_of, write_about, study_under, read_about, are_published_by	publish
Police Commissioner	investigate, probe, arrest, cross_examine, interview, grow_suspicious_of, accuse, interrogate	are_investigated_by, are_probed_by, are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, snitch_to, tip_off, are_accused_by, are_interrogated_by
Frontiersman	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for	are_hunted_by, are_caught_by, are_tracked_by
Cannibal	devour, cook_for	are_shocked_by, are_disgusted_by
Escapologist	escape_from, trick, mystify	pursue, chase, chase_after, track_down, lay_a_trap_for, are_tricked_by, are_mystified_by
Sponge	show_loyalty_to, share_stories_with, take_up_with, testify_for, trust, are_trusted_by	confide_in, share_stories_with, trust
Apostle	preach_to, chastise, pray_for, mentor, counsel, baptize, ordain, indoctrinate, brainwash, minister_to, excommunicate	are_excommunicated_by, are_advised_by, pray_with, are_baptized_by, are_brainwshed_by, are_indoctrinated_by
Octopus	complain_to, resent, criticize, are_frustrated_by, scold, chastise	are_hindered_by, are_criticized_by, anger, are_chastised_by, are_scolded_by, are_driven_mad_by
Scrounger	seek_sympathy_from, steal_from	are_begged_by
Boss	command, hire, fire, overwork, profit_from, are_sued_by	are_pushed_too_far_by, stand_up_to, are_hired_by, are_fired_by, report_to, are_underappreciated_by, are_overworked_by, are_underpaid_by, fail_to_deliver_for, work_for, fail_to_deliver_for
Crab	command, hire, fire, overwork, refuse_to_pay, profit_from, complain_to, exploit	are_pushed_too_far_by, stand_up_to, are_hired_by, are_fired_by, report_to, are_underappreciated_by, are_overworked_by, are_underpaid_by, are_exploited_by
Visionary	inspire, are_copied_by, are_imitated_by, teach, seek	are_inspired_by, copy, imitate, learn_from, are_taught_by, study_under, look_up_to, are_sought_by
Veteran	share_stories_with, mentor, train, coach	are_mentored_by, are_trained_by, are_coached_by, are_drilled_by
Golf Player	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Vagabond	seek_sympathy_from	are_begged_by
Developer	build_for, create_for, design_for	evict, expel, lease_from, rent_from
Prosecutor	prosecute, imprison, incarcerate, charge, accuse, argue_before	are_accused_by, are_prosecuted_by, are_imprisoned_by, are_incarcerated_by
Complainer	complain_to, resent, criticize, are_silenced_by, are_frustrated_by, scold, chastise, disagree_with	are_hindered_by, are_criticized_by, anger, slience, are_chastised_by, are_scolded_by, are_driven_mad_by, are_contradicted_by, are_sued_by, are_resented_by
Curmudgeon	complain_to, resent, criticize, disagree_with, are_frustrated_by, scold, chastise, alienate	are_hindered_by, are_criticized_by, anger, are_chastised_by, are_scolded_by, are_driven_mad_by, are_contradicted_by, are_sued_by
Heretic	lose_faith_in, are_censured_by, brief_against, testify_against, alienate, disagree_with, are_excommunicated_by, are_defrocked_by, are_silenced_by, are_cut_off_by	censure, silence, excommunicate, are_contradicted_by
Reggae Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, sign_with, sing_with	sing_with, heckle, boo, are_entertained_by
Ice Hockey Player	compete_with, are_coached_by, are_trained_by, play_against, assault, compete_against, are_disqualified_by, are_fielded_by	coach, train, play_against, disqualify
Confectioner	cook_for, entice	are_enticed_by
Folk Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, sign_with, sing_with	sing_with, heckle, boo, are_entertained_by
Sheriff	prosecute, imprison, incarcerate, charge, accuse	are_accused_by, are_prosecuted_by, are_imprisoned_by, are_incarcerated_by
Divorcee	divorce, marry, pine_for, cry_for	divorce, marry
Puppet	obey, look_up_to, are_manipulated_by, command, attend_to, are_controlled_by, are_freed_by	are_obeyed_by, command, manipulate, lead_astray, control, free
Humanist	are_begged_by, are_moved_by, identify_with, sympathize_with	seek_sympathy_from, obtain_sympathy_from
Damsel	are_rescued_by, are_saved_by, are_wooed_by, are_kidnapped_by, are_snatched_by, are_abducted_by, are_kissed_by	abduct, kidnap, snatch, rescue, save, woo, propose_to, fall_in_love_with, marry
Cross Dresser	impersonate, fool, kiss	are_impersonated_by, beautify, enhance, style_for, are_fooled_by, are_kissed_by
Shooting Guard	compete_with, are_coached_by, are_trained_by, play_against, assault, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Savant	are_underestimated_by, impress	underestimate, are_unimpressed_by
Cyborg	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for	are_hunted_by, are_caught_by, are_tracked_by
Computer	harden_toward, rebel_against, turn_against, are_disillusioned_by, disobey	disillusion, lose_faith_in, are_disobeyed_by, underestimate, are_challenged_by
Cheat	cheat, cheat_on, defraud, exploit	are_used_by, are_defrauded_by, are_cheated_by, are_exploited_by, cheat_with, lose_to
Wrestler	fight_against, struggle_against, compete_with	compete_with, struggle_with
Dreamer	pine_for, create_for, are_inspired_by	are_remembered_by, inspire, enchant
Stuntman	resemble, die_for, impersonate, act_for, are_mistaken_for	are_shielded_by
Patsy	misrepresent, exploit, take_advantage_of, manipulate, deceive, believe_in	trick, fool, are_misrepresented_by, are_manipulated_by, lie_to, are_exploited_by
Widow	mourn_for, pine_for, cry_for	are_remembered_by
Film Maker	propagandize_for, popularize, create_for, photograph	perform_for
Assistant	help, assist, accompany, wait_on, cater_to, are_overworked_by, are_underpaid_by	are_waited_on_by, are_helped_by, are_accompanied_by, overwork
Adman	propagandize_for, popularize, create_for, shill_for, influence, lie_for	talk_through, speak_through, communicate_through, communicate_via, are_popularized_by, sell_through, are_marketed_by
Obsessive	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, are_diagnosed_by	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by
Dwarf	look_up_to, are_overshadowed_by	tower_over, overshadow
Copilot	navigate_for, support, work_with, accompany, travel_with	are_accompanied_by
Symbologist	study, read_the_works_of, write_about, study_under, read_about, are_published_by	publish, learn_with, are_studied_by
Performer	perform_for, perform_with, entertain	are_entertained_by, laugh_at, are_roused_by
District Attorney	prosecute, imprison, incarcerate, charge, accuse, argue_before	are_accused_by, are_prosecuted_by, are_imprisoned_by, are_incarcerated_by
Racist	threaten, intimidate, bully, oppress, suppress, repress, silence, subjugate, imprison, incarcerate, cast_off, suppress, spread_lies_about, offend	are_threatened_by, are_intimidated_by, are_subjugated_by, are_expelled_by, are_suppressed_by, are_offended_by, are_mistreated_by
DJ	entertain, perform_for, are_heckled_by, are_booed_by, rouse	are_entertained_by, laugh_at, are_roused_by
Necromancer	impress, mystify, entertain, enchant, exorcize, are_feared_by	are_impressed_by, are_intrigued_by, are_entertained_by, believe_in, lose_faith_in, are_enchanted_by, fear, are_mystified_by
Farm boy	farm_for, labor_for, sweat_for, are_hired_by, are_overworked_by	hire, overwork
Prince	are_ennobled_by, charm, woo, impress, banish, condescend_to	inherit_from, descend_from, bow_down_to, topple, overthrow, curry_favor_with, kiss_up_to, suck_up_to, lick_up_to
Counsellor	counsel, mentor, advise	confer_with, consult_with, are_advised_by, consult, seek_advice_from, are_counselled_by, are_guided_by, are_molded_by
Maiden	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with, are_kissed_by, are_deflowered_by	abduct, kidnap, snatch, rescue, save, woo, propose_to, fall_in_love_with, marry
Nazi Bureaucrat	threaten, intimidate, bully, oppress, suppress, repress, silence, subjugate, imprison, incarcerate, cast_off, suppress, spread_lies_about, coerce	are_threatened_by, are_intimidated_by, are_subjugated_by, are_expelled_by, are_suppressed_by
Daredevil	impress, entertain, rouse, are_copied_by	are_impressed_by, are_intrigued_by, are_entertained_by, imitate, copy, are_roused_by
Predator	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, molest	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by, catch, capture
Helper	help, assist, accompany, wait_on, cater_to, are_overworked_by, are_underpaid_by	are_waited_on_by, are_helped_by, are_accompanied_by, overwork
Barman	listen_to, chat_with	confide_in, share_stories_with, trust
Barfly	confide_in, share_stories_with, trust, drink_with	listen_to, chat_with, drink_with
Drunk	confide_in, share_stories_with, drink_with	listen_to, chat_with, drink_with
Ascetic	worship, worship_with, believe_in, sacrifice_to, pray_to, pray_with	are_venerated_by, are_worshipped_by
Pickup Artist	pick_up, flirt_with, seduce, sleep_with	are_seduced_by, are_wooed_by, fall_in_love_with
Porn Star	sleep_with, seduce, flirt_with, are_scripted_by	are_disgusted_by, are_shocked_by, sleep_with
Telepath	identify_with, are_moved_by, listen_to, spy_on	are_probed_by
Raccoon	attack, assault, insult, mock, taunt	are_attacked_by, are_assaulted_by, are_insulted_by, are_taunted_by, are_bitten_by
Tree	protect, accompany	are_accompanied_by, are_hurt_by
Rabbit	escape_from, trick, mystify	pursue, chase, chase_after, track_down, lay_a_trap_for, are_tricked_by
Ogre	intimidate, threaten, are_feared_by	fear, are_disgusted_by, are_shocked_by, fear
Pig	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, are_tricked_by	are_hunted_by, are_caught_by, are_tracked_by, elude, trick, fool
Coyote	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, are_tricked_by	are_hunted_by, are_caught_by, are_tracked_by, elude, trick, fool
Pirate	steal_from, rob, defraud, cheat	are_robbed_by, arrest, capture, imprison
Girlfriend	woo, cheat_on, fall_in_love_with, marry, date, pose_for, model_for, break_up_with, dump	propose_to, fall_in_love_with, date
TV Presenter	interview, host, charm, chat_with, speak_to, talk_to	are_interviewed_by, are_questioned_by, answer_questions_from, are_introduced_by, share_stories_with, speak_to, talk_to
Skunk	woo, fall_in_love_with, propose_to, flirt_with	flee_from, escape_from, hide_from, are_wooed_by
Circus Performer	entertain, perform_for, are_heckled_by, are_booed_by, rouse	are_entertained_by, laugh_at
Freak	entertain, perform_for, are_heckled_by, are_booed_by, rouse	are_entertained_by, laugh_at, are_disgusted_by, are_shocked_by
Roman General	command, are_obeyed_by, defeat, subjugate, discipline, deploy, discipline, surrender_to, govern_for	report_to, obey, are_conquered_by, are_defeated_by, are_subjugated_by, are_commanded_by, govern_via, are_disciplined_by, are_deployed_by, descend_from
Seductress	seduce, charm, deceive, exploit, entice, manipulate, cheat_with, flirt_with, attract	are_seduced_by, are_charmed_by, are_deceived_by, are_exploited_by, are_manipulated_by, cheat_with, sleep_with, are_kissed_by, reject
Scandalmonger	spread_lies_about, write_about	are_ruined_by, are_informed_by, leak_to, snitch_to, tip_off
Slave	sweat_for, labor_for, are_enslaved_by, run_away_from, are_controlled_by, are_mistreated_by, are_released_by, are_freed_by	enslave, take_advantage_of, exploit, overwork, refuse_to_pay, control, mistreat, free, withhold_payment_from, release, take_as_prisoner
Roman Slave	sweat_for, labor_for, are_enslaved_by, run_away_from, are_controlled_by, are_mistreated_by, are_released_by, are_freed_by,	enslave, take_advantage_of, exploit, overwork, release, refuse_to_pay, descend_from, control, free, take_as_prisoner
Role Model	model_for, pose_for, influence, inspire	look_up_to, imitate, copy, are_inspired_by
Alien	visit, are_expelled_by	host, expel, evict, receive
Stepmother	torment, abuse, take_advantage_of, exploit, overwork, repress, scold	are_tormented_by, are_abused_by, are_used_by, are_exploited_by, are_overworked_by, are_repressed_by, are_scolded_by, are_traumatized_by, are_mistreated_by
Industrialist	invest_in, fund, finance, lend_to, evict, bribe, exploit,  buy_off, commission, sue, profit_from, are_begged_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to, are_hired_by, sweat_for, labor_for, create_for
Canary	are_hunted_by, are_caught_by, are_tracked_by, elude, trick, fool	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, are_tricked_by
Cat	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, are_tricked_by	are_hunted_by, are_caught_by, are_tracked_by, elude, trick, fool
Mascot	propagandize_for, popularize, represent, shill_for	are_popularized_by, speak_through, are_represented_by
Zealot	are_radicalized_by, commit_to, are_indoctrinated_by, kill_for, die_for, are_brainwashed_by	radicalize, indoctrinate, brainwash, are_followed_by
Despot	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, torment, oppress, subjugate	are_ruled_by, are_dominated_by, are_suppressed_by, are_repressed_by, are_imprisoned_by, are_oppressed_by, are_tormented_by,  stand_up_to, are_incarcerated_by, banish, overthrow, topple, are_oppressed_by, are_persecuted_by, appease, are_subjugated_by
Millionaire	invest_in, fund, finance, lend_to, evict, bribe, blackmail, are_begged_by	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to
Swimmer	compete_with, are_coached_by, are_trained_by, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Mouse	are_hunted_by, are_caught_by, are_tracked_by, elude, trick, fool	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, are_tricked_by
Southern Belle	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with, charm, entice, attract	abduct, kidnap, snatch, rescue, save, woo, propose_to, fall_in_love_with, marry, are_charmed_by
Prophet	inspire, mentor, counsel, guide, are_followed_by	are_inspired_by, learn_from, look_up_to, lose_faith_in, pray_to, sacrifice_to
Trumpeter	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_for, compose_with, perform_with	sing_with, heckle, boo, play_with, compose_with, perform_with
Designer	design_for, create_for	hire, recruit, commission
Business Leader	invest_in, fund, finance, lend_to, evict, bribe, exploit,  buy_off, commission, sue, profit_from, are_begged_by, lead	borrow_from, are_evicted_by, rent_from, steal_from, rob, are bought_off_by, repay, are_underpaid_by, owe_to, are_hired_by, sweat_for, labor_for, create_for, look_up_to, are_led_by
Paranormal Investigator	investigate, probe, grow_suspicious_of, exorcize, kill, banish	are_exorcized_by, are_tracked_by, are_hunted_by, are_lured_by, are_banished_by
Driver	drive_for, transport	are_driven_around_by, are_driven_by, navigate_for
Nurse	tend, look_after, nurture, treat, care_for	are_tended_by, become_dependent_upon, are_healed_by
Runner	compete_with, are_coached_by, are_trained_by, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Fund Manager	invest_in, fund, finance, lend_to	repay, borrow_from
Investment Manager	invest_in, fund, finance, lend_to	repay, borrow_from
Broker	facilitate, negotiate_with, speak_to, talk_to, manage	are_facilitated_by, act_via, are_managed_by
Charlatan	deceive, cheat, defraud, steal_from, fail_to_deliver_for	are_deceived_by, are_cheated_by, are_defrauded_by, lose_faith_in
Embezzler	deceive, cheat, defraud, steal_from	are_deceived_by, are_cheated_by, are_defrauded_by, lose_faith_in, accuse, prosecute
Swindler	deceive, cheat, defraud, steal_from	are_deceived_by, are_cheated_by, are_defrauded_by, lose_faith_in
Nanny	tend, look_after, nurture, treat, scold, chastise	are_tended_by, become_dependent_upon, are_scolded_by, are_chastised_by
Child Minder	tend, look_after, nurture, treat, scold, chastise	are_tended_by, become_dependent_upon, are_scolded_by, are_chastised_by
Nun	preach_to, pray_to, sacrifice_to, worship, look_up_to, pray_with, believe_in, lose_faith_in, condescend_to, scold, minister_to	are_blessed_by, are_worshipped_by, are_scolded_by
Survivalist	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, overcome	are_hunted_by, are_caught_by, are_tracked_by
Chancellor	are_elected_by, appoint, run_against, campaign_against, govern_via, brief_against	vote_for, elect, bribe, buy_off, assassinate, campaign_for, run_against, are_upstaged_by
Cult Leader	preach_to, chastise, pray_for, mentor, counsel, baptize, ordain, indoctrinate, brainwash, banish, expel, entice, lead_astray, lead, are_followed_by	look_up_to, worship_with, lose_faith_in, pray_to,  are_indoctrinated_by, are_brainwashed_by, look_up_to, pray_for, are_blessed_by, are_enticed_by, escape_from, run_away_from, flee_from, break_with, break_free_of, are_converted_by, massage, are_led_by
Monster	devour,  savage, attack, are_tracked_by, kill, destroy, are_feared_by, are_despised_by, haunt	are_attacked_by, are_savaged_by, are_devoured_by, exorcize, kill, defeat, banish, hunt, track_down, are_destroyed_by, unleash, forgive, fear, despise, are_haunted_by, hide_from
Aviatrix	transport, drive_for	navigate_for, are_driven_around_by
Poetess	compose_with, create_for, write_about	commission, read_the_works_of, study
Speculator	invest_in, fund, finance, lend_to, profit_from	borrow_from, repay
Political Activist	campaign_for, campaign_against, identify_with, preach_to, overthrow, topple, vote_against	propagandize_for, are_arrested_for_killing, are_overthrown_by, are_toppled_by, are_hindered_by
Seamstress	tend, look_after, nurture, treat	are_tended_by, style_for
Maniac	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, are_diagnosed_by, murder	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by, are_hurt_by
Bore	interact_with	are_bored_by, are_driven_mad_by, are_pushed_too_far_by, avoid, flee_from
Discoverer	look_for, study, pursue, chase, chase_after, seek, search_for, find	are_uncovered_by, are_discovered_by, are_pursued_by, are_probed_by, are_sought_by, are_found_by
Whistleblower	leak_to, snitch_to, spy_on, observe, testify_against, report_to	are_undermined_by, are_observed_by, are_informed_by
