Location	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
schoolbook depository building	Building	a	in	large	quiet, orderly, impersonal, nondescript, featureless, bland, anonymous, faceless,  soulless, dour, tranquil		
sculpture garden	Outside_Area	a	in		peaceful, soothing, mellow, quiet, calming, serene, tranquil, idyllic, welcoming, relaxing, airy, sunny, picturesque,  charming, unspoiled		
aquarium	Building		in	large	wet, damp, humid, slippery, spacious, colourful, moody		
second-hand store	Building	a	in		cluttered, disorganized, untidy, messy, crowded, hectic, eclectic, musty, dusty		
secret military base	Compound	a	in	large	cluttered, disorganized, untidy, messy, eclectic, musty, dusty		
seedy bar	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded, dark, tacky, gloomy		
alien cantina	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded, dark, tacky, gloomy, weird, eclectic		
shoe shop	Building	a	in		chic, bright, hip,  orderly, minimalist, fashionable, stylish,		
shooting range	Outside_Area	a	in		loud, noisy, windowless, stuffy		
shopping mall	Compound	a	in	large	bright, sleek, clean, tidy, organized, air-conditioned		
shower stall	Room	a	in	small	wet, damp, humid, slippery, cramped, steamy, hot		
shrimping boat	Building	a	in		creaky, smelly, jerky, salty, damp, wet, slippery, bumpy		
singles bar	Building	a	in		atmospheric, stylish, cosy, welcoming, musical, intimate, classy, charming, moody, chic, smoky, relaxing, sultry		
ski lodge	Building	a	in		pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, romantic, kitschy , flamboyant, cosmopolitan, smug		
smoke-filled back room	Room	a	in		smoky, stale, sleazy, sordid, windowless, airless, 		
souk	Compound	a	in	large	crowded, bustling, hectic, busy, cramped, dusty, eclectic, haphazard, motley, exotic, labyrinthine,		
sound stage	Floor	a	in	large	spartan, spacious, busy, windowless, stuffy, comfortless,, drafty		
soup kitchen	Building	a	in	large	dreary, bleak, drab, grim, depressing, cheerless, dilapidated, understaffed, dismal, dull, smelly, warm		
spare room	Room	a	in	small	cramped, cluttered, untidy, messy, 		
sports bar	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, greasy, smoky, sweaty, sticky, energetic, crowded, cheerful		
sports stadium	Building	a	in	large	packed, energetic, loud, noisy, crowded, raucous, sprawling		
squash court	Room	a	in		windowless, sweaty, springy, featureless		
State capitol building	Building	the	in	large	distinctive,  ornate, imposing, stately, ornate, spacious, plush, dignified, polished, solemn, monolithic, handsome, baroque, durable		
stock exchange	Building	the	in	large	busy, bustling, crowded, energetic, loud, boisterous, noisy, 		
study room	Room	a	in		quiet, boring, tranquil, hushed		
sushi restaurant	Building	a	in		loud, busy, bright, cosmopolitan, clinical, hygienic		
swamp	Outside_Area	a	in	large	wet, damp, humid, slippery, murky, steamy, hot, dank, smelly, sticky, lush, muggy, sweltering, eerie, 		
sweatshop	Building	a	in		sweaty, busy, oppressive, cramped, cluttered, confining, windowless, airless, stuffy		
sweaty nightclub	Building	a	in		raunchy, sultry, flashy, cosmopolitan, chic, crowded, packed, noisy, loud, bustling, energetic, intimate		
Swiss bank	Building	a	in		marbled, grand, formal, exclusive, bright, understated, ornate,  plush, swanky, orderly, 		
symphony hall	Building	a	in	large	crowded, bustling, grand, musical, imposing, spacious, dignified, baroque, ornate		
tea shop	Building	a	in		rustic, quaint, staid, cosy, welcoming, inviting,  twee, tranquil, peaceful, relaxing, mellow		
technology campus	Compound	a	in	large	vibrant, modern, busy, funky, crowded, exuberant, flamboyant, nerdy, geeky, sleek, streamlined, bright		
telephone box	Room	a	in	small	cramped, claustrophobic, narrow, airless, stuffy, sound-proofed, leaky, unheated		
television studio	Building	a	in	large	sophisticated, sound-proofed, busy, 		
tenement building	Building	a	in		forlorn, musty, crumbling, grim, drafty, damp, dusty, comfortless, dreary, depressing, faded, decrepit, dilapidated, weathered		
tennis club	Building	a	in	large	bright, clean, tidy, organized, air-conditioned, cheery, smug, exclusive		
tennis court	Floor	a	in		springy, airy, spacious, featureless		
tent	Building	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, drafty		
theatre stage	Floor	a	in		elevated, spacious, drafty, springy		
therapist's office	Room	a	in		tranquil, serene, comfortable, welcoming, relaxing, calming, air-conditioned		
think tank	Building	a	in		formal, polished, marbled, bright, busy		
throne room	Room	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
torture chamber	Room	a	in		intimidating, eerie, bloody, gory, uninviting, unwelcoming, spartan, claustrophobic, sinister, windowless, dank, smelly, humid, 		
toy store	Building	a	in		inviting, alluring, nostalgic, welcoming, colourful, bright, eclectic, whimsical, cute, appealing, cheerful, psychedelic		
trailer park	Compound	a	in	large	shabby, dirty, messy,  dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, cluttered, dismal, carefree, scruffy, smoky, laidback, litter-strewn		
travel agency	Building	a	in		bright, tidy, organized, upbeat		
treasury room	Room	a	in		marbled, grand, formal, exclusive, ornate,  plush,  orderly, 		
Tribeca loft	Floor	a	in		chic, bright, hip,  orderly, minimalist, fashionable, stylish,		
UN general assembly	Building	the	in	large	hectic, busy, bustling, lively, stimulating, boring, pretentious, spirited, volatile		
underground bunker	Building	an	in	large	concrete, drab, unwelcoming, windowless, sombre, dreary, oppressive, dim, stuffy, cramped		
underground lair	Building	an	in	large	ornate, windowless, air-conditioned, sound-proofed, orderly, busy, marbled, 		
vegetable garden	Outside_Area	a	in		muddy, airy, lush, leafy, aromatic		
voting booth	Room	a	in	small	cramped, claustrophobic, windowless, narrow, dim		
walk-in refrigerator	Room	a	in	small	chilly, sterile, cold, freezing, frosty, icy, frigid, 		
walk-in closet	Room	a	in	small	cramped, cluttered, untidy, messy, windowless		
war room	Room	a	in		formal, intense,  intimidating, windowless, stuffy, officious, clubby, staid, conservative, dull, stodgy, dignified, 		
war zone	Outside_Area	a	in	large	chaotic,  gory, harsh, bloody, disorderly, depressing, dreary, hectic, noisy, intense, bleak, scary, litter-strewn, smoldering, hellish		
Watergate hotel	Building	the	in	large	clubby, staid, conservative, dull, stodgy, dignified, 		
wine bar	Building	a	in		atmospheric, stylish, cosy, welcoming, intimate, classy, charming, chic, relaxing, sultry		
yoga studio	Floor	a	in		relaxing, soothing, mellow, sweaty		
zoo	Compound	a	in	large	loud, noisy, confining, crowded, eclectic, smelly		
