Root	Comparative
contemplated	more contemplated
contemplative	more contemplative
contemporary	more contemporary
contemptible	more contemptible
contending	more contending
content	more content
contented	more contented
contentious	more contentious
contested	more contested
contesting	more contesting
continuing	more continuing
continuous	more continuous
contoured	more contoured
contracted	more contracted
contracting	more contracting
contradictory	more contradictory
contrary	more contrary
contributing	more contributing
contrived	more contrived
controllable	more controllable
controlled	more controlled
controlling	more controlling
convened	more convened
convenient	more convenient
conventional	more conventional
conventionalized	more conventionalized
conversational	more conversational
converted	more converted
converting	more converting
conveying	more conveying
convicted	more convicted
convincing	more convincing
convoluted	more convoluted
cooing	more cooing
cooked	more cooked
cooking	more cooking
cooled	more cooled
cooling	more cooling
cooped	more cooped
cooperating	more cooperating
cooperative	more cooperative
coordinated	more coordinated
coordinating	more coordinating
copied	more copied
copying	more copying
copyrighted	more copyrighted
corded	more corded
cordial	more cordial
coring	more coring
corked	more corked
cornered	more cornered
corporate	more corporate
corrected	more corrected
correcting	more correcting
corroborated	more corroborated
corroded	more corroded
corroding	more corroding
corrosive	more corrosive
corrugated	more corrugated
corrupt	more corrupt
corrupted	more corrupted
corrupting	more corrupting
cosmopolitan	more cosmopolitan
costumed	more costumed
coughing	more coughing
counseling	more counseling
counterbalanced	more counterbalanced
counterfeiting	more counterfeiting
counting	more counting
coupling	more coupling
courageous	more courageous
coursing	more coursing
courteous	more courteous
courtly	more courtly
covering	more covering
coveted	more coveted
covetous	more covetous
cowardly	more cowardly
cowed	more cowed
cowering	more cowering
cracked	more cracked
cracking	more cracking
crackling	more crackling
cradling	more cradling
crafted	more crafted
crafting	more crafting
crammed	more crammed
cramped	more cramped
cranked	more cranked
cranking	more cranking
crashed	more crashed
crashing	more crashing
cratered	more cratered
crawling	more crawling
crazed	more crazed
creaking	more creaking
creamed	more creamed
creased	more creased
created	more created
creating	more creating
creative	more creative
credentialed	more credentialed
credible	more credible
credited	more credited
creeping	more creeping
crested	more crested
crestfallen	more crestfallen
cricketing	more cricketing
criminal	more criminal
criminalized	more criminalized
crimping	more crimping
crimson	more crimson
cringing	more cringing
crinkled	more crinkled
crippled	more crippled
crippling	more crippling
critical	more critical
criticizing	more criticizing
critiquing	more critiquing
crocheted	more crocheted
crocheting	more crocheting
crooning	more crooning
cropped	more cropped
cropping	more cropping
crossbred	more crossbred
crossing	more crossing
crouching	more crouching
crowded	more crowded
crowing	more crowing
crowned	more crowned
crowning	more crowning
crucial	more crucial
crucified	more crucified
cruising	more cruising
crumbled	more crumbled
crumbling	more crumbling
crumpled	more crumpled
crunching	more crunching
crusading	more crusading
crushed	more crushed
crushing	more crushing
crying	more crying
crystalized	more crystalized
crystallized	more crystallized
cubed	more cubed
cuddling	more cuddling
culled	more culled
culpable	more culpable
cultivated	more cultivated
cultivating	more cultivating
cultural	more cultural
cultured	more cultured
cumbersome	more cumbersome
cupped	more cupped
curated	more curated
cured	more cured
curing	more curing
curled	more curled
curling	more curling
current	more current
cursed	more cursed
cursing	more cursing
curved	more curved
cushioned	more cushioned
cushioning	more cushioning
cussing	more cussing
customized	more customized
cute	cuter
cutthroat	more cutthroat
cutting	more cutting
cyclical	more cyclical
cycling	more cycling
cynical	more cynical
dabbling	more dabbling
damaging	more damaging
dammed	more dammed
damming	more damming
damned	more damned
damning	more damning
damped	more damped
dampened	more dampened
dampening	more dampening
damping	more damping
dancing	more dancing
dandy	more dandy
dangerous	more dangerous
dangling	more dangling
dappled	more dappled
daring	more daring
darkened	more darkened
darkening	more darkening
darned	more darned
darting	more darting
dashed	more dashed
dashing	more dashing
dated	more dated
dating	more dating
daunting	more daunting
dawning	more dawning
daydreaming	more daydreaming
dazed	more dazed
dazzling	more dazzling
deactivated	more deactivated
deafening	more deafening
dealing	more dealing
dealmaking	more dealmaking
dealt	more dealt
debased	more debased
debauched	more debauched
debilitating	more debilitating
debonair	more debonair
debugged	more debugged
debugging	more debugging
debunking	more debunking
decadent	more decadent
decapitated	more decapitated
decayed	more decayed
decaying	more decaying
deceased	more deceased
deceitful	more deceitful
deceived	more deceived
deceiving	more deceiving
decentralized	more decentralized
deceptive	more deceptive
decided	more decided
deciding	more deciding
decisive	more decisive
decked	more decked
declarative	more declarative
declared	more declared
declined	more declined
decoded	more decoded
decoding	more decoding
decomposed	more decomposed
decomposing	more decomposing
decorated	more decorated
decorating	more decorating
decorative	more decorative
decorous	more decorous
decrepit	more decrepit
dedicated	more dedicated
deepening	more deepening
defaulting	more defaulting
defeated	more defeated
defeating	more defeating
defended	more defended
defending	more defending
defenseless	more defenseless
defensible	more defensible
defensive	more defensive
deferred	more deferred
defiant	more defiant
defiling	more defiling
defined	more defined
defining	more defining
definite	more definite
definitive	more definitive
deflated	more deflated
deflating	more deflating
deflected	more deflected
deformed	more deformed
deforming	more deforming
defrosting	more defrosting
defused	more defused
degraded	more degraded
degrading	more degrading
dehumanizing	more dehumanizing
dehydrated	more dehydrated
deified	more deified
delayed	more delayed
delaying	more delaying
delectable	more delectable
delegating	more delegating
deliberate	more deliberate
delicate	more delicate
delicious	more delicious
delighted	more delighted
delightful	more delightful
delighting	more delighting
delivered	more delivered
delivering	more delivering
delocalized	more delocalized
deluded	more deluded
delusional	more delusional
demanding	more demanding
demeaning	more demeaning
demented	more demented
democratic	more democratic
demolished	more demolished
demonic	more demonic
demonstrated	more demonstrated
demonstrating	more demonstrating
demonstrative	more demonstrative
demoralized	more demoralized
demoralizing	more demoralizing
demotivating	more demotivating
demure	more demure
denounced	more denounced
dented	more dented
denuded	more denuded
departed	more departed
dependable	more dependable
dependent	more dependent
depicting	more depicting
depleted	more depleted
deployed	more deployed
deploying	more deploying
depopulated	more depopulated
deported	more deported
deposited	more deposited
depraved	more depraved
depreciating	more depreciating
depressed	more depressed
depressing	more depressing
deprived	more deprived
derailed	more derailed
deranged	more deranged
deregulated	more deregulated
derived	more derived
desaturated	more desaturated
descended	more descended
descending	more descending
describing	more describing
descriptive	more descriptive
deserted	more deserted
deserved	more deserved
deserving	more deserving
desiccated	more desiccated
designated	more designated
designed	more designed
designing	more designing
desirable	more desirable
desired	more desired
desolate	more desolate
desolated	more desolated
despairing	more despairing
desperate	more desperate
despicable	more despicable
despised	more despised
destabilizing	more destabilizing
destitute	more destitute
destroying	more destroying
destructive	more destructive
detached	more detached
detailed	more detailed
detained	more detained
detected	more detected
detecting	more detecting
deteriorating	more deteriorating
determinate	more determinate
determined	more determined
deterministic	more deterministic
deterring	more deterring
detestable	more detestable
detoxifying	more detoxifying
detrimental	more detrimental
devalued	more devalued
devastated	more devastated
devastating	more devastating
developed	more developed
developing	more developing
developmental	more developmental
deviating	more deviating
devious	more devious
devised	more devised
devoted	more devoted
devouring	more devouring
devout	more devout
dexterous	more dexterous
diabolical	more diabolical
diagnosed	more diagnosed
diagnosing	more diagnosing
dialed	more dialed
dialing	more dialing
diaphanous	more diaphanous
diced	more diced
dicey	more dicey
dicing	more dicing
dictated	more dictated
dictating	more dictating
dictatorial	more dictatorial
diecast	more diecast
dieting	more dieting
difficult	more difficult
diffused	more diffused
diffusing	more diffusing
digesting	more digesting
digging	more digging
digitized	more digitized
digitizing	more digitizing
dignified	more dignified
dilapidated	more dilapidated
dilated	more dilated
diligent	more diligent
dilute	more dilute
diluted	more diluted
diminishing	more diminishing
dimmed	more dimmed
dimming	more dimming
dimpled	more dimpled
dimwitted	more dimwitted
diplomatic	more diplomatic
dipped	more dipped
dipping	more dipping
direct	more direct
directed	more directed
directing	more directing
directional	more directional
disabled	more disabled
disabling	more disabling
disadvantaged	more disadvantaged
disaffected	more disaffected
disagreeable	more disagreeable
disappearing	more disappearing
disappointed	more disappointed
disappointing	more disappointing
disapproving	more disapproving
disarmed	more disarmed
disarming	more disarming
disastrous	more disastrous
discarded	more discarded
discernible	more discernible
discerning	more discerning
discharged	more discharged
discharging	more discharging
disciplined	more disciplined
disciplining	more disciplining
disconcerting	more disconcerting
disconsolate	more disconsolate
discontented	more discontented
discontinued	more discontinued
discontinuous	more discontinuous
discounted	more discounted
discounting	more discounting
discouraged	more discouraged
discouraging	more discouraging
discovered	more discovered
discovering	more discovering
discredited	more discredited
discreet	more discreet
discriminating	more discriminating
discussing	more discussing
diseased	more diseased
disembodied	more disembodied
disenfranchised	more disenfranchised
disengaged	more disengaged
disfigured	more disfigured
disfiguring	more disfiguring
disgraced	more disgraced
disgraceful	more disgraceful
disgruntled	more disgruntled
disguised	more disguised
disguising	more disguising
disgusted	more disgusted
disgusting	more disgusting
disheartening	more disheartening
disheveled	more disheveled
dishonest	more dishonest
disillusioned	more disillusioned
disinfecting	more disinfecting
disingenuous	more disingenuous
disintegrating	more disintegrating
disinterested	more disinterested
disjointed	more disjointed
dislocated	more dislocated
dismal	more dismal
dismantled	more dismantled
dismembered	more dismembered
dismissed	more dismissed
dismissing	more dismissing
dismissive	more dismissive
dismounted	more dismounted
disordered	more disordered
disorderly	more disorderly
disorganised	more disorganised
disorganized	more disorganized
disoriented	more disoriented
disorienting	more disorienting
disparaging	more disparaging
dispassionate	more dispassionate
dispatched	more dispatched
dispatching	more dispatching
dispelling	more dispelling
dispensable	more dispensable
dispensed	more dispensed
dispensing	more dispensing
dispersed	more dispersed
dispersing	more dispersing
displayed	more displayed
displaying	more displaying
disposable	more disposable
dispossessed	more dispossessed
disputed	more disputed
disqualified	more disqualified
disquieting	more disquieting
disreputable	more disreputable
disrespectful	more disrespectful
disrupting	more disrupting
disruptive	more disruptive
dissected	more dissected
dissecting	more dissecting
disseminated	more disseminated
dissenting	more dissenting
dissing	more dissing
dissolved	more dissolved
dissolving	more dissolving
distant	more distant
distasteful	more distasteful
distilled	more distilled
distinct	more distinct
distinctive	more distinctive
distinguishable	more distinguishable
distinguished	more distinguished
distinguishing	more distinguishing
distorted	more distorted
distorting	more distorting
distracted	more distracted
distracting	more distracting
distressed	more distressed
distressing	more distressing
distributed	more distributed
distributing	more distributing
disturbed	more disturbed
disturbing	more disturbing
dithering	more dithering
divergent	more divergent
diversified	more diversified
diversifying	more diversifying
diverted	more diverted
diverting	more diverting
divided	more divided
dividing	more dividing
diving	more diving
divisive	more divisive
divorced	more divorced
dizzying	more dizzying
docile	more docile
docked	more docked
docking	more docking
doctored	more doctored
documented	more documented
documenting	more documenting
dogged	more dogged
dogging	more dogging
dogmatic	more dogmatic
domed	more domed
domestic	more domestic
domesticated	more domesticated
dominant	more dominant
dominating	more dominating
domineering	more domineering
donated	more donated
donating	more donating
donned	more donned
doomed	more doomed
dormant	more dormant
doting	more doting
dotted	more dotted
doubting	more doubting
dour	more dour
downloaded	more downloaded
downy	more downy
dozing	more dozing
drafted	more drafted
drafting	more drafting
dragged	more dragged
dragging	more dragging
drained	more drained
draining	more draining
dramatic	more dramatic
dramatized	more dramatized
draped	more draped
draping	more draping
drastic	more drastic
drawing	more drawing
drawn	more drawn
dreaded	more dreaded
dreadful	more dreadful
dreaming	more dreaming
dredging	more dredging
drenched	more drenched
drenching	more drenching
dressed	more dressed
dressing	more dressing
dribbled	more dribbled
dribbling	more dribbling
dried	more dried
drifting	more drifting
drilled	more drilled
drilling	more drilling
drinking	more drinking
dripping	more dripping
drippy	more drippy
driven	more driven
driving	more driving
droning	more droning
drooling	more drooling
drooping	more drooping
dropped	more dropped
dropping	more dropping
drowned	more drowned
drowning	more drowning
drumming	more drumming
drunken	more drunken
drying	more drying
dubbed	more dubbed
ductile	more ductile
dulled	more dulled
dumped	more dumped
dumping	more dumping
duped	more duped
duplicating	more duplicating
duplicitous	more duplicitous
durable	more durable
dusted	more dusted
dusting	more dusting
dutiful	more dutiful
dwelling	more dwelling
dwindling	more dwindling
dyed	more dyed
dying	more dying
dynamic	more dynamic
dysfunctional	more dysfunctional
dyslexic	more dyslexic
eager	more eager
earned	more earned
earnest	more earnest
earning	more earning
earthed	more earthed
eased	more eased
easygoing	more easygoing
eating	more eating
eavesdropping	more eavesdropping
ebullient	more ebullient
eccentric	more eccentric
echoing	more echoing
eclectic	more eclectic
eclipsed	more eclipsed
edged	more edged
edible	more edible
edited	more edited
editorializing	more editorializing
educated	more educated
educating	more educating
educational	more educational
eerie	more eerie
effective	more effective
effectual	more effectual
effervescent	more effervescent
efficacious	more efficacious
efficient	more efficient
effortless	more effortless
effusive	more effusive
egalitarian	more egalitarian
egocentric	more egocentric
egotistical	more egotistical
elaborate	more elaborate
elastic	more elastic
elasticized	more elasticized
elected	more elected
electric	more electric
electrified	more electrified
electrifying	more electrifying
elegant	more elegant
elementary	more elementary
elevated	more elevated
elicited	more elicited
eliminated	more eliminated
eliminating	more eliminating
elite	more elite
elitist	more elitist
elliptical	more elliptical
elongated	more elongated
eloquent	more eloquent
elusive	more elusive
emaciated	more emaciated
emailed	more emailed
emancipated	more emancipated
embarrassed	more embarrassed
embarrassing	more embarrassing
embattled	more embattled
embedded	more embedded
embellished	more embellished
embellishing	more embellishing
embittered	more embittered
emblazoned	more emblazoned
embodied	more embodied
emboldened	more emboldened
embossed	more embossed
embroidered	more embroidered
emerging	more emerging
eminent	more eminent
emitted	more emitted
emitting	more emitting
emoting	more emoting
emotional	more emotional
emotionless	more emotionless
emphasizing	more emphasizing
emphatic	more emphatic
employed	more employed
employing	more employing
empowered	more empowered
empowering	more empowering
emptied	more emptied
emptying	more emptying
emulating	more emulating
enabling	more enabling
enacted	more enacted
encamped	more encamped
encased	more encased
enchanted	more enchanted
enchanting	more enchanting
encircled	more encircled
enclosed	more enclosed
enclosing	more enclosing
encoded	more encoded
encoding	more encoding
encompassing	more encompassing
encouraging	more encouraging
encroaching	more encroaching
encrusted	more encrusted
encrypted	more encrypted
encumbering	more encumbering
endangered	more endangered
endangering	more endangering
endearing	more endearing
endorsed	more endorsed
endorsing	more endorsing
endowed	more endowed
endurable	more endurable
enduring	more enduring
energetic	more energetic
energized	more energized
energizing	more energizing
enforceable	more enforceable
enforced	more enforced
enforcing	more enforcing
engaging	more engaging
engineered	more engineered
engineering	more engineering
engorged	more engorged
engraved	more engraved
engraving	more engraving
engrossing	more engrossing
engulfing	more engulfing
enhanced	more enhanced
enhancing	more enhancing
enigmatic	more enigmatic
enjoyable	more enjoyable
enjoyed	more enjoyed
enjoying	more enjoying
enlarged	more enlarged
enlarging	more enlarging
enlightened	more enlightened
enlightening	more enlightening
enlisted	more enlisted
ennobled	more ennobled
enormous	more enormous
enraged	more enraged
enriched	more enriched
enriching	more enriching
enrolled	more enrolled
enrolling	more enrolling
enslaved	more enslaved
enslaving	more enslaving
ensuing	more ensuing
entangled	more entangled
enterprising	more enterprising
entertained	more entertained
entertaining	more entertaining
enthralling	more enthralling
enthroned	more enthroned
enthused	more enthused
enthusiastic	more enthusiastic
enticing	more enticing
entrancing	more entrancing
entrenched	more entrenched
entwined	more entwined
enveloping	more enveloping
envisioning	more envisioning
ephemeral	more ephemeral
equipped	more equipped
equivocal	more equivocal
erased	more erased
erect	more erect
erected	more erected
eroded	more eroded
eroding	more eroding
erotic	more erotic
erratic	more erratic
erring	more erring
erudite	more erudite
erupted	more erupted
escalated	more escalated
escalating	more escalating
escaped	more escaped
escaping	more escaping
escorted	more escorted
esoteric	more esoteric
essential	more essential
established	more established
esteemed	more esteemed
estimated	more estimated
estimating	more estimating
estranged	more estranged
etched	more etched
etching	more etching
eternal	more eternal
ethereal	more ethereal
ethical	more ethical
euphoric	more euphoric
evacuated	more evacuated
evading	more evading
evaluated	more evaluated
evaluating	more evaluating
evanescent	more evanescent
evangelical	more evangelical
evangelizing	more evangelizing
evaporated	more evaporated
evaporative	more evaporative
evenhanded	more evenhanded
eventful	more eventful
everlasting	more everlasting
everyday	more everyday
evocative	more evocative
evolved	more evolved
evolving	more evolving
exact	more exact
exacting	more exacting
exaggerated	more exaggerated
exaggerating	more exaggerating
exalted	more exalted
exalting	more exalting
examined	more examined
examining	more examining
exasperated	more exasperated
exasperating	more exasperating
excavated	more excavated
excavating	more excavating
excelling	more excelling
exchanged	more exchanged
exchanging	more exchanging
excitable	more excitable
excited	more excited
exciting	more exciting
excluded	more excluded
exclusive	more exclusive
excreted	more excreted
excruciating	more excruciating
executed	more executed
executing	more executing
exempt	more exempt
exercised	more exercised
exfoliating	more exfoliating
exhaled	more exhaled
exhausted	more exhausted
exhausting	more exhausting
exhaustive	more exhaustive
exhibited	more exhibited
exhibiting	more exhibiting
exhilarating	more exhilarating
exiled	more exiled
exotic	more exotic
expanded	more expanded
expanding	more expanding
expansive	more expansive
expectant	more expectant
expected	more expected
expedient	more expedient
expedited	more expedited
expelled	more expelled
expendable	more expendable
expended	more expended
experienced	more experienced
experimental	more experimental
experimenting	more experimenting
expert	more expert
expired	more expired
explaining	more explaining
explicit	more explicit
exploded	more exploded
exploding	more exploding
exploited	more exploited
exploiting	more exploiting
explored	more explored
exploring	more exploring
explosive	more explosive
exported	more exported
exporting	more exporting
exposed	more exposed
exposing	more exposing
expressed	more expressed
expressing	more expressing
expressionless	more expressionless
expressive	more expressive
exquisite	more exquisite
extended	more extended
extending	more extending
extensive	more extensive
extinct	more extinct
extinguished	more extinguished
extracted	more extracted
extracting	more extracting
extraordinary	more extraordinary
extravagant	more extravagant
extraverted	more extraverted
extreme	more extreme
extruded	more extruded
exuberant	more exuberant
eying	more eying
fabled	more fabled
fabricated	more fabricated
faceless	more faceless
faceted	more faceted
facilitating	more facilitating
factfinding	more factfinding
factual	more factual
faddish	more faddish
faded	more faded
fading	more fading
failed	more failed
failing	more failing
faithful	more faithful
faked	more faked
faking	more faking
fallible	more fallible
falling	more falling
falsified	more falsified
faltering	more faltering
familiar	more familiar
famished	more famished
fanatic	more fanatic
fanned	more fanned
fanning	more fanning
fantastic	more fantastic
farfetched	more farfetched
farmed	more farmed
farming	more farming
farseeing	more farseeing
farsighted	more farsighted
farting	more farting
fascinated	more fascinated
fascinating	more fascinating
fashionable	more fashionable
fashioned	more fashioned
fastened	more fastened
fastening	more fastening
fastidious	more fastidious
fasting	more fasting
fatal	more fatal
fatalistic	more fatalistic
fatigued	more fatigued
fattened	more fattened
fattening	more fattening
faultless	more faultless
favored	more favored
fawning	more fawning
feared	more feared
fearful	more fearful
fearless	more fearless
fearsome	more fearsome
feasting	more feasting
feathered	more feathered
feathery	more feathery
featured	more featured
featureless	more featureless
feckless	more feckless
fecund	more fecund
feeding	more feeding
feeling	more feeling
feigned	more feigned
felicitous	more felicitous
felled	more felled
felling	more felling
felt	more felt
felted	more felted
female	more female
feminine	more feminine
fenced	more fenced
fencing	more fencing
feral	more feral
fermented	more fermented
fermenting	more fermenting
ferocious	more ferocious
fertile	more fertile
fertilized	more fertilized
fertilizing	more fertilizing
fervent	more fervent
festering	more festering
festive	more festive
fetching	more fetching
feted	more feted
fetid	more fetid
fettered	more fettered
feuding	more feuding
fevered	more fevered
fickle	more fickle
fictional	more fictional
fictionalized	more fictionalized
fiddling	more fiddling
fidgety	more fidgety
fielded	more fielded
fielding	more fielding
fighting	more fighting
filed	more filed
filibustering	more filibustering
filigreed	more filigreed
filing	more filing
filled	more filled
filleted	more filleted
filling	more filling
filmed	more filmed
filming	more filming
filmmaking	more filmmaking
filtered	more filtered
filtering	more filtering
financed	more financed
financing	more financing
finding	more finding
fingering	more fingering
fingerpicking	more fingerpicking
finicky	more finicky
finishing	more finishing
finite	more finite
firebombing	more firebombing
fired	more fired
firefighting	more firefighting
fireproof	more fireproof
firing	more firing
fishing	more fishing
fitted	more fitted
fitting	more fitting
fixed	more fixed
fixing	more fixing
fizzing	more fizzing
flaccid	more flaccid
flailing	more flailing
flakey	more flakey
flamboyant	more flamboyant
flaming	more flaming
flapping	more flapping
flared	more flared
flaring	more flaring
flashed	more flashed
flashing	more flashing
flatfooted	more flatfooted
flattened	more flattened
flattening	more flattening
flattering	more flattering
flavored	more flavored
flavorful	more flavorful
flavoring	more flavoring
flawed	more flawed
flawless	more flawless
fledged	more fledged
fleeing	more fleeing
fleeting	more fleeting
flexed	more flexed
flexible	more flexible
flickering	more flickering
flicking	more flicking
flinty	more flinty
flipped	more flipped
flirtatious	more flirtatious
flirting	more flirting
flitting	more flitting
floated	more floated
floating	more floating
flocked	more flocked
flocking	more flocking
flooded	more flooded
flooding	more flooding
flopping	more flopping
floundering	more floundering
flourishing	more flourishing
flowered	more flowered
flowering	more flowering
flowing	more flowing
fluctuating	more fluctuating
fluent	more fluent
fluffed	more fluffed
fluid	more fluid
flung	more flung
flushed	more flushed
flushing	more flushing
flustered	more flustered
fluted	more fluted
fluttering	more fluttering
flyfishing	more flyfishing
flying	more flying
foaming	more foaming
focused	more focused
focusing	more focusing
focussed	more focussed
fogged	more fogged
foiled	more foiled
foldable	more foldable
folded	more folded
folding	more folding
followed	more followed
following	more following
fooled	more fooled
fooling	more fooling
footballing	more footballing
foraging	more foraging
forbidden	more forbidden
forbidding	more forbidding
forced	more forced
forceful	more forceful
foreboding	more foreboding
forecasted	more forecasted
forecasting	more forecasting
foreclosed	more foreclosed
foreseeing	more foreseeing
forested	more forested
forged	more forged
forgetful	more forgetful
forgettable	more forgettable
forging	more forging
forgiving	more forgiving
forked	more forked
forking	more forking
forlorn	more forlorn
formal	more formal
formalized	more formalized
formative	more formative
formatted	more formatted
formidable	more formidable
formless	more formless
formulaic	more formulaic
formulated	more formulated
formulating	more formulating
fortified	more fortified
fortifying	more fortifying
fortunate	more fortunate
forwarded	more forwarded
fossilized	more fossilized
fostered	more fostered
fought	more fought
fouled	more fouled
founding	more founding
fractured	more fractured
fragile	more fragile
fragmented	more fragmented
fragrant	more fragrant
framed	more framed
franchised	more franchised
franked	more franked
frantic	more frantic
frayed	more frayed
fraying	more fraying
freckled	more freckled
freed	more freed
freeing	more freeing
freeloading	more freeloading
freestanding	more freestanding
freewheeling	more freewheeling
freezing	more freezing
frenzied	more frenzied
frequented	more frequented
freshening	more freshening
fretted	more fretted
fried	more fried
frightened	more frightened
frightening	more frightening
frigid	more frigid
fringed	more fringed
frivolous	more frivolous
frolicking	more frolicking
frolicsome	more frolicsome
frosted	more frosted
frosting	more frosting
frothing	more frothing
frowning	more frowning
frozen	more frozen
fruitful	more fruitful
fruitless	more fruitless
frustrated	more frustrated
frustrating	more frustrating
frying	more frying
fueled	more fueled
fueling	more fueling
fulfilled	more fulfilled
fulfilling	more fulfilling
fulminating	more fulminating
fumbling	more fumbling
functional	more functional
functioning	more functioning
funded	more funded
funding	more funding
fundraising	more fundraising
furious	more furious
furnished	more furnished
furnishing	more furnishing
furrowed	more furrowed
furtive	more furtive
fused	more fused
fusing	more fusing
fussing	more fussing
futile	more futile
gaga	more gaga
gained	more gained
gallant	more gallant
galling	more galling
galloping	more galloping
galvanized	more galvanized
gambling	more gambling
gaming	more gaming
gangly	more gangly
gaping	more gaping
gardening	more gardening
garnished	more garnished
garrisoned	more garrisoned
garrulous	more garrulous
gasping	more gasping
gated	more gated
gathering	more gathering
gating	more gating
gauging	more gauging
gawking	more gawking
gazing	more gazing
geared	more geared
gelled	more gelled
general	more general
generalized	more generalized
generalizing	more generalizing
generating	more generating
generous	more generous
genteel	more genteel
genuine	more genuine
geometric	more geometric
giant	more giant
gifted	more gifted
gigantic	more gigantic
giggling	more giggling
gilded	more gilded
ginger	more ginger
girlish	more girlish
giving	more giving
glaciated	more glaciated
glamorous	more glamorous
glaring	more glaring
glazed	more glazed
glazing	more glazing
gleaming	more gleaming
gleaning	more gleaning
gliding	more gliding
glistening	more glistening
glittering	more glittering
glorified	more glorified
glorifying	more glorifying
glorious	more glorious
glowing	more glowing
glued	more glued
gluttonous	more gluttonous
gnarled	more gnarled
gnawing	more gnawing
goading	more goading
gobbling	more gobbling
golden	more golden
golfing	more golfing
gooey	more gooey
gorgeous	more gorgeous
gorging	more gorging
gossiping	more gossiping
gossipy	more gossipy
gouging	more gouging
governed	more governed
governing	more governing
grabbing	more grabbing
graceful	more graceful
graceless	more graceless
gracious	more gracious
gradated	more gradated
graded	more graded
grading	more grading
gradual	more gradual
graduated	more graduated
graduating	more graduating
grafted	more grafted
grafting	more grafting
grandiose	more grandiose
grandstanding	more grandstanding
granted	more granted
granulated	more granulated
grappling	more grappling
grasping	more grasping
grassed	more grassed
grated	more grated
grateful	more grateful
gratifying	more gratifying
grating	more grating
grazed	more grazed
grazing	more grazing
greased	more greased
greeted	more greeted
greeting	more greeting
gregarious	more gregarious
grieved	more grieved
grieving	more grieving
grilled	more grilled
grilling	more grilling
grimacing	more grimacing
grinding	more grinding
grinning	more grinning
gripped	more gripped
gripping	more gripping
grizzled	more grizzled
groomed	more groomed
grooming	more grooming
grooved	more grooved
grooving	more grooving
groping	more groping
ground	more ground
groundbreaking	more groundbreaking
grounded	more grounded
groveling	more groveling
growing	more growing
growling	more growling
grubbing	more grubbing
grudging	more grudging
grueling	more grueling
gruesome	more gruesome
grumbling	more grumbling
grunting	more grunting
guaranteed	more guaranteed
guarded	more guarded
guarding	more guarding
guided	more guided
guiding	more guiding
guileless	more guileless
gullible	more gullible
gurgling	more gurgling
gushing	more gushing
gutted	more gutted
gutting	more gutting
guttural	more guttural
guzzling	more guzzling
gyrating	more gyrating
hacked	more hacked
hacking	more hacking
hackneyed	more hackneyed
haggling	more haggling
hailed	more hailed
hairless	more hairless
hallowed	more hallowed
hammered	more hammered
hammering	more hammering
handcrafted	more handcrafted
handicapped	more handicapped
handicapping	more handicapping
handled	more handled
handling	more handling
handpainted	more handpainted
handpicked	more handpicked
hanging	more hanging
harassed	more harassed
harassing	more harassing
hardboiled	more hardboiled
hardened	more hardened
hardening	more hardening
hardheaded	more hardheaded
hardworking	more hardworking
harebrained	more harebrained
harmful	more harmful
harmless	more harmless
harmonious	more harmonious
harmonized	more harmonized
harmonizing	more harmonizing
harnessed	more harnessed
harried	more harried
harrowing	more harrowing
harvested	more harvested
harvesting	more harvesting
hashed	more hashed
hashing	more hashing
hassling	more hassling
hatched	more hatched
hatching	more hatching
hated	more hated
hateful	more hateful
hating	more hating
hauling	more hauling
haunted	more haunted
haunting	more haunting
hawking	more hawking
hazardous	more hazardous
headed	more headed
headlining	more headlining
healed	more healed
healing	more healing
healthful	more healthful
heaped	more heaped
heartbreaking	more heartbreaking
heartless	more heartless
heartrending	more heartrending
heartwarming	more heartwarming
heated	more heated
heating	more heating
heavenly	more heavenly
heaving	more heaving
heckling	more heckling
hectic	more hectic
hectoring	more hectoring
hedged	more hedged
hedonistic	more hedonistic
heightened	more heightened
heinous	more heinous
helpful	more helpful
helping	more helping
helpless	more helpless
hemming	more hemming
herding	more herding
herniated	more herniated
heroic	more heroic
heterosexual	more heterosexual
hibernating	more hibernating
hidden	more hidden
hideous	more hideous
hiding	more hiding
hierarchical	more hierarchical
highlighted	more highlighted
highlighting	more highlighting
hightech	more hightech
hijacked	more hijacked
hijacking	more hijacking
hiking	more hiking
hindering	more hindering
hinged	more hinged
hired	more hired
hiring	more hiring
hirsute	more hirsute
hissing	more hissing
historical	more historical
hitchhiking	more hitchhiking
hitting	more hitting
hoarding	more hoarding
hobbled	more hobbled
hogtied	more hogtied
hoisted	more hoisted
hokey	more hokey
holding	more holding
hollowed	more hollowed
homeless	more homeless
homesteading	more homesteading
homey	more homey
homing	more homing
homogeneous	more homogeneous
homogenized	more homogenized
homogenizing	more homogenizing
homogenous	more homogenous
honed	more honed
honeyed	more honeyed
honking	more honking
honorable	more honorable
honored	more honored
honoured	more honoured
hooded	more hooded
hooked	more hooked
hooking	more hooking
hooting	more hooting
hopeful	more hopeful
hopeless	more hopeless
hoping	more hoping
hopping	more hopping
horizontal	more horizontal
horned	more horned
horrible	more horrible
horrid	more horrid
horrifying	more horrifying
hospitable	more hospitable
hospitalized	more hospitalized
hosted	more hosted
hostile	more hostile
hosting	more hosting
hotheaded	more hotheaded
housekeeping	more housekeeping
hovering	more hovering
howling	more howling
huffing	more huffing
hugging	more hugging
hulking	more hulking
