Root	Superlative
credentialed	most credentialed
credible	most credible
credited	most credited
creeping	most creeping
crestfallen	most crestfallen
cricketing	most cricketing
criminal	most criminal
criminalized	most criminalized
crimson	most crimson
cringing	most cringing
crippled	most crippled
crippling	most crippling
critical	most critical
cropped	most cropped
cropping	most cropping
crossing	most crossing
crowded	most crowded
crowned	most crowned
crowning	most crowning
crucial	most crucial
cruising	most cruising
crumbling	most crumbling
crumpled	most crumpled
crunching	most crunching
crusading	most crusading
crushed	most crushed
crushing	most crushing
crying	most crying
crystallized	most crystallized
culled	most culled
culpable	most culpable
cultivated	most cultivated
cultivating	most cultivating
cultural	most cultural
cultured	most cultured
cumbersome	most cumbersome
cured	most cured
curing	most curing
curling	most curling
current	most current
cursed	most cursed
cursing	most cursing
curved	most curved
cushioned	most cushioned
cushioning	most cushioning
customized	most customized
cut	most cut
cutthroat	most cutthroat
cutting	most cutting
cyclical	most cyclical
cycling	most cycling
cynical	most cynical
dabbling	most dabbling
damaging	most damaging
dammed	most dammed
damming	most damming
damning	most damning
damped	most damped
damping	most damping
dancing	most dancing
dangerous	most dangerous
daring	most daring
darkened	most darkened
dashed	most dashed
dashing	most dashing
dated	most dated
dating	most dating
daunting	most daunting
dazed	most dazed
dazzling	most dazzling
deafening	most deafening
dealing	most dealing
dealt	most dealt
debased	most debased
debauched	most debauched
debilitating	most debilitating
debonair	most debonair
debugging	most debugging
debunked	most debunked
decadent	most decadent
decaffeinated	most decaffeinated
decayed	most decayed
decaying	most decaying
deceased	most deceased
deceitful	most deceitful
deceived	most deceived
deceiving	most deceiving
decentralized	most decentralized
deceptive	most deceptive
decided	most decided
deciding	most deciding
decisive	most decisive
decked	most decked
declarative	most declarative
declared	most declared
declined	most declined
decoded	most decoded
decoding	most decoding
decomposed	most decomposed
decorated	most decorated
decorating	most decorating
decorative	most decorative
decorous	most decorous
decrepit	most decrepit
dedicated	most dedicated
defeated	most defeated
defeating	most defeating
defended	most defended
defending	most defending
defenseless	most defenseless
defensible	most defensible
defensive	most defensive
deferred	most deferred
defiant	most defiant
defined	most defined
defining	most defining
definite	most definite
definitive	most definitive
deflated	most deflated
deflating	most deflating
deflected	most deflected
deformed	most deformed
degraded	most degraded
degrading	most degrading
dehumanizing	most dehumanizing
dehydrated	most dehydrated
delayed	most delayed
delectable	most delectable
deliberate	most deliberate
delicate	most delicate
delicious	most delicious
delighted	most delighted
delightful	most delightful
delighting	most delighting
delivered	most delivered
delivering	most delivering
delocalized	most delocalized
deluded	most deluded
delusional	most delusional
demanding	most demanding
demeaning	most demeaning
demented	most demented
democratic	most democratic
demolished	most demolished
demonic	most demonic
demonstrated	most demonstrated
demonstrating	most demonstrating
demonstrative	most demonstrative
demoralized	most demoralized
demoralizing	most demoralizing
demotivating	most demotivating
denounced	most denounced
denouncing	most denouncing
denuded	most denuded
departed	most departed
dependable	most dependable
dependent	most dependent
depicting	most depicting
depleted	most depleted
deployed	most deployed
depopulated	most depopulated
deposited	most deposited
depraved	most depraved
depreciating	most depreciating
depressed	most depressed
depressing	most depressing
deprived	most deprived
deranged	most deranged
deregulated	most deregulated
derived	most derived
descended	most descended
descending	most descending
describing	most describing
descriptive	most descriptive
desecrated	most desecrated
deserted	most deserted
deserved	most deserved
deserving	most deserving
desiccated	most desiccated
designated	most designated
designed	most designed
designing	most designing
desirable	most desirable
desired	most desired
desolate	most desolate
desolated	most desolated
despairing	most despairing
desperate	most desperate
despicable	most despicable
despised	most despised
destabilizing	most destabilizing
destitute	most destitute
destroying	most destroying
destructive	most destructive
detached	most detached
detailed	most detailed
detained	most detained
detected	most detected
deteriorating	most deteriorating
determinate	most determinate
determined	most determined
deterministic	most deterministic
deterring	most deterring
detestable	most detestable
detoxifying	most detoxifying
detrimental	most detrimental
devalued	most devalued
devastated	most devastated
devastating	most devastating
developed	most developed
developing	most developing
developmental	most developmental
deviating	most deviating
devious	most devious
devoted	most devoted
devouring	most devouring
dexterous	most dexterous
diabolical	most diabolical
diagnosed	most diagnosed
dialed	most dialed
diaphanous	most diaphanous
dicey	most dicey
dictatorial	most dictatorial
diecast	most diecast
dieting	most dieting
difficult	most difficult
diffuse	most diffuse
diffused	most diffused
digging	most digging
digitized	most digitized
digitizing	most digitizing
dignified	most dignified
dilapidated	most dilapidated
dilated	most dilated
diligent	most diligent
dilute	most dilute
diluted	most diluted
dimming	most dimming
dimwitted	most dimwitted
diplomatic	most diplomatic
directed	most directed
directional	most directional
disabled	most disabled
disabling	most disabling
disadvantaged	most disadvantaged
disaffected	most disaffected
disagreeable	most disagreeable
disappearing	most disappearing
disappointed	most disappointed
disappointing	most disappointing
disapproving	most disapproving
disarming	most disarming
disastrous	most disastrous
discarded	most discarded
discernible	most discernible
discerning	most discerning
discharged	most discharged
disciplined	most disciplined
disconcerting	most disconcerting
disconsolate	most disconsolate
discontented	most discontented
discontinued	most discontinued
discontinuous	most discontinuous
discounted	most discounted
discouraged	most discouraged
discouraging	most discouraging
discovered	most discovered
discredited	most discredited
discriminating	most discriminating
discussing	most discussing
diseased	most diseased
disembodied	most disembodied
disenfranchised	most disenfranchised
disengaged	most disengaged
disfigured	most disfigured
disfiguring	most disfiguring
disgraced	most disgraced
disgraceful	most disgraceful
disgruntled	most disgruntled
disguised	most disguised
disguising	most disguising
disgusted	most disgusted
disgusting	most disgusting
disheartening	most disheartening
disheveled	most disheveled
dishonest	most dishonest
disillusioned	most disillusioned
disinfecting	most disinfecting
disingenuous	most disingenuous
disinherited	most disinherited
disintegrating	most disintegrating
disinterested	most disinterested
disjointed	most disjointed
dislocated	most dislocated
dismissed	most dismissed
dismissing	most dismissing
dismissive	most dismissive
disordered	most disordered
disorderly	most disorderly
disorganised	most disorganised
disorganized	most disorganized
disoriented	most disoriented
disorienting	most disorienting
disparaging	most disparaging
dispassionate	most dispassionate
dispatching	most dispatching
dispensable	most dispensable
dispensed	most dispensed
dispensing	most dispensing
dispersed	most dispersed
dispersing	most dispersing
displayed	most displayed
displaying	most displaying
disposable	most disposable
dispossessed	most dispossessed
disputed	most disputed
disquieting	most disquieting
disreputable	most disreputable
disrespectful	most disrespectful
disrupting	most disrupting
disruptive	most disruptive
dissected	most dissected
disseminated	most disseminated
dissenting	most dissenting
dissolved	most dissolved
distant	most distant
distasteful	most distasteful
distilled	most distilled
distinctive	most distinctive
distinguishable	most distinguishable
distinguished	most distinguished
distinguishing	most distinguishing
distorted	most distorted
distorting	most distorting
distracted	most distracted
distracting	most distracting
distressed	most distressed
distressing	most distressing
distributed	most distributed
distributing	most distributing
disturbed	most disturbed
disturbing	most disturbing
dithering	most dithering
divergent	most divergent
diversified	most diversified
diversifying	most diversifying
diverted	most diverted
diverting	most diverting
divided	most divided
dividing	most dividing
diving	most diving
divisive	most divisive
divorced	most divorced
dizzying	most dizzying
docile	most docile
docking	most docking
documented	most documented
doddering	most doddering
dogged	most dogged
dogmatic	most dogmatic
domestic	most domestic
domesticated	most domesticated
dominant	most dominant
dominating	most dominating
domineering	most domineering
donated	most donated
doomed	most doomed
dormant	most dormant
doting	most doting
dotted	most dotted
doubting	most doubting
downloaded	most downloaded
drafted	most drafted
drafting	most drafting
dragged	most dragged
dragging	most dragging
drained	most drained
draining	most draining
dramatic	most dramatic
dramatized	most dramatized
drastic	most drastic
drawing	most drawing
drawn	most drawn
dreaded	most dreaded
dreadful	most dreadful
dreaming	most dreaming
dredging	most dredging
drenched	most drenched
drenching	most drenching
dressed	most dressed
dressing	most dressing
dried	most dried
drifting	most drifting
drilled	most drilled
drilling	most drilling
drinking	most drinking
dripping	most dripping
driven	most driven
driving	most driving
droning	most droning
drooling	most drooling
dropped	most dropped
dropping	most dropping
drowned	most drowned
drowning	most drowning
drumming	most drumming
drunken	most drunken
drying	most drying
dubbed	most dubbed
ductile	most ductile
dumped	most dumped
dumping	most dumping
duped	most duped
duplicitous	most duplicitous
durable	most durable
dutiful	most dutiful
dwelling	most dwelling
dyed	most dyed
dying	most dying
dynamic	most dynamic
dysfunctional	most dysfunctional
dyslexic	most dyslexic
earned	most earned
earnest	most earnest
earning	most earning
eased	most eased
easygoing	most easygoing
eating	most eating
eavesdropping	most eavesdropping
ebullient	most ebullient
eccentric	most eccentric
eclectic	most eclectic
edged	most edged
edible	most edible
edited	most edited
educated	most educated
educating	most educating
educational	most educational
effective	most effective
effectual	most effectual
effervescent	most effervescent
efficacious	most efficacious
efficient	most efficient
effortless	most effortless
effusive	most effusive
egalitarian	most egalitarian
egocentric	most egocentric
egotistical	most egotistical
elaborate	most elaborate
elastic	most elastic
elected	most elected
electric	most electric
electrified	most electrified
electrifying	most electrifying
elegant	most elegant
elementary	most elementary
elevated	most elevated
elicited	most elicited
eliminated	most eliminated
elitist	most elitist
elliptical	most elliptical
elongated	most elongated
eloquent	most eloquent
elusive	most elusive
emaciated	most emaciated
emailed	most emailed
emancipated	most emancipated
embarrassed	most embarrassed
embarrassing	most embarrassing
embattled	most embattled
embedded	most embedded
embellished	most embellished
embittered	most embittered
embodied	most embodied
embroidered	most embroidered
emerging	most emerging
emigrating	most emigrating
eminent	most eminent
emitted	most emitted
emitting	most emitting
emotional	most emotional
emotionless	most emotionless
emphasizing	most emphasizing
emphatic	most emphatic
employed	most employed
employing	most employing
empowered	most empowered
empowering	most empowering
enabling	most enabling
enacted	most enacted
enchanted	most enchanted
enchanting	most enchanting
enclosed	most enclosed
enclosing	most enclosing
encoded	most encoded
encoding	most encoding
encompassing	most encompassing
encouraging	most encouraging
encrusted	most encrusted
encrypted	most encrypted
endangered	most endangered
endangering	most endangering
endearing	most endearing
endorsed	most endorsed
endowed	most endowed
endurable	most endurable
enduring	most enduring
energetic	most energetic
energized	most energized
energizing	most energizing
enforceable	most enforceable
enforced	most enforced
engaging	most engaging
engineered	most engineered
engineering	most engineering
engorged	most engorged
engraved	most engraved
engraving	most engraving
engrossing	most engrossing
engulfing	most engulfing
enhanced	most enhanced
enhancing	most enhancing
enigmatic	most enigmatic
enjoyable	most enjoyable
enjoyed	most enjoyed
enjoying	most enjoying
enlarged	most enlarged
enlarging	most enlarging
enlightened	most enlightened
enlightening	most enlightening
enlisted	most enlisted
ennobled	most ennobled
enormous	most enormous
enraged	most enraged
enriched	most enriched
enriching	most enriching
enrolled	most enrolled
enslaved	most enslaved
enslaving	most enslaving
entangled	most entangled
enterprising	most enterprising
entertained	most entertained
entertaining	most entertaining
enthralling	most enthralling
enthused	most enthused
enthusiastic	most enthusiastic
enticing	most enticing
entrancing	most entrancing
entrenched	most entrenched
enveloping	most enveloping
ephemeral	most ephemeral
equipped	most equipped
equivocal	most equivocal
erect	most erect
erected	most erected
eroded	most eroded
erotic	most erotic
erratic	most erratic
erring	most erring
erudite	most erudite
escaped	most escaped
escaping	most escaping
esoteric	most esoteric
essential	most essential
established	most established
esteemed	most esteemed
estimated	most estimated
estimating	most estimating
estranged	most estranged
etched	most etched
etching	most etching
eternal	most eternal
ethereal	most ethereal
ethical	most ethical
euphoric	most euphoric
evacuated	most evacuated
evaluated	most evaluated
evanescent	most evanescent
evangelical	most evangelical
evaporative	most evaporative
evenhanded	most evenhanded
eventful	most eventful
everlasting	most everlasting
everyday	most everyday
evocative	most evocative
evolved	most evolved
evolving	most evolving
exacting	most exacting
exaggerated	most exaggerated
exalted	most exalted
exalting	most exalting
examined	most examined
examining	most examining
exasperated	most exasperated
exasperating	most exasperating
excavated	most excavated
excelling	most excelling
exchanged	most exchanged
excitable	most excitable
excited	most excited
exciting	most exciting
excluded	most excluded
exclusive	most exclusive
excreted	most excreted
excruciating	most excruciating
executed	most executed
executing	most executing
exempt	most exempt
exercised	most exercised
exhausted	most exhausted
exhausting	most exhausting
exhaustive	most exhaustive
exhibited	most exhibited
exhibiting	most exhibiting
exhilarating	most exhilarating
exiled	most exiled
exotic	most exotic
expanded	most expanded
expanding	most expanding
expansive	most expansive
expectant	most expectant
expected	most expected
expedient	most expedient
expedited	most expedited
expelled	most expelled
expendable	most expendable
expensive	most expensive
experienced	most experienced
experimental	most experimental
experimenting	most experimenting
expert	most expert
expired	most expired
explaining	most explaining
explicit	most explicit
exploded	most exploded
exploding	most exploding
exploited	most exploited
exploiting	most exploiting
explored	most explored
exploring	most exploring
explosive	most explosive
exported	most exported
exporting	most exporting
exposed	most exposed
exposing	most exposing
expressed	most expressed
expressing	most expressing
expressionless	most expressionless
expressive	most expressive
exquisite	most exquisite
extended	most extended
extending	most extending
extensive	most extensive
extinct	most extinct
extracted	most extracted
extracting	most extracting
extraordinary	most extraordinary
extravagant	most extravagant
extraverted	most extraverted
extruded	most extruded
exuberant	most exuberant
fabled	most fabled
fabricated	most fabricated
faceless	most faceless
faceted	most faceted
facilitating	most facilitating
factual	most factual
faddish	most faddish
faded	most faded
fading	most fading
failed	most failed
failing	most failing
faithful	most faithful
fake	most fake
faked	most faked
fallible	most fallible
falling	most falling
false	least true
falsified	most falsified
faltering	most faltering
familiar	most familiar
famished	most famished
famous	most famous
fanatic	most fanatic
fantastic	most fantastic
farfetched	most farfetched
farmed	most farmed
farming	most farming
farseeing	most farseeing
farsighted	most farsighted
fascinated	most fascinated
fascinating	most fascinating
fashionable	most fashionable
fashioned	most fashioned
fast	fastest
fastening	most fastening
fastidious	most fastidious
fasting	most fasting
fatal	most fatal
fatalistic	most fatalistic
fatigued	most fatigued
fattening	most fattening
faultless	most faultless
favored	most favored
fawning	most fawning
feared	most feared
fearless	most fearless
fearsome	most fearsome
feathered	most feathered
feathery	most feathery
featured	most featured
featureless	most featureless
feckless	most feckless
fecund	most fecund
feeding	most feeding
feeling	most feeling
felicitous	most felicitous
felt	most felt
female	most female
feminine	most feminine
fenced	most fenced
fencing	most fencing
feral	most feral
fermented	most fermented
ferocious	most ferocious
fertile	most fertile
fertilized	most fertilized
fertilizing	most fertilizing
fervent	most fervent
festering	most festering
festive	most festive
fetching	most fetching
feted	most feted
fetid	most fetid
fevered	most fevered
fictional	most fictional
fictionalized	most fictionalized
fiddling	most fiddling
fidgety	most fidgety
fielded	most fielded
fielding	most fielding
fighting	most fighting
filed	most filed
filing	most filing
filled	most filled
filling	most filling
filmed	most filmed
filming	most filming
filmmaking	most filmmaking
filtered	most filtered
filtering	most filtering
financed	most financed
financing	most financing
finding	most finding
finishing	most finishing
finite	most finite
fired	most fired
firefighting	most firefighting
fireproof	most fireproof
firing	most firing
fishing	most fishing
fitted	most fitted
fitting	most fitting
fixed	most fixed
fixing	most fixing
flaccid	most flaccid
flakey	most flakey
flamboyant	most flamboyant
flaming	most flaming
flared	most flared
flaring	most flaring
flashing	most flashing
flattened	most flattened
flattering	most flattering
flavored	most flavored
flavorful	most flavorful
flawed	most flawed
flawless	most flawless
fleeing	most fleeing
fleeting	most fleeting
flexed	most flexed
flexible	most flexible
flipped	most flipped
flirtatious	most flirtatious
floated	most floated
floating	most floating
flooded	most flooded
flooding	most flooding
flourishing	most flourishing
flouted	most flouted
flowered	most flowered
flowering	most flowering
flowing	most flowing
fluctuating	most fluctuating
fluent	most fluent
fluid	most fluid
flushing	most flushing
flustered	most flustered
fluttering	most fluttering
flying	most flying
foaming	most foaming
focused	most focused
focusing	most focusing
focussed	most focussed
foldable	most foldable
folded	most folded
folding	most folding
followed	most followed
following	most following
foolish	most foolish
foraging	most foraging
forbidden	most forbidden
forbidding	most forbidding
forced	most forced
forceful	most forceful
foreboding	most foreboding
forecasting	most forecasting
foreclosed	most foreclosed
foreign	most foreign
forested	most forested
forged	most forged
forgetful	most forgetful
forgettable	most forgettable
forging	most forging
forgiving	most forgiving
forlorn	most forlorn
formal	most formal
formalized	most formalized
formative	most formative
formatted	most formatted
formidable	most formidable
formless	most formless
formulaic	most formulaic
formulated	most formulated
fortified	most fortified
fortifying	most fortifying
fortunate	most fortunate
forwarded	most forwarded
fossilized	most fossilized
fostered	most fostered
fought	most fought
fouled	most fouled
founding	most founding
fractured	most fractured
fragile	most fragile
fragmented	most fragmented
fragrant	most fragrant
framed	most framed
franchised	most franchised
frantic	most frantic
frayed	most frayed
freed	most freed
freeing	most freeing
freestanding	most freestanding
freewheeling	most freewheeling
freezing	most freezing
frenzied	most frenzied
frequented	most frequented
fretted	most fretted
fried	most fried
frightened	most frightened
frightening	most frightening
frigid	most frigid
frivolous	most frivolous
frolicsome	most frolicsome
frosting	most frosting
frothing	most frothing
frozen	most frozen
fruitless	most fruitless
frustrated	most frustrated
frustrating	most frustrating
frying	most frying
fueled	most fueled
fueling	most fueling
fulfilled	most fulfilled
fulfilling	most fulfilling
fumbling	most fumbling
functional	most functional
functioning	most functioning
funded	most funded
funding	most funding
fundraising	most fundraising
furious	most furious
furnished	most furnished
furnishing	most furnishing
furtive	most furtive
fused	most fused
futile	most futile
gagged	most gagged
gained	most gained
gallant	most gallant
galling	most galling
galvanized	most galvanized
gambling	most gambling
gaming	most gaming
gaping	most gaping
gardening	most gardening
garlanded	most garlanded
garnered	most garnered
garrulous	most garrulous
gated	most gated
gathering	most gathering
gauging	most gauging
geared	most geared
general	most general
generalized	most generalized
generating	most generating
generous	most generous
genuine	most genuine
geometric	most geometric
giant	most giant
gifted	most gifted
gigantic	most gigantic
gilded	most gilded
ginger	most ginger
girlish	most girlish
giving	most giving
glaciated	most glaciated
glamorous	most glamorous
glaring	most glaring
glazed	most glazed
glazing	most glazing
gleaming	most gleaming
gliding	most gliding
glimmering	most glimmering
glistening	most glistening
glittering	most glittering
glorified	most glorified
glorifying	most glorifying
glorious	most glorious
glowing	most glowing
glued	most glued
gluttonous	most gluttonous
gnarled	most gnarled
gnawing	most gnawing
gold	most gold
golfing	most golfing
gooey	most gooey
gorgeous	most gorgeous
gossipy	most gossipy
governed	most governed
governing	most governing
grabbing	most grabbing
graceful	most graceful
graceless	most graceless
gracious	most gracious
graded	most graded
grading	most grading
gradual	most gradual
graduated	most graduated
graduating	most graduating
grandiose	most grandiose
granted	most granted
granulated	most granulated
grappling	most grappling
grasping	most grasping
gratifying	most gratifying
grating	most grating
grazed	most grazed
grazing	most grazing
greeted	most greeted
greeting	most greeting
gregarious	most gregarious
grieved	most grieved
grieving	most grieving
grilled	most grilled
grilling	most grilling
grinding	most grinding
gripped	most gripped
gripping	most gripping
grizzled	most grizzled
groomed	most groomed
grooming	most grooming
grooving	most grooving
ground	most ground
groundbreaking	most groundbreaking
grounded	most grounded
groveling	most groveling
growing	most growing
grudging	most grudging
grueling	most grueling
gruesome	most gruesome
grumbling	most grumbling
guaranteed	most guaranteed
guarded	most guarded
guided	most guided
guiding	most guiding
guileless	most guileless
gullible	most gullible
gushing	most gushing
gutted	most gutted
gutting	most gutting
guttural	most guttural
hacked	most hacked
hacking	most hacking
hackneyed	most hackneyed
hailed	most hailed
hairless	most hairless
hallowed	most hallowed
halved	most halved
hammered	most hammered
hammering	most hammering
handcrafted	most handcrafted
handicapped	most handicapped
handicapping	most handicapping
handled	most handled
handling	most handling
hanging	most hanging
harassed	most harassed
harassing	most harassing
hardboiled	most hardboiled
hardened	most hardened
hardening	most hardening
hardheaded	most hardheaded
hardworking	most hardworking
harebrained	most harebrained
harmful	most harmful
harmless	most harmless
harmonious	most harmonious
harmonized	most harmonized
harnessed	most harnessed
harried	most harried
harrowing	most harrowing
harvested	most harvested
harvesting	most harvesting
hashed	most hashed
hashing	most hashing
hatched	most hatched
hatching	most hatching
hated	most hated
hateful	most hateful
hating	most hating
hauling	most hauling
haunted	most haunted
haunting	most haunting
hazardous	most hazardous
headed	most headed
healed	most healed
healing	most healing
healthful	most healthful
heartbreaking	most heartbreaking
heartless	most heartless
heartrending	most heartrending
heartwarming	most heartwarming
heated	most heated
heating	most heating
hectic	most hectic
hedged	most hedged
hedonistic	most hedonistic
heightened	most heightened
heinous	most heinous
helpful	most helpful
helping	most helping
helpless	most helpless
herding	most herding
herniated	most herniated
heroic	most heroic
heterosexual	most heterosexual
hibernating	most hibernating
hidden	most hidden
hideous	most hideous
hiding	most hiding
hierarchical	most hierarchical
highlighted	most highlighted
highlighting	most highlighting
hightech	most hightech
hijacked	most hijacked
hiking	most hiking
hindering	most hindering
hinged	most hinged
hired	most hired
hiring	most hiring
hirsute	most hirsute
historical	most historical
hitting	most hitting
hoarded	most hoarded
hokey	most hokey
holding	most holding
hollowed	most hollowed
homeless	most homeless
homey	most homey
homing	most homing
homogeneous	most homogeneous
homogenized	most homogenized
homogenous	most homogenous
honed	most honed
honeyed	most honeyed
honorable	most honorable
honored	most honored
honoured	most honoured
hooded	most hooded
hooked	most hooked
hooking	most hooking
hopeful	most hopeful
hopeless	most hopeless
hoping	most hoping
hopping	most hopping
horizontal	most horizontal
horned	most horned
horrible	most horrible
horrid	most horrid
horrifying	most horrifying
hospitable	most hospitable
hospitalized	most hospitalized
hosted	most hosted
hostile	most hostile
hosting	most hosting
hotheaded	most hotheaded
housekeeping	most housekeeping
hovering	most hovering
howling	most howling
hulking	most hulking
humanized	most humanized
humanizing	most humanizing
humdrum	most humdrum
humid	most humid
humiliated	most humiliated
humiliating	most humiliating
humming	most humming
humorless	most humorless
humorous	most humorous
humourless	most humourless
hunted	most hunted
hunting	most hunting
hurried	most hurried
hurting	most hurting
hushed	most hushed
hustling	most hustling
hybridized	most hybridized
hydrating	most hydrating
hygienic	most hygienic
hyped	most hyped
hyperactive	most hyperactive
hyperlinked	most hyperlinked
hypnotic	most hypnotic
iced	most iced
icing	most icing
icy	most icy
ideal	most ideal
idealistic	most idealistic
idealized	most idealized
identifiable	most identifiable
identified	most identified
identifying	most identifying
idolized	most idolized
ignited	most ignited
ignorant	most ignorant
ill	most ill
illegal	most illegal
illiterate	most illiterate
illuminated	most illuminated
illuminating	most illuminating
illusive	most illusive
illusory	most illusory
illustrated	most illustrated
illustrating	most illustrating
illustrative	most illustrative
imaginative	most imaginative
imagined	most imagined
imaging	most imaging
imbalanced	most imbalanced
imbedded	most imbedded
imitative	most imitative
immaculate	most immaculate
immanent	most immanent
immaterial	most immaterial
immature	most immature
immediate	most immediate
immense	most immense
immersed	most immersed
immobile	most immobile
immodest	most immodest
immoral	most immoral
immortal	most immortal
immovable	most immovable
immoveable	most immoveable
immunocompromised	most immunocompromised
immunosuppressed	most immunosuppressed
immutable	most immutable
impacted	most impacted
impacting	most impacting
impaired	most impaired
impairing	most impairing
impartial	most impartial
impassioned	most impassioned
impatient	most impatient
impeached	most impeached
impeccable	most impeccable
impending	most impending
impenetrable	most impenetrable
imperative	most imperative
imperceptible	most imperceptible
imperfect	most imperfect
imperious	most imperious
impermanent	most impermanent
impermeable	most impermeable
impersonal	most impersonal
imperturbable	most imperturbable
impervious	most impervious
impish	most impish
implacable	most implacable
implanted	most implanted
implausible	most implausible
implemented	most implemented
implementing	most implementing
implied	most implied
impolite	most impolite
important	most important
imported	most imported
importing	most importing
imposed	most imposed
imposing	most imposing
impossible	most impossible
impotent	most impotent
impoverished	most impoverished
impractical	most impractical
impregnable	most impregnable
impressed	most impressed
impressing	most impressing
impressionable	most impressionable
impressive	most impressive
imprinted	most imprinted
imprisoned	most imprisoned
improbable	most improbable
improvident	most improvident
improvised	most improvised
improvising	most improvising
imprudent	most imprudent
impudent	most impudent
inaccessible	most inaccessible
inaccurate	most inaccurate
inactive	most inactive
inadequate	most inadequate
inanimate	most inanimate
inarticulate	most inarticulate
inattentive	most inattentive
inauspicious	most inauspicious
inbred	most inbred
incapable	most incapable
incapacitated	most incapacitated
incapacitating	most incapacitating
incarcerated	most incarcerated
incendiary	most incendiary
incessant	most incessant
incidental	most incidental
incisive	most incisive
inclined	most inclined
inclusive	most inclusive
incoherent	most incoherent
incoming	most incoming
incompetent	most incompetent
incomplete	most incomplete
incomprehensible	most incomprehensible
inconclusive	most inconclusive
incongruous	most incongruous
inconsequential	most inconsequential
inconsiderable	most inconsiderable
inconsistent	most inconsistent
inconspicuous	most inconspicuous
incontinent	most incontinent
inconvenient	most inconvenient
incorporated	most incorporated
incorrect	most incorrect
incorrigible	most incorrigible
incredible	most incredible
incredulous	most incredulous
incriminating	most incriminating
indecipherable	most indecipherable
indecisive	most indecisive
indefinite	most indefinite
indented	most indented
indentured	most indentured
independent	most independent
indestructible	most indestructible
indeterminate	most indeterminate
indexed	most indexed
indexing	most indexing
indicated	most indicated
indicating	most indicating
indicted	most indicted
indigestible	most indigestible
indiscriminate	most indiscriminate
indispensable	most indispensable
indistinct	most indistinct
individual	most individual
indoctrinated	most indoctrinated
indomitable	most indomitable
induced	most induced
indulged	most indulged
industrialized	most industrialized
industrious	most industrious
inebriated	most inebriated
ineffective	most ineffective
ineffectual	most ineffectual
inelastic	most inelastic
inelegant	most inelegant
inert	most inert
inescapable	most inescapable
inevitable	most inevitable
inexpensive	most inexpensive
inexperienced	most inexperienced
inexplicable	most inexplicable
infallible	most infallible
infamous	most infamous
infatuated	most infatuated
infected	most infected
infecting	most infecting
infectious	most infectious
inferior	most inferior
infertile	most infertile
infested	most infested
infiltrating	most infiltrating
infinite	most infinite
inflamed	most inflamed
inflated	most inflated
inflexible	most inflexible
inflicted	most inflicted
influencing	most influencing
influential	most influential
informal	most informal
informative	most informative
informed	most informed
informing	most informing
infuriated	most infuriated
infused	most infused
ingenious	most ingenious
ingenuous	most ingenuous
ingrained	most ingrained
inhabited	most inhabited
inhabiting	most inhabiting
inhaled	most inhaled
inherited	most inherited
inhospitable	most inhospitable
inhuman	most inhuman
initiated	most initiated
injected	most injected
injecting	most injecting
injured	most injured
inked	most inked
innate	most innate
innocuous	most innocuous
innovating	most innovating
inoffensive	most inoffensive
inorganic	most inorganic
inquiring	most inquiring
inquisitive	most inquisitive
insatiable	most insatiable
inscribed	most inscribed
inscrutable	most inscrutable
insecure	most insecure
insensate	most insensate
insensible	most insensible
insensitive	most insensitive
inseparable	most inseparable
inserted	most inserted
insidious	most insidious
insightful	most insightful
insignificant	most insignificant
insinuating	most insinuating
insistent	most insistent
inspected	most inspected
inspired	most inspired
inspiring	most inspiring
installed	most installed
instant	most instant
instantaneous	most instantaneous
instinctive	most instinctive
institutionalized	most institutionalized
instructing	most instructing
instructive	most instructive
insubstantial	most insubstantial
insufficient	most insufficient
insular	most insular
insulated	most insulated
insulating	most insulating
insulting	most insulting
insured	most insured
insurmountable	most insurmountable
intangible	most intangible
integrated	most integrated
integrating	most integrating
intellectual	most intellectual
intelligent	most intelligent
intended	most intended
intensified	most intensified
intensive	most intensive
intent	most intent
interacting	most interacting
interactive	most interactive
intercepted	most intercepted
interconnected	most interconnected
interested	most interested
interesting	most interesting
interfering	most interfering
interlocking	most interlocking
intermediate	most intermediate
international	most international
interpreted	most interpreted
interpreting	most interpreting
interrelated	most interrelated
interrupted	most interrupted
intertwined	most intertwined
intervening	most intervening
interviewed	most interviewed
interviewing	most interviewing
intimate	most intimate
intimidating	most intimidating
intoxicated	most intoxicated
intoxicating	most intoxicating
intractable	most intractable
intrepid	most intrepid
intricate	most intricate
intriguing	most intriguing
introverted	most introverted
intrusive	most intrusive
intuitive	most intuitive
inundated	most inundated
invading	most invading
invasive	most invasive
invented	most invented
inventive	most inventive
inverted	most inverted
invested	most invested
investigated	most investigated
investigating	most investigating
investing	most investing
invigorating	most invigorating
inviolable	most inviolable
invisible	most invisible
invited	most invited
inviting	most inviting
invoked	most invoked
involuntary	most involuntary
involved	most involved
invulnerable	most invulnerable
ionized	most ionized
ionizing	most ionizing
irate	most irate
iridescent	most iridescent
irksome	most irksome
irradiated	most irradiated
irrational	most irrational
irregular	most irregular
irrelevant	most irrelevant
irreligious	most irreligious
irreplaceable	most irreplaceable
irrepressible	most irrepressible
irresistible	most irresistible
irresponsible	most irresponsible
irreverent	most irreverent
irreversible	most irreversible
irrevocable	most irrevocable
irrigated	most irrigated
irritable	most irritable
irritating	most irritating
isolated	most isolated
issued	most issued
issuing	most issuing
itching	most itching
itemized	most itemized
jaded	most jaded
