Quality	Count	When Property of A	When Property of B
depressive	8	complain_to, pine_for, lose_interest_in, mourn_for	diagnose, tune_out, are_concerned_about, are_pitied_by, are_bored_by
lonely	8	let_in, pine_for, stalk, hide_from	are_concerned_about, are_stalked_by
hedonistic	8	sleep_with, are_spoiled_by, molest, seduce, cheat_with, are_waited_upon_by	pander_to, spoil, cook_for, are_sickened_by, cater_to, pamper
unsympathetic	8	are_despised_by, laugh_at, disillusion, coerce	resent, harden_toward, are_disillusioned_by
self-righteous	8	lecture_to, denounce, chastise, condescend_to, preach_to, indoctrinate, alienate, condemn	are_lectured_by, are_denounced_by, disappoint, are_indoctrinated_by, are_disillusioned_by, are_censured_by, are_scolded_by, are_trained_by, are_excommunicated_by, are_chastised_by
predictable	8	fail_to_impress, fail_to_deliver_for	are_unimpressed_with, lose_faith_in, are_bored_by
elegant	8	charm, entice, are_painted_by, are_photographed_by, are_chosen_by	paint, photograph, style_for, design_for, enhance, style_for, beautify, are_enchanted_by
cocky	8	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on,  condescend_to, are_bored_by, tune_out	are_taunted_by, are_mocked_by, are_underestimated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against
masterful	8	impress, are_chronicled_by, tower_over, are_venerated_by, are_admired_by	write_about, become_dependent_upon, are_led_by, look_up_to, 
resolute	8	impress, are_underestimated_by, overcome, rebuff	are_impressed_by, underestimate, are_rebuffed_by
superficial	8	are_flattered_by, dump, fail_to_impress, imitate, copy	are_underappreciated_by, are_imitated_by, are_copied_by, are_dumped_by, criticize, are_failed_by
persuasive	8	persuade, charm, entice, shill_for	are_persuaded_by, are_charmed_by, identify_with, speak_through, lie_for
shy	8	hide_from, avoid, elude, pine_for, run_away_from, are_forgotten_by, are_overshadowed_by	are_eluded_by, overshadow
patriotic	8	campaign_for, campaign_against, rise_against, rebel_against, struggle_with, propagandize_for, are_radicalized_by, cast_off, struggle_against, show_loyalty_to, are_indoctrinated_by, are_disillusioned_by	recruit, enlist, disillusion, are_overthrown_by, indoctrinate
neurotic	9	spy_on, watch_over, resent, grow_suspicious_of, are_concerned_about, fear	are_distrusted_by
opinionated	8	argue_with, disagree_with, are_silenced_by, criticize, complain_to	silence, are_criticized_by, tune_out
unreliable	8	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint, are_dismissed_by, are_fired_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
cool	8	charm, share_stories_with, chat_with, are_copied_by, are_imitated_by	imitate, copy
brash	8	underestimate, threaten, argue_with, bully, pick_on,  condescend_to, are_bored_by, tune_out	are_taunted_by, are_mocked_by, are_underestimated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against
nutty	8	entertain	lose_faith_in, are_frustrated_by, are_entertained_by
entrepreneurial	8	profit_from, hire, fund, invest_in, deal_with, negotiate_with, take_advantage_of	are_hired_by, work_for, are_funded_by
inept	8	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint, are_dismissed_by, are_fired_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
lovelorn	8	pine_for, stalk, cry_for	are_stalked_by, are_driven_mad_by
self-promoting	8	upstage, are_underestimated_by, blackmail, compete_with, take_advantage_of, suck_up_to, lick_up_to, kiss_up_to, curry_favor_with	are_upstaged_by, are_usurped_by, underestimate, cede_power_to, are_betrayed_by
vindictive	8	attack, are_arrested_for_killing, are_arrested_for_hurting, humiliate, lay_a_trap_for, resent, hate, disfigure	are_forgiven_by, seek_forgiveness_from, beg_forgiveness_from, are_humiliated_by, are_disfigured_by
bullying	8	condescend_to, are_toppled_by, underestimate, threaten, abuse, humiliate, argue_with, bully, pick_on, harass	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_underestimated_by
tasteless	8	disgust	are_disgusted_by, pander_to, are_shocked_by
foul-mouthed	8	disgust, drink_with, are_booed_by, taunt, curse, disrespect, heckle, offend, harass	are_disgusted_by, are_cursed_by, are_disrespected_by, are_heckled_by, are_offended_by
intellectual	8	impress, charm, persuade, write_about, condescend_to, read_the_works_of	are_impressed_by, are_charmed_by, are_persuaded_by, read_the_works_of
upbeat	8	look_up_to, trust, confide_in, show_loyalty_to, champion	are_trusted_by, are_supported_by, are_championed_by
attractive	8	charm, seduce, are_wooed_by, date, are_loved_by, entice, are_kissed_by, are_chosen_by	woo, sleep_with, seduce, date, fall_in_love_with, flirt_with
skilled	8	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, are_chosen_by	are_impressed_by, underestimate, hire, recruit
devious	8	betray, spread_lies_about, exploit, manipulate, cheat, flatter, lie_to, take_advantage_of, lay_a_trap_for, conspire_with, brief_against	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, conspire_with, underestimate
lewd	8	disgust, disrespect, embarrass, chase_after	are_disgusted_by, are_offended_by, are_rejected_by, flee_from
lecherous	8	disgust, seduce, embarrass, chase_after, sleep_with, flirt_with	are_disgusted_by, are_offended_by, are_rejected_by, flee_from, are_deflowered_by
engrossing	8	inspire, attract	are_inspired_by, fall_in_love_with, are_impressed_by, study, read_the_works_of, interview
attention-seeking	8	attract, confess_to, sacrifice_to	beautify, style_for, enhance, design_for
frank	8	are_interviewed_by, confess_to, answer_questions_from, complain_to, criticize	debrief, interview, seek_advice_from
incompetent	8	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint, are_dismissed_by, are_fired_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
uneducated	8	learn_from, embarrass	tutor, teach, educate, mentor, are_embarrassed_by
impatient	8	are_frustrated_by, summon, dismiss	wait_on, cater_to, are_dismissed_by, are_summoned_by
self-aggrandizing	8	upstage, condescend_to, underestimate, dismiss, cast_out	are_upstaged_by, are_underestimated_by, pander_to, curry_favor_with, are_favored_by, are_disillusioned_by, assassinate
technically-brilliant	8	impress, are_hired_by, work_for, are_recruited_by, navigate_for, build_for, create_for	are_impressed_by, are_sought_by, become_dependent_upon
environmentally-conscious	8	preach_to, lecture, educate, farm_for	admire, are_impressed_by, mentor
snooty	8	condescend_to, underestimate, threaten, abuse, humiliate, argue_with, bully, pick_on, harass	are_humiliated_by, are_dismissed_by, look_up_to
dutiful	8	work_for, sweat_for, support, bow_down_to, report_to, deliver_for	are_supported_by, appoint
relentless	8	pursue, chase, chase_after, hunt, apprehend, look_for, stalk, track_down	are_hunted_by, are_stalked_by, are_tracked_by, are_wanted_by
scheming	8	conspire_with, spy_on, snitch_to, leak_to, betray, steal_from, blackmail, collude_with, corrupt	are_betrayed_by, are_blackmailed_by, collude_with, abet, are_corrupted_by
convincing	7	persuade, charm, entice	are_persuaded_by, are_charmed_by, identify_with, speak_through
raspy	7	intimidate, bully	are_intimidated_by, are_bullied_by, intimidate_with
groundbreaking	7	impress, inspire, are_copied_by, are_imitated_by	copy, imitate, are_inspired_by, study
secretive	7	hide_from, avoid, elude, distrust, collude_with, abet	conspire_with
unhinged	7	are_radicalized_by, are_indoctrinated_by, are_brainwashed_by	are_sickened_by, brainwash, indoctrinate
cute	7	charm, entice, are_painted_by, are_photographed_by, are_chosen_by, are_underestimated_by	underestimate, are_charmed_by, are_enticed_by, photograph, paint
tyrannical	7	rule_over, dominate, coerce, command, subjugate, appoint, enslave, rule	assassinate, blow_up, bow_down_to, kill_for, are_enslaved_by, are_banished_by, stand_up_to, overthrow, rise_against
scholarly	7	study, study_under, are_lectured_by	study_under, mentor, teach, lecture_to
weak	7	fear, are_overshadowed_by, hide_from, look_up_to, are_underestimated_by, are_intimidated_by	overshadow, are_overlooked_by, underestimate, intimidate
humble	7	look_up_to, trust, confide_in, show_loyalty_to, champion, are_disillusioned_by, are_overshadowed_by	disillusion, overshadow
committed	7	die_for, sweat_for, labor_for, shill_for, campaign_for, champion, support	are_championed_by, are_supported_by
courageous	7	rise_against, stand_up_to, attack, defend, protect, die_for	are_toppled_by, fear, are_defeated_by, are_defended_by, are_protected_by
intimidating	7	intimidate, bully, threaten	fear, are_intimidated_by, are_threatened_by, intimidate_with
argumentative	7	argue_with, disagree_with, undermine, challenge, criticize	are_undermined_by
revolutionary	7	overthrow, topple, rise_against, resist, stand_up_to, resist	are_toppled_by, are_overthrown_by, rebel_against
systematic	8	evaluate, investigate, study	are_evaluated_by, are_investigated_by, are_studied_by, are_probed_by
spirited	7	chase_after, are_roused_by, rouse, stand_up_to	are_roused_by
oafish	7	insult, offend, are_lured_by, are_tricked_by, cause_trouble_for	are_offended_by, are_insulted_by, trick, elude
flamboyant	7	embarrass, upstage	are_embarrassed_by, are_upstaged_by
predatory	7	devour, prey_on, stalk, hunt, track_down, pursue, chase_after, chase	are_pursued_by, are_hunted_by, are_stalked_by, are_chased_by
lazy	7	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint	are_unimpressed_with, lose_faith_in, refuse_to_pay, fire, are_disappointed_by
covetous	7	devour, snatch, abduct, kidnap, steal_from, rob	are_robbed_by, are_snatched_by, are_abducted_by, are_kidnapped_by
sweet	7	fall_in_love_with, date, enchant, charm, obtain_sympathy_from, love, 	are_kissed_by, are_moved_by, sympathize_with, are_trusted_by, are_complimented_by
crude	7	insult, satirize, heckle, offend, abuse	are_mocked_by, are_booed_by, are_heckled_by, are_offended_by, are_insulted_by
imperious	7	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on, condescend_to, fail_to_reward, silence, summon, dismiss	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_dismissed_by, are_rebuffed_by, lose_faith_in, are_censured_by, are_silenced_by
regal	7	summon, appoint,	are_appointed_by, are_summoned_by, are_ennobled_by, are_retained_by, bow_down_to, look_up_to, curry_favor_with
loud	7	complain_to, argue_with, disagree_with, criticize	are_criticized_by
methodical	7	experiment_on, investigate, study, diagnose, evaluate	are_investigated_by, are_evaluated_by, are_studied_by, are_diagnosed_by, are_probed_by
snobby	7	condescend_to, dismiss	are_rebuffed_by, are_spurned_by, are_ignored_by, are_taunted_by
guileless	7	are_tricked_by	trick, fool, exploit, manipulate, are_victimized_by
polemical	7	lecture_to, preach_to, scold, chastise, target	are_criticized_by, are_scolded_by, are_savaged_by
progressive	7	sympathize_with, are_moved_by, advocate_for, campaign_for	are_championed_by, are_defended_by
avuncular	7	chat_with, advise, counsel, watch_over	chat_with, are_advised_by, seek_advice_from
pious	7	condescend_to, preach_to, scold, chastise, pray_to,  pray_with, sacrifice_to	are_blessed_by, are_baptized_by, are_scolded_by, are_chastised_by
cultured	7	condescend_to, study, read_the_works_of	study_under, mentor, teach, lecture_to
improvisational	7	entertain	are_entertained_by
po-faced	7	lecture_to, preach_to, scold, chastise	are_scolded_by, are_chastised_by
creepy	7	disgust, alienate, stalk	are_disgusted_by, fear, avoid, are_stalked_by
womanizing	7	seduce, charm	are_seduced_by, are_charmed_by
air-headed	7	are_tricked_by, trust, are_exploited_by, are_manipulated_by, believe_in	are_trusted_by, exploit, manipulate, steal_from, cheat
sly	7	undermine, trick, flatter, manipulate, cheat	are_undermined_by, are_flattered_by, are_tricked_by, are_cheated_by
smug	7	preach_to, scold, chastise	are_scolded_by, are_chastised_by
posturing	7	lecture_to, imitate, copy, mimic, condescend_to	are_copied_by, are_imitated_by
amoral	7	cheat, steal_from, exploit, manipulate	are_cheated_by, are_manipulated_by, are_exploited_by
ultraconservative	7	lecture_to, denounce, preach_to	are_denounced_by
generous	7	are_repaid_by, lend_to, are_begged_by	repay, borrow_from
uptight	7	condescend_to, lecture	are_lectured_by, are_denounced_by
loving	7	sympathize_with, are_moved_by	
judgmental	6	lecture_to, denounce	are_denounced_by
old-fashioned	6	respect, preach_to	are_respected_by
hammy	6	imitate, copy, mimic	are_copied_by, are_imitated_by
hackneyed	6	imitate, copy, mimic	are_copied_by, are_imitated_by
preening	6	are_pampered_by, are_spoiled_by, condescend_to	pander_to, pamper, spoil
musclebound	6	hit, beat_up, assault, intimidate, bully	are_intimidated_by, are_bullied_by, intimidate_with
long-winded	6	lecture_to, preach_to	are_bored_by, are_bored_with, joke_about, tune_out
racist	6	offend, condescend_to, insult, joke_about, enslave, target, repress, suppress	are_offended_by, are_insulted_by, are_enslaved_by, are_targeted_by,  are_silenced_by, are_suppressed_by, are_repressed_by, stand_up_to
sexist	6	molest, silence, joke_about, repress, suppress, harass	cook_for, are_silenced_by, stand_up_to, are_suppressed_by, are_repressed_by
foolish	6	entertain, are_tricked_by, are_scolded_by, are_chastised_by	are_entertained_by, are_driven_mad_by, are_embarrassed_by, scold, chastise, trick, fool
iconic	6	are_popularized_by, overshadow	popularize, read_about, are_overshadowed_by
uncompromising	6	stand_up_to, resist, challenge, campaign_against, testify_against, indoctrinate, show_loyalty_to	admire, are_inspired_by, are_indoctrinated_by, are_championed_by, work_under
intense	6	rouse	are_roused_by
educated	6	study, study_under, are_lectured_by, read_the_works_of	teach, instruct, mentor
scruffy	6	fail_to_impress	style_for, enhance, beautify
assertive	6	bully, command, criticize, silence, summon, dominate, sue	are_commanded_by, are_dominated_by, are_pushed_too_far_by, are_silenced_by, are_sued_by
corrupt	6	blackmail, are_bought_off_by, lead_astray	are_corrupted_by, buy_off, bribe, brief_against, testify_against
uncaring	6	ignore, rebuff, spurn	are_spurned_by, are_ignored_by, are_underappreciated_by, are_rebuffed_by
zany	6	entertain, satirize, joke_about	are_entertained_by
sharp-tongued	6	insult, offend, humiliate, hurt, taunt, mock, joke_about, laugh_at	are_insulted_by, are_mocked_by, are_taunted_by, are_offended_by, are_humiliated_by
ironic	6	laugh_at, mock	are_mocked_by
popular	6	are_imitated_by, are_copied_by	read_about, shill_for, propagandize_for, vote_for, mimic, copy, imitate
unintelligent	6	fail_to_impress, fail_to_deliver_for, are_refused_payment_by, disappoint, are_dismissed_by, are_fired_by, are_tricked_by	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by, trick, fool
larger-than-life	6	are_imitated_by, are_copied_by	read_about, shill_for, propagandize_for, vote_for, mimic, copy, imitate
cheesy	6	are_mocked_by, are_booed_by, are_heckled_by, embarrass	laugh_at, condescend_to, joke_about, satirize, heckle, are_embarrassed_by
calculating	6	exploit, manipulate, take_advantage_of, cheat, profit_from, overwork, sacrifice	are_exploited_by, are_manipulated_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by, are_underappreciated_by, are_overworked_by
literate	6	study, study_under, are_lectured_by, read_the_works_of, write_for, write_about, write_to	teach, instruct, mentor
misanthropic	6	hate, resent, hide_from, distrust	avoid, are_bitten_by
compassionate	6	nurture, breastfeed, care_for, sympathize_with, are_moved_by, are_begged_by, identify_with, look_after	seek_sympathy_from, obtain_sympathy_from, are_healed_by
autocratic	6	rule_over, dominate, coerce, command, subjugate, appoint, enslave, rule, silence, imprison, incarcerate, subjugate	assassinate, blow_up, bow_down_to, kill_for, are_enslaved_by, are_banished_by, stand_up_to, overthrow, rise_against, are_detained_by, are_incarcerated_by, are_suppressed_by, rise_against, are_toppled_by, are_overthrown_by
militaristic	6	attack, assault, kill, fight	are_attacked_by, appoint, are_savaged_by
technically-talented	6	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, upstage, are_chosen_by, are_copied_by, are_imitated_by	sign_up, recruit
eccentric	6	are_mocked_by, are_rebuked_by	laugh_at, mock, joke_about, satirize
hawkish	6	attack, assault, kill, fight, fight_against	are_attacked_by, appoint, are_savaged_by
angry	6	resent, hate, are_frustrated_by, curse, are_disappointed_by, complain_to	disappoint, are_cursed_by
pessimistic	6	complain_to, fear, are_concerned_about	tune_out, are_bored_by
materialistic	6	profit_from, take_advantage_of, cheat, steal_from,  are_bought_off_by	are_exploited_by, are_manipulated_by, are_cheated_by, are_underpaid_by, buy_off, bribe
hateful	6	hate, resent, spread_lies_about, undermine, abuse	are_resented_by, are_undermined_by
selfrighteous	6	preach_to, scold, chastise, condescend_to	are_scolded_by, are_chastised_by
tragic	6	die_for	sacrifice, kill, assassinate
antisemitic	6	spread_lies_about, resent	are_resented_by, are_undermined_by
camp	6	embarrass, upstage, imitate, mimic	are_embarrassed_by, are_upstaged_by
hard-boiled	6	kill, intimidate, threaten	are_feared_by, are_beaten_by, are_threatened_by, are_intimidated_by
straight-talking	6	are_interviewed_by, counsel, advise, answer_questions_from, complain_to, criticize	debrief, interview, seek_advice_from, are_advised_by, are_counseled_by, are_criticized_by
delusional	6	are_radicalized_by, believe_in, worship, are_indoctrinated_by	are_sickened_by, brainwash, indoctrinate
competitive	6	compete_with, compete_against	are_challenged_by, are_defeated_by
overweight	6	devour	diagnose, starve
phony	6	imitate, copy, mimic	are_copied_by, are_imitated_by
deadly	6	kill, intimidate, threaten, attack, savage, assault	are_victimized_by, are_threatened_by, are_attacked_by, are_savaged_by
curvacious	6	attract, pose_for, are_photographed_by, are_painted_by	are_attracted_by, photograph, paint
unconvincing	6	fail_to_impress, fail_to_deliver_for,  disappoint	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
sensitive	6	identify_with, feel_sorry_for	appeal_to, confess_to
no-nonsense	6	are_interviewed_by, counsel, advise, answer_questions_from, complain_to, criticize	debrief, interview, seek_advice_from, are_advised_by, are_counseled_by, are_criticized_by
noble	6	die_for, champion, support, show_loyalty_to, appoint	are_championed_by, are_defended_by, are_appointed_by
bombastic	6	condescend_to, complain_to, threaten, abuse, humiliate, argue_with, bully, pick_on, harass	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against
field-topping	6	defeat, upstage, overshadow, supplant	are_defeated_by, are_upstaged_by, are_overshadowed_by, are_supplanted_by
abrasive	6	offend, alienate, insult, command, harass	are_offended_by, are_insulted_by, are_disrespected_by, are_scolded_by, are_pushed_too_far_by
action-oriented	6	command, deploy, impress	are_commanded_by
well-mannered	6	let_in, listen_to, are_ignored_by, are_pushed_too_far_by, cater_to, host, 	are_bored_by, are_complimented_by
enthusiastic	6	inspire, encourage, campaign_for, reach_out_to	are_inspired_by, are_encouraged_by
innocent	6	are_corrupted_by, believe_in, admire	exploit, manipulate, cheat, take_advantage_of, corrupt, lie_to
self-assured	6	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on,  condescend_to, are_bored_by, tune_out	are_taunted_by, are_mocked_by, are_underestimated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against
resentful	6	hate, resent, spread_lies_about, undermine, abuse, are_hardened_by, harden_toward	are_resented_by, are_undermined_by
sleazy	5	disgust, sleep_with, seduce	are_disgusted_by, disrespect, laugh_at, mock
compulsive	5	are_treated_by	are_frustrated_by, are_driven_mad_by, diagnose
social-climbing	5	curry_favor_with, kiss_up_to, lick_up_to, flatter, suck_up_to, are_appointed_by, are_favored_by	appoint, favor
uncouth	5	offend, alienate, insult, command, harass, lose_favor_with	are_offended_by, are_insulted_by, are_disrespected_by, are_scolded_by, are_pushed_too_far_by
unoriginal	5	copy, imitate, mimic	are_bored_by, are_bored_with, joke_about, tune_out, are_unimpressed_with,  are_copied_by, are_imitated_by
irritating	5	are_banished_by, harass	are_frustrated_by, are_driven_mad_by, banish, avoid
spoiled	5	are_spoiled_by, are_pampered_by, are_attended_by	pamper, pander_to, spoil, cater_to, wait_on, attend_to
jealous	5	grow_suspicious_of, watch_over, spy_on, stalk	are_driven_mad_by, are_stalked_by
meditative	5	study, read_the_works_of	are_inspired_by, learn_from, are_counseled_by, seek_advice_from
vapid	5	fail_to_impress, fail_to_deliver_for,  disappoint	are_unimpressed_with, lose_faith_in, fire, refuse_to_pay, lose_faith_in, are_disappointed_by
sweaty	5	sweat_for, labor_for, are_overworked_by	overwork
unfeeling	5	attack, assault, kill	are_bitten_by
rebellious	5	rise_against, rebel_against, turn_against, resist	are_overthrown_by, are_toppled_by, are_resisted_by
dumb	5	copy, imitate, mimic, fail_to_impress, fail_to_deliver_for,  disappoint, are_fooled_by, are_tricked_by	are_bored_by, are_bored_with, joke_about, tune_out, are_unimpressed_with, are_copied_by, are_imitated_by, are_embarrassed_by, exploit, take_advantage_of, manipulate, trick, fool
over-the-top	5	embarrass, upstage	are_embarrassed_by, are_upstaged_by
corny	5	are_mocked_by, are_booed_by, are_heckled_by, embarrass	laugh_at, condescend_to, joke_about, satirize, heckle, are_embarrassed_by
conceited	5	condescend_to, preach_to, scold, chastise, are_unimpressed_with, are_unimpressed_by	are_scolded_by, are_chastised_by, fail_to_impress
sincere	5	believe_in, trust, confide_in, share_stories_with, are_respected_by	respect, are_trusted_by, seek_advice_from
cold-blooded	5	kill, intimidate, threaten, attack, savage, assault, are_arrested_for_killing	fear, are_intimidated_by, are_threatened_by, intimidate_with
crafty	5	betray, spread_lies_about, exploit, manipulate, cheat, flatter, lie_to, take_advantage_of, lay_a_trap_for	are_betrayed_by, are_exploited_by, are_manipulated_by, are_cheated_by, are_pushed_too_far_by, are_lured_by
effective	5	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by, upstage, are_chosen_by, are_copied_by, are_imitated_by	are_impressed_by, underestimate, appoint, hire, recruit
vivacious	5	encourage, flirt_with, attract	are_encouraged_by, are_energized_by
callous	5	whip, hurt, punish, taunt, mock, alienate, torture, torment, interrogate, starve	are_taunted_by, are_mocked_by, are_humiliated_by, are_tortured_by, are_tormented_by, are_interrogated_by
youthful	5	look_up_to, are_tended_by, are_raised_by, rebel_against, are_scolded_by	are_molded_by, supervise, tend, breastfeed, baptise
homicidal	5	kill, intimidate, threaten, attack, savage, assault, are_arrested_for_killing	fear, are_intimidated_by, are_threatened_by, intimidate_with
devoted	5	show_loyalty_to, support, identify_with,  campaign_for, defend, follow, obey, die_for	are_supported_by, are_defended_by, are_followed_by, are_obeyed_by, are_championed_by
nimble-fingered	5	steal_from, rob, massage	are_robbed_by
musical	5	entertain, sing_with, play_for	are_entertained_by
dour	5	preach_to, scold, chastise	are_bored_by, are_bored_with, joke_about, tune_out, are_unimpressed_with, are_copied_by, are_imitated_by
annoying	5	frustrate, are_ignored_by	are_driven_mad_by, are_frustrated_by, ignore, lose_interest_in
overbearing	5	bully, command, criticize, silence, summon, dominate, coerce	are_commanded_by, are_dominated_by, are_pushed_too_far_by, are_silenced_by, are_coerced_by
mechanical	5	obey, copy, imitate	are_obeyed_by, command, are_disappointed_by, are_frustrated_by
immodest	5	overshadow, condescend_to, pose_for	are_overshadowed_by
overly-sentimental	5	pine_for, stalk, cry_for, remember	are_stalked_by, are_driven_mad_by, are_remembered_by
intrusive	5	spy_on, steal_from, rob, observe	are_observed_by, are_robbed_by
impulsive	5	are_radicalized_by, are_moved_by, kidnap, abduct	curse
boring	5	lose_favor_with	lose_interest_in, are_bored_by, are_driven_mad_by, tune_out
balletic	5	charm, entice, are_painted_by, are_photographed_by, pose_for, are_chosen_by, perform_for	paint, photograph, style_for, design_for, enhance, style_for
strident	5	condescend_to, preach_to, scold, chastise, are_unimpressed_with, are_unimpressed_by, ignore, tune_out	are_scolded_by, are_chastised_by, fail_to_impress, are_ignored_by
psychopathic	5	stalk, lie_to, intimidate, disfigure, devour	fear, are_intimidated_by, are_bitten_by, are_threatened_by, intimidate_with, are_disfigured_by
fearless	5	stand_up_to, resist, challenge, campaign_against, defend	are_defended_by, are_resisted_by, are_challenged_by
realistic	5	settle_with	seek_advice_from
libidinous	5	disgust, seduce, embarrass, chase_after, sleep_with, flirt_with	are_disgusted_by, are_offended_by, are_rejected_by, flee_from, are_deflowered_by
liberal	5	sympathize_with, are_moved_by, advocate_for, campaign_for	are_championed_by, are_defended_by
mean-spirited	5	starve, spread_lies_about	are_underpaid_by
irresponsible	5	misrepresent	are_misrepresented_by
misogynistic	5	molest, silence, joke_about, repress, suppress, harass	cook_for, are_silenced_by, stand_up_to, are_suppressed_by, are_repressed_by
fashionable	5	are_copied_by, are_imitated_by	style_for, enhance, beautify, impersonate, copy, imitate
pompous	5	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on, condescend_to, fail_to_reward, silence, summon, dismiss	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_dismissed_by, are_rebuffed_by, lose_faith_in, are_censured_by, are_silenced_by
patient	5	wait_on	are_waited_upon_by
two-faced	5	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, brief_against	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
sensationalist	5	misrepresent, write_about, propagandize_for, shill_for	are_misrepresented_by, are_energized_by
reactionary	5	turn_against, resist, stand_up_to, overthrow, topple	are_overthrown_by, are_toppled_by, are_resisted_by
provocative	5	attract, pose_for, are_photographed_by, are_painted_by	are_intrigued_by, are_mystified_by, paint, photograph
incisive	5	satirize	are_rebuked_by
disloyal	5	snitch_on, spread_lies_about, turn_against, misrepresent, betray, blackmail, testify_against	are_betrayed_by, are_blackmailed_by
depressing	5	complain_to, pine_for, lose_interest_in, mourn_for	diagnose, tune_out, are_concerned_about, are_pitied_by, are_bored_by
socially-awkward	5	offend, alienate, insult, harass, lose_favor_with	are_offended_by, are_insulted_by, 
duplicitous	5	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, brief_against	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
unrivalled	5	defeat, overshadow, supplant	are_overshadowed_by, are_defeated_by, are_supplanted_by
treacherous	5	betray, turn_against, blackmail	are_betrayed_by, are_blackmailed_by
fair-minded	5	evaluate, investigate, study, write_about	are_evaluated_by, are_investigated_by, are_studied_by, are_probed_by
rigid	5	obey, copy, imitate	are_obeyed_by, command, are_disappointed_by, are_frustrated_by
privileged	5	are_spoiled_by, are_pampered_by, are_waited_upon_by	spoil, pamper, wait_on, cater_to, serve
sexually-confused	5	woo, flirt_with, seduce, propose_to	are_wooed_by
goofy	5	entertain, are_tricked_by, are_scolded_by, are_chastised_by	are_entertained_by, are_driven_mad_by, are_embarrassed_by, scold, chastise, trick, fool
disobedient	5	disobey, are_scolded_by, are_chastised_by	are_disobeyed_by, scold, chastise
formidable	5	intimidate, bully, threaten, look_up_to, overshadow	are_intimidated_by, are_bullied_by, intimidate_with, are_threatened_by, are_overshadowed_by
outgoing	6	encourage, chat_with, confide_in, share_stories_with, drink_with	chat_with. share_stories_with, drink_with
vertically-challenged	5	look_up_to, are_overshadowed_by	overshadow, tower_over
wilful	5	argue_with, resist, disobey	are_contradicted_by, struggle_against, are_resisted_by, are_frustrated_by, lose_control_over
lively	5	encourage, chat_with, attract	are_encouraged_by, are_energized_by
confident	5	encourage	are_encouraged_by, are_energized_by
undaunted	5	overcome, resist, struggle_with, struggle_against, stand_up_to	are_resisted_by, are_challenged_by
over-reaching	5	supplant, betray, upstage, compete_with, topple	are_upstaged_by, are_supplanted_by, are_betrayed_by, are_toppled_by
overzealous	5	believe_in, worship, are_excommunicated_by, die_for	are_worshipped_by, indoctrinate, brainwash, excommunicate
holier-than-thou	4	preach_to, scold, chastise, condescend_to	are_scolded_by, are_chastised_by
dominant	4	rule_over, dominate, coerce, command, subjugate,  subjugate	are_commanded_by, are_dominated_by, are_pushed_too_far_by, are_silenced_by, are_coerced_by
