Typical Activity	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting
making fantasy movies	sound stage	film set	movie studio	abandoned factory	deserted building site							
constructing an ironic public image	red carpet	chat show set										
making home-made clothes	basement	spare room										
making ice sculptures	ice rink	roof garden	cryogenics laboratory	frozen pond	walk-in refrigerator							
making idealistic movies	Bohemian café											
making insipid musicals	music hall	back-alley theatre	barn									
making Italian movies	pizzeria	Italian restaurant	pool hall	seedy bar								
making kitsch	spare room	basement	garden shed									
making lewd remarks	public restroom	smoke-filled back room	executive restroom	seedy bar	pool hall	factory floor	comedy club					
making maverick choices	chat show set											
making mediocre movies	television studio	film set										
making modern art	art studio											
making money	stock exchange	board room	office building	casino								
making movies	television studio	film set	movie studio	sound stage								
making new wave movies	abandoned factory	disused hangar	deserted building site	factory floor								
making patronising comments	Bohemian café	fast-food restaurant	singles bar	chat show set								
making political gaffes	chat show set	parliament building	State capitol building									
making prank calls	telephone box											
making propagandistic movies	sound stage	sports stadium	war zone	battlefield	factory floor	political rally						
making provocative documentaries	gloomy dungeon	smoke-filled back room	sweatshop	war zone	battlefield	hobo camp	leper colony					
making racist jibes	jungle	seedy bar	basketball court	boxing club	fast-food restaurant							
making sandwiches	fast-food restaurant	office canteen	Bohemian café	Italian restaurant								
making sarcastic remarks	chat show set	lecture theatre	Bohemian café	singles bar	sports bar	board room	comedy club					
making science fiction movies	disused quarry	disused hangar	abandoned factory	deserted building site	desert							
making sick people laugh	emergency room	intensive care ward										
making silly decisions	board room	underground bunker	battlefield									
making soap	abandoned factory	basement	low-tech laboratory	abandoned building								
making subversive art	abandoned factory	art studio	Bohemian café									
making Superhero movies	movie studio	sound stage	film set									
making suspense movies	gloomy dungeon	abandoned factory	abandoned building	ghost town								
making topiary sculptures	roof garden	garden shed	sculpture garden									
making trains run on time	board room	political rally										
making unauthorized sex tapes	cramped studio apartment	cheap motel	church basement	brothel								
making vague predictions	Bohemian café	smoke-filled back room	chat show set	academic conference	political rally							
making violent movies	boxing club	jungle	war zone	battlefield								
making vulgar cartoons	art studio	computer room	animation studio	college dormitory								
making vulgar jokes	comedy club	seedy bar	singles bar	pool hall	trailer park							
making witty remarks	academic conference	chat show set	lecture theatre	Bohemian café	art-house cinema	Tribeca loft						
managing hedge funds	stock exchange	board room	private yacht	Swiss bank								
managing large development projects	technology campus	open-plan office	factory floor									
mangling idioms	sweatshop	Italian restaurant	Chinese restaurant	asylum for the insane								
manipulating ingenues	back-alley theatre	music hall	singles bar	cheap motel								
manipulating political pawns	parliament building	State capitol building	smoke-filled back room	political rally								
dining with playboy princes	fancy restaurant	fancy hotel	penthouse apartment	private yacht								
flirting with rednecks	mobile meth lab	motor home	fast-food restaurant	seedy bar	pool hall	trailer park						
marrying underage girls	fast-food restaurant	motor home	trailer park									
mass-producing cars	assembly line											
meddling in the dark arts	church basement	gloomy dungeon	low-tech laboratory	smoke-filled back room								
collecting green Kryponite	natural history museum	underground bunker	underground lair									
moaning about life	therapist's office	job centre	sports bar	soup kitchen	hobo camp	leper colony	garbage dumpster					
moaning about men	plastic surgeon's office	shoe shop	shopping mall									
moaning about women	sports bar	pool hall	computer room	comic book store	health farm							
modeling clothes	cat walk	sweaty nightclub	singles bar									
modeling DNA	hi-tech laboratory	underground bunker	underground lair	cryogenics laboratory								
monetizing celebrity status	red carpet	clothing factory	chat show set	sports bar								
monetizing physical assets	red carpet											
mooching from neighbors	hobo camp	housing estate	apartment building									
murdering astronauts	command module	computer room										
obeying annoying rules	office building	State capitol building	parliament building	prison	jail cell	open-plan office	academic conference					
offering advice	chat show set	television studio	confession box	lecture theatre	academic conference							
offering bad advice	chat show set	confession box	smoke-filled back room									
offering blessings	church basement	confession box	academic conference									
offering gnostic advice	confession box	academic conference	political rally									
offering legal advice	court room	smoke-filled back room										
opening  a new front	war zone	battlefield	political rally									
opening new markets	stock exchange	board room	jungle	prison								
ordering wire-taps	incident room	State capitol building	smoke-filled back room									
organizing a putsch	seedy bar	pool hall	sports bar	public square	political rally							
organizing armed robberies	spare room	pool hall	smoke-filled back room									
organizing mass suicides	underground bunker	private island	hobo camp	leper colony	prison							
organizing prison breaks	prison yard	jail cell										
over-achieving at school	kindergarten	college dormitory	public library									
over-acting	music hall	back-alley theatre	sound stage	film set	photo booth							
painting abstract paintings	art studio	disused hangar	Tribeca loft									
painting abstract pictures	art studio	disused hangar	Tribeca loft									
painting church ceilings	chapel	church	health farm									
painting colorful pictures	art studio	disused hangar	dark alley	deserted building site								
painting dark pictures	church basement	basement	cramped studio apartment	cheap motel	gloomy dungeon							
painting folksy pictures	art studio	Bohemian café	retirement home									
painting magazine covers	art studio	Bohemian café	newspaper office									
painting melancholy pictures	cramped studio apartment	church basement	retirement home									
painting over photographs	art studio	kindergarten	public library									
painting realistic pictures	war zone	battlefield	natural history museum	public library								
painting self-portraits	bathroom	dressing room	photo booth									
painting soup cans	soup kitchen	restaurant kitchen	abandoned factory									
painting surreal pictures	padded room	therapist's office	mental hospital	asylum for the insane								
parodying songs	piano bar	music room	recording studio	comedy club								
partying on yachts	private yacht	private island										
patenting new technologies	hi-tech laboratory	garage										
paying kickbacks to the police chief	seedy bar	pool hall	casino	sports bar								
peacocking in fancy clothes	cat walk	singles bar	Bohemian café	art gallery	photo booth							
pedalling engine-less cars	parking lot	desert	natural history museum									
performing  moon walks	deserted building site	desert	roof garden									
performing household chores	garage	basement	attic									
performing kung-fu moves	boxing club	war zone	pool hall	public restroom	sports bar							
performing magic tricks	music hall	retirement home	gloomy dungeon									
performing motorcycle stunts	parking lot	public square	deserted building site									
performing office chores	office building	open-plan office	office canteen									
performing physical therapy	retirement home	gymnasium	health farm									
performing serious acting	movie studio	sound stage	film set									
performing stand-up	comedy club	chat show set										
performing street magic	parking lot	public square										
performing Web searches	computer room	public library	open-plan office	bullpen	newspaper office	internet café						
phoning home	telephone box	internet café										
picking pockets	seedy bar	singles bar	Bohemian café	sports bar	public restroom	fast-food restaurant	art-house cinema					
picking weird children names	orphanage	kindergarten										
piloting a spaceship	cockpit	command bridge										
piloting the lunar module	cockpit	command bridge										
piloting the Millenium Falcon	cockpit	command bridge	amusement arcade									
pinching pennies	soup kitchen	flea market	hobo camp	retirement home	cheap motel	fast-food restaurant						
watching the sun rise	balcony	sandy beach	roof garden									
pioneering new technologies	hi-tech laboratory	garage	basement									
piquing public interest	newspaper office	chat show set	red carpet	political rally								
plagiarizing political speeches	State capitol building	smoke-filled back room	public library									
planning adultery	cheap motel	fancy hotel	singles bar									
planning assassinations	smoke-filled back room	prison yard	jail cell	secret military base								
planning confidence tricks	shopping mall	seedy bar	pool hall									
planning orgies	fancy hotel	Tribeca loft	penthouse apartment	Brownstone townhouse	brothel							
planning tank battles	war room	secret military base										
playing aggressive chess	Bohemian café	prison yard	sports bar									
playing Baccarat	casino											
playing baseball	parking lot	roof garden	sports stadium									
playing basketball	gymnasium	parking lot	roof garden									
playing camp villains	music hall	sound stage	film set									
playing classical piano	piano bar	symphony hall	music hall	music room								
playing drums	seedy bar	basement	college dormitory	garage								
playing everyman characters	sound stage	film set	movie studio									
playing God	cryogenics laboratory	hi-tech laboratory	underground lair	secret military base								
playing golf	golf course	roof garden	health farm	private island								
playing grungy music	seedy bar	pool hall	college dormitory	basement	garage							
playing guitar	seedy bar	cramped studio apartment	garage	college dormitory	recording studio							
playing ice hockey	frozen pond	ice rink	cryogenics laboratory	walk-in refrigerator								
playing intense characters	sound stage	film set	movie studio	amusement arcade								
playing James Bond	casino	film set	movie studio									
playing jazz saxophone	elevator	seedy bar	singles bar	music room								
playing jazz trumpet	elevator	seedy bar	singles bar	music room								
playing poker badly	smoke-filled back room	seedy bar	casino	pool hall								
playing pop music	kindergarten	playground	sweaty nightclub	discotheque								
playing pranks	kindergarten	playground	college dormitory									
playing quidditch	parking lot	roof garden	college dormitory	gymnasium								
playing rock guitar	seedy bar	cramped studio apartment	garage	college dormitory	recording studio							
playing rock music	seedy bar	cramped studio apartment	garage	college dormitory	recording studio							
playing rock piano	recording studio	music hall	piano bar									
playing soccer	roof garden	playground	gymnasium	sports stadium								
playing the banjo	trailer park	motor home	mobile meth lab									
playing the clarinet	music hall	music room	symphony hall									
playing the organ	church basement	chapel										
playing the piano	recording studio	music hall	piano bar	symphony hall	music room							
playing the saxophone	elevator	seedy bar	singles bar	music room								
playing the trumpet	seedy bar	singles bar	music room									
playing the violin	symphony hall	music room	music hall	Bohemian café								
playing tough guys	pool hall	seedy bar	smoke-filled back room	casino	boxing club	film set	sound stage	comic book convention				
plotting against family members	family restaurant	attic										
plotting criminal schemes	seedy bar	smoke-filled back room										
plotting election strategies	smoke-filled back room	presidential palace										
plotting mutinies	command bridge	smoke-filled back room										
plotting strategies	smoke-filled back room	war room	map room	gloomy dungeon	battlefield	command bridge						
plotting terrorist outrages	Bohemian café	church basement	gloomy dungeon	cheap motel								
plotting with the enemy	war zone	battlefield	secret military base	public restroom	seedy bar	gloomy dungeon						
podcasting about movies	spare room	attic	college dormitory	computer room								
poisoning an apple	low-tech laboratory	office canteen	apothecary shop	candy store								
popping amphetamines	college dormitory	apothecary shop	motor home	mobile meth lab								
popping Viagra	singles bar	cheap motel	sweaty nightclub	apothecary shop								
posing as a street thug	dark alley	seedy bar	cheap motel	pool hall	cheap hotel foyer							
posing pointed questions	chat show set	academic conference	interrogation room	torture chamber	political rally							
posing riddles	interrogation room	gloomy dungeon	academic conference	kindergarten	playground							
postulating bizarre theories	academic conference	hi-tech laboratory	Bohemian café	low-tech laboratory								
pouting on camera	cat walk	red carpet	chat show set	photo booth								
practicing good skin care	dressing room	bathroom										
practicing insincerity	chat show set	confession box										
practicing the Occult	church basement	gloomy dungeon	private island	underground lair	temple	shrine						
preaching to presidents	chat show set	parliament building	UN general assembly	academic conference								
preaching tolerance	chat show set	UN general assembly	public square	war zone								
predicting the future	hi-tech laboratory	counting room	computer room	academic conference								
preparing for the apocalypse	underground bunker	basement	shooting range	secret military base								
preparing for war	secret military base	underground bunker	war room	smoke-filled back room								
pretending to fight	comic book convention	movie studio	sound stage	film set	chat show set	prison yard						
pretending to wrestle	chat show set	film set	boxing club									
preventing crime	city hall	interrogation room	torture chamber									
preventing terrorism	interrogation room	torture chamber										
probing the mind	therapist's office	padded room	mental hospital	asylum for the insane	hi-tech laboratory	interrogation room						
producing Hipbop records	recording studio											
producing Hollywood movies	movie studio	board room	private yacht									
promoting air travel	disused hangar	roof garden	floating platform									
promoting American values	fast-food restaurant	donut shop	shopping mall	shooting range	outlet mall	comic book store						
promoting atheism	stock exchange	lecture theatre	academic conference	Bohemian café	hi-tech laboratory							
promoting big business	board room	office building	private island	private yacht	abandoned factory	sweatshop						
promoting boxing fights	boxing club	smoke-filled back room	pool hall	seedy bar	sports bar							
promoting Buddhism	roof garden	Bohemian café	Tribeca loft	private yacht								
promoting capitalism	board room	office building	private island	private yacht	Swiss bank	casino	shopping mall	stock exchange	souk			
promoting Catholic values	church basement	chapel	soup kitchen	leper colony	flop house	shrine						
promoting charity	church basement	chapel	soup kitchen	leper colony	orphanage	garbage dumpster						
promoting circus attractions	art-house cinema	Bohemian café	comic book store	kindergarten								
promoting communism	Chinese restaurant	soup kitchen	Bohemian café	flop house								
promoting conservative values	church	chapel	board room	retirement home	shooting range	think tank						
promoting Darwinism	natural history museum	lecture theatre										
promoting democracy	city hall	parliament building	State capitol building	voting booth	newspaper office	presidential palace						
promoting diversity	kindergarten	academic conference	art-house cinema	jungle	art gallery							
promoting Eastern philosophy	Chinese restaurant	Bohemian café	apothecary shop	monastery								
promoting enlightenment	lecture theatre	roof garden	Bohemian café	monastery								
promoting evolutionary theory	natural history museum	lecture theatre	jungle									
promoting Fascism	board room	secret military base	underground lair	Laser Tag arcade								
promoting feminism	shoe shop	sweatshop	academic conference	cat walk	fashion studio							
promoting greed	board room	Swiss bank	stock exchange	casino								
promoting hair products	hair salon	chat show set										
promoting healthy eating	health farm	Bohemian café	vegetable garden	farmer's market	Buddhist temple							
promoting Heliocentrism	lecture theatre	observatory										
promoting humanism	lecture theatre	Bohemian café	academic conference	UN general assembly								
promoting Kaballah	Bohemian café	yoga studio										
promoting liberal values	soup kitchen	Bohemian café	yoga studio	academic conference	art-house cinema							
promoting liberalism	academic conference	Bohemian café	art-house cinema	singles bar								
promoting logical thinking	lecture theatre	hi-tech laboratory	computer room									
promoting monetarism	parliament building	city hall	State capitol building	think tank	casino	stock exchange						
promoting movie violence	shooting range	amusement arcade	comic book store	comic book convention	Laser Tag arcade	kill room						
promoting totalitarianism	think tank	underground bunker	war room	sweatshop								
promoting new technologies	hi-tech laboratory	garage	comic book convention									
promoting new wars	war room	chat show set										
promoting Objectivism	stock exchange	board room	lecture theatre	shopping mall	Swiss bank	casino						
promoting open-source software	computer room	open-plan office	garage	internet café	college dormitory							
promoting openness	public square	lecture theatre	internet café									
promoting pacifism	farmer's market	yoga studio	Bohemian café	art-house cinema	Buddhist temple							
promoting political causes	lecture theatre	city hall	State capitol building	parliament building	presidential palace							
promoting pop music	sweaty nightclub	singles bar	music hall									
promoting racial harmony	kindergarten	tenement building	boxing club									
promoting science	hi-tech laboratory	lecture theatre	comic book store	comic book convention	computer room	technology campus						
promoting Scientology	movie studio	red carpet	chat show set									
promoting social causes	flop house	hobo camp	leper colony	soup kitchen	cheap motel							
promoting socialism	Chinese restaurant	yoga studio	Bohemian café									
promoting the Dark Side	gloomy dungeon	Laser Tag arcade	underground lair	underground bunker	secret military base							
promoting the Web	computer room	internet café	academic conference	technology campus								
promoting tolerance	soup kitchen	hobo camp	war zone	battlefield	church	shrine	Buddhist temple					
promoting vegetarianism	yoga studio	Bohemian café	farmer's market	vegetable garden	health farm	Buddhist temple						
promoting wickedness	gloomy dungeon	board room	underground lair	underground bunker								
promoting world peace	UN general assembly	red carpet										
promoting yellow journalism	newspaper office	board room										
protecting criminals	seedy bar	pool hall	underground lair	cheap motel	safe house							
providing comic relief	comedy club	chat show set	music hall									
proving math theorems	low-tech laboratory	private library										
prowling for dinner	fast-food restaurant	dark alley	animal-testing laboratory	Chinese restaurant	cheap hotel foyer							
publishing newspapers	newspaper office	office building										
publishing soft pornography	dark alley	trailer park	smoke-filled back room	internet café								
pulling capers	casino	penthouse apartment	Swiss bank									
pulling dirty political tricks	smoke-filled back room	cheap motel										
pulling faces	photo booth	cat walk	hall of mirrors									
pulling pranks	kindergarten	playground	college dormitory									
punching out Nazis	underground bunker	secret military base	underground lair	retirement home								
puncturing artistic sensibilities	art gallery	comedy club										
punishing crime	court room	parliament building										
punishing criminals	court room	torture chamber	kill room	prison	jail cell							
punishing terrorists	torture chamber	prison yard										
pursuing criminals	seedy bar	pool hall	dark alley									
pushing anti-trust legislation	parliament building	city hall	State capitol building	presidential palace								
pushing dodgy operating systems	technology campus	open-plan office										
pushing haute couture	clothing factory	sweatshop	cat walk	red carpet								
pushing shoddy merchandise	comic book convention	comic book store	toy store									
pushing the hardline	church	chapel	board room	retirement home								
racing fast cars	race track	parking lot										
racking up marriages	church	chapel										
raging against the machine	internet café	computer room										
raising cain	seedy bar	sweaty nightclub	cheap hotel foyer									
raising new-age children	hippy commune	yoga studio										
ranting about conservatives	chat show set	art-house cinema	Bohemian café									
ranting about liberals	chat show set	shooting range	underground bunker									
ranting about minorities	fast-food restaurant	seedy bar	cheap hotel foyer									
ranting about politics	chat show set	art gallery	college dormitory	lecture theatre								
ranting about religion	Bohemian café	lecture theatre	academic conference	hi-tech laboratory	observatory							
reading braille	public library	dark alley										
reading Cosmopolitan	plastic surgeon's office	health farm	yoga studio									
reading minds	therapist's office	carnival	circus									
reading self-help books	public library	therapist's office										
reading the news	newspaper office	internet café	public library									
recording history	war zone	battlefield										
recruiting disaffected youths	amusement arcade	kindergarten	shopping mall	college dormitory								
releasing the hounds	palatial mansion	race track										
repairing shoes	shoe shop	cobbler shop										
reporting the news	newspaper office											
representing criminals	court room	interrogation room										
representing the disenfranchised	soup kitchen	hobo camp	leper colony	flop house								
rescuing aristocrats	palatial mansion	fancy restaurant	fancy hotel									
rescuing damsels in distress	balcony	gloomy dungeon	penthouse apartment									
rescuing hostages	basement	gloomy dungeon										
rescuing kids	orphanage	kindergarten										
rescuing prisoners of war	war zone	prison	jungle									
retiring replicants	seedy bar	sweaty nightclub	cryogenics laboratory									
reusing readymades	art gallery	art studio	flea market	second-hand store								
revelling in blood spatter	kill room	incident room										
revolutionizing physics	hi-tech laboratory	low-tech laboratory										
robbing banks	Swiss bank											
robbing from the rich	casino	Swiss bank	private vault	penthouse apartment	palatial mansion	Tribeca loft						
rooting out facts	newspaper office	torture chamber	interrogation room									
rooting out moles	city hall	board room	torture chamber									
rooting out spies	foreign office	torture chamber										
ruining an empire	war room	map room	throne room									
seducing emperors	throne room	palatial mansion										
ruling over subjects	throne room											
running a budget airline	open-plan office	board room	office building	disused hangar								
running a bureaucracy	open-plan office	board room	office building									
running a business empire	open-plan office	board room	office building									
making chocolate	chocolate factory	candy store										
selling comic books	comic book store	comic book convention										
being condescending to customers	comic book store	Bohemian café										
running a communist country	board room	presidential palace										
running a crime family	Italian restaurant	pizzeria	pool hall	seedy bar								
running a criminal empire	Italian restaurant	board room	smoke-filled back room									
running a criminal enterprise	seedy bar	smoke-filled back room										
raising a family	living room	attic										
running a fast-food business	fast-food restaurant	pizzeria										
running a frontier town	ghost town	city hall	make-shift hut									
running a hardware company	factory floor	office building										
running a hotel	cheap hotel foyer	fancy hotel foyer										
running a kingdom	presidential palace	throne room										
running a large metropolitan city	city hall	smoke-filled back room										
running a media empire	board room	television studio	newspaper office	open-plan office	private yacht	private island	penthouse apartment	fancy hotel				
running a movie studio	film set	board room										
running a multinational corporation	board room	open-plan office	private yacht	office building								
running a new-age website	computer room	internet café	yoga studio									
running a newspaper empire	board room	newspaper office	open-plan office	private yacht	private island	penthouse apartment	fancy hotel					
running a propaganda machine	underground bunker	presidential palace	smoke-filled back room									
running a reich	presidential palace	underground bunker	secret military base									
running a religious cult	underground bunker	church basement	private island	jungle	shrine	temple						
running a school for gifted teens	palatial mansion	hi-tech laboratory	kindergarten									
eating a box of chocolates	candy store	intensive care ward	chocolate factory									
running a smuggling business	underground bunker	underground lair	cave									
running a software company	technology campus	open-plan office										
running a technology company	technology campus	open-plan office										
commanding a whaling ship	command bridge											
running an empire	presidential palace	throne room	palatial mansion									
running assembly lines	factory floor	sweatshop										
running a dictatorship	presidential palace	underground bunker	throne room									
consolidating an empire	presidential palace	throne room	war room									
cooking fancy food	fancy restaurant	fancy hotel	restaurant kitchen									
running film festivals	Tribeca loft	ski lodge	fancy hotel									
running for governor	State capitol building	smoke-filled back room										
running for the presidency	smoke-filled back room	chat show set	television studio									
running for the senate	smoke-filled back room	chat show set	television studio									
running gentleman's clubs	palatial mansion	seedy bar										
running a tech giant	technology campus	open-plan office	board room									
building a search engine	computer room	garage	college dormitory	internet café								
running Ponzi schemes	board room	stock exchange										
running pyramid schemes	board room	penthouse apartment	stock exchange									
running races	race track	sports stadium										
running restaurants	fancy hotel	restaurant kitchen										
running a clandestine spy organization	underground bunker	underground lair	hi-tech laboratory									
running the FBI	office building	open-plan office										
running theme parks	office building	palatial mansion										
saving money	Swiss bank	counting room	private vault									
saying grace	family restaurant	Italian restaurant										
scandalizing polite society	church	fancy restaurant	chat show set	brothel	cheap motel							
searching for a new world	command bridge	map room										
searching for the messiah	internet café	computer room										
seducing kings	throne room	palatial mansion										
seducing miltary officers	secret military base	fancy restaurant	fancy hotel foyer	cheap hotel foyer	sports bar	singles bar						
seducing toy boys	singles bar	college dormitory	comic book store	comic book convention	candy store							
seducing women	singles bar	shoe shop	cheap hotel foyer	fancy hotel foyer								
seducing young women	college dormitory	singles bar										
seeking revenge	dark alley	seedy bar	basement	kill room								
selling airline seats	travel agency											
selling cheap airline seats	travel agency	alien cantina										
selling chrystal meth	mobile meth lab	fast-food restaurant	trailer park	amusement arcade	cheap hotel foyer							
selling comic books	comic book store	comic book convention										
selling confectionary	candy store	donut shop	chocolate factory									
selling consumer goods	shopping mall	outlet mall	souk									
selling cosmetics	shopping mall	apothecary shop										
selling dodgy goods	flea market	parking lot	souk	antique market	second-hand store							
selling fast food	fast-food restaurant	pizzeria	office canteen									
selling franchises	board room											
selling fried chicken	fast-food restaurant	office canteen	Korean restaurant	roadhouse bar								
selling illegal alcohol	trailer park											
selling kitsch	flea market	antique market	art gallery	second-hand store								
selling military secrets	internet café	alien cantina										
selling modern art	art gallery	art studio	comic book convention									
selling out	recording studio	shopping mall	outlet mall	office building								
selling perfumes	shopping mall	outlet mall	apothecary shop	souk								
selling self-help books	therapist's office	shopping mall	outlet mall									
selling stock cubes	fancy restaurant	larder	pantry									
selling tat	flea market	antique market										
selling tickets	back-alley theatre	sports stadium	sports bar	fancy hotel foyer	cheap hotel foyer	art-house cinema						
serving beer	seedy bar	sweaty nightclub										
shagging spies	sweaty nightclub	fancy hotel										
shocking  radio listeners	radio studio	church basement										
shopping for shoes	shoe shop	outlet mall	shopping mall	souk								
shouting in Hollywood movies	sound stage	film set										
arresting bootleggers	private warehouse	factory floor										
nurturing sibling rivalry	therapist's office	Bohemian café										
singing bawdy songs	seedy bar	prison yard	pool hall	roadhouse bar								
singing blues songs	seedy bar	roadhouse bar										
singing country music	seedy bar	roadhouse bar	church basement									
singing experimental songs	music hall	music room	recording studio	alien cantina								
singing goofy songs	kindergarten	college dormitory	comedy club									
singing Hipbop songs	sweaty nightclub	recording studio	prison yard									
recording pop songs	recording studio	music hall	music room									
crooning love songs	recording studio	sweaty nightclub	casino									
singing jazz songs	sweaty nightclub	singles bar										
singing melancholy songs	sweaty nightclub	singles bar										
singing middle-of-the-road songs	sweaty nightclub	church basement										
singing multipart harmonies	church	chapel										
singing on TV shows	television studio	chat show set										
singing opera arias	music hall	symphony hall										
singing parody songs	comedy club	college dormitory										
singing pop songs	sweaty nightclub	seedy bar	music hall	chat show set								
singing protest songs	public square	prison yard	hippy commune									
singing punk rock songs	seedy bar	deserted building site	abandoned factory	recording studio								
singing reggae songs	sandy beach	seedy bar										
singing rock songs	seedy bar	sports stadium	sweaty nightclub	sports bar	recording studio							
singing romantic songs	sweaty nightclub	recording studio										
singing the blues	seedy bar	roadhouse bar										
singing to teenagers	kindergarten	college dormitory										
singing torch songs	seedy bar	sweaty nightclub	recording studio									
slapping soldiers	intensive care ward	secret military base										
slashing victims	gloomy dungeon	abandoned building	abandoned factory	basement								
smiting frost giants	frozen pond	ice rink	cryogenics laboratory	walk-in refrigerator								
smiting Philistines	art gallery	desert	battlefield	war zone								
blowing smoke rings	seedy bar	roadhouse bar	alien cantina									
smoking Boyard cigarettes	Bohemian café	academic conference										
smoking cigarettes	Bohemian café	sweaty nightclub										
smoking cigars	seedy bar	pool hall	roadhouse bar	board room								
smoking during recess	kindergarten	lecture theatre	roof garden									
smoking herb	sandy beach	roadhouse bar	hippy commune									
smoking Laramie Hi-Tars	seedy bar	roadhouse bar										
smoking Silk Cut cigarettes	seedy bar	roadhouse bar	sweaty nightclub	Bohemian café								
smuggling contraband	private warehouse	command bridge	motor home	alien cantina								
smuggling military plans	escape pod	internet café										
solving crimes	drawing room	dark alley										
solving mysteries	drawing room	country house										
solving riddles	kindergarten	playground										
speaking with funny accents	comedy club	Chinese restaurant	Italian restaurant									
spouting movie trivia	college dormitory	comic book convention	comic book store									
spreading Christianity	church	chapel	pet cemetery	church basement	kindergarten							
spreading fear	shooting range	secret military base										
promoting mysticism	Bohemian café	church	yoga studio	hippy commune								
spreading philosophy	Chinese restaurant	art-house cinema	Bohemian café									
spreading political gossip	smoke-filled back room	seedy bar	city hall									
spreading revolution	public square	hobo camp	jungle									
spying for the CIA	cheap motel	underground bunker	secret military base	hi-tech laboratory								
spying for the enemy	cheap motel	secret military base	hi-tech laboratory									
spying on girls	gymnasium	changing room	college dormitory									
squandering money	casino	candy store	comic book store	antique market	shopping mall	outlet mall	stock market					
stabbing in the back	dark alley	smoke-filled back room										
standing up to bullies	kindergarten	playground	roadhouse bar									
starring in action movies	film set	sound stage	movie studio	jungle								
starring in animated movies	animation studio	recording studio										
starring in comedies	film set	sound stage	movie studio									
starring in cowboy movies	film set	sound stage	movie studio	ghost town								
starring in daytime soap operas	television studio	sound stage										
starring in Hollywood movies	film set	sound stage	movie studio									
starring in indy movies	cramped studio apartment	dark alley	abandoned factory	deserted building site	cheap motel	college dormitory	spare room					
starring in kung-fu movies	boxing club	Chinese restaurant	Korean restaurant									
starring in madcap comedies	film set	sound stage	movie studio									
starring in musical comedies	music hall	film set	sound stage	movie studio								
starring in pornographic movies	cheap motel	basement	brothel									
starring in reality TV shows	television studio											
starring in romantic comedies	film set	sound stage	movie studio	singles bar								
starring in science fiction movies	abandoned factory	deserted building site	disused hangar	alien cantina								
starring in sit-coms	television studio	theatre stage										
starring in TV shows	television studio	chat show set										
starring in war movies	war zone	battlefield	jungle	film set								
starting thunderstorms	public restroom											
stealing human fat	plastic surgeon's office	liposuction clinic	health farm									
stealing hamburgers	fast-food restaurant	office canteen	roadhouse bar									
stealing jewels	private vault	jewelry store	palatial mansion									
stealing lunch money	fast-food restaurant	school canteen	office canteen	kindergarten								
striving for world domination	UN general assembly	secret military base										
struggling with modern times	soup kitchen	internet café	hobo camp	flop house	low-tech laboratory	hi-tech laboratory	cryogenics laboratory	retirement home				
studying computability	computer room	internet café										
studying dinosaurs	natural history museum	desert	jungle	walk-in refrigerator								
studying economics	private vault	private yacht	board room	counting room	casino	stock exchange						
studying genetics	hi-tech laboratory	cryogenics laboratory	health farm	natural history museum								
studying gorillas up close	jungle	zoo	animal-testing laboratory									
studying icons	church	chapel	art gallery									
studying linguistics	private library	public library	low-tech laboratory									
studying magic	gloomy dungeon	church basement	private library									
studying magic tricks	gloomy dungeon	church basement	private library	casino								
studying mathematics	private library	public library	computer room	casino								
studying paleontology	natural history museum	retirement home										
studying science	low-tech laboratory	hi-tech laboratory	cryogenics laboratory									
studying symbols	stock exchange	church	public library	private library	art gallery							
studying the cosmos	observatory	hi-tech laboratory										
subverting social conventions	circus	carnival	comic book convention									
sucking blood	emergency room	intensive care ward	liposuction clinic	gloomy dungeon	zoo	animal-testing laboratory						
suing large corporations	court room	board room										
suppressing minorities	flop house	fast-food restaurant	prison									
suppressing violent urges	therapist's office	prison yard	roadhouse bar									
waxing a surfboard	sandy beach											
surviving a shipwreck	sandy beach	private yacht										
surviving fatwas	church basement	cheap motel	safe house									
surviving in a post-apocalypic world	abandoned factory	deserted building site	abandoned building	desert								
surviving in the 25th century	hi-tech laboratory	cryogenics laboratory	walk-in refrigerator									
communicating with animals	jungle	zoo	animal-testing laboratory									
eating bugs	jungle	animal-testing laboratory										
licking frogs	jungle	zoo	blue lagoon									
sucking roots	jungle	roof garden	garden shed	vegetable garden								
surviving large-scale floods	jungle	public swimming pool	bathroom	aquarium								
milking coconuts	jungle	private island										
swinging from tree to tree	jungle	roof garden	zoo									
swinging on a perch	cage	animal-testing laboratory										
taking anabolic steroids	gymnasium	boxing club	apothecary shop	animal-testing laboratory								
taking bribes from organized crime	city hall	State capitol building	smoke-filled back room									
talking in riddles	kindergarten	padded room	interrogation room	playground								
talking to mirrors	bathroom	dressing room	walk-in closet	hall of mirrors								
talking up the economy	lecture theatre	chat show set	parliament building	presidential palace								
teaching Defence Against the Dark Arts	lecture theatre	gloomy dungeon	kindergarten	apothecary shop	animal-testing laboratory	low-tech laboratory	mental hospital					
teaching the next generation	lecture theatre	kindergarten										
teaching magic	lecture theatre	kindergarten										
teaching martial arts	lecture theatre	boxing club	gymnasium	dance hall								
teaching philosophy	lecture theatre	public library	Buddhist temple									
teaching philosophy to future leaders	lecture theatre	kindergarten	Buddhist temple									
