Determiner	Weapon	Affordances
a	shattering voice	shattering with, knocking out with, blowing away with
a	short sword	running through with, puncturing with, cutting with, stabbing with
a	shotgun	blowing away with, shooting with, peppering with, blasting with
a	shovel	whacking with, bitch-slapping with, knocking out with, chopping with, battering with
a	shrimp skewer	stabbing with, puncturing with, piercing with
a	shrinking ray gun	shrinking with, vaporizing with
a	SIG-Sauer P220	shooting with, pistol-whipping with
a	SIG-Sauer P226	shooting with, pistol-whipping with
a	SIG-Sauer P228	shooting with, pistol-whipping with
a	handgun with silencer	shooting with, pistol-whipping with
a	silk-stocking garrote	choking with
a	silk-thread garrote	choking with
a	six shooter	shooting with, pistol-whipping with
	skunk funk	repelling with, numbing with, frightening away with
a	Slaugherhouse Six-shooter	shooting with, pistol-whipping with
a	sling blade	slashing with, cutting with, stabbing with, gutting with
a	smelly cat litter	poisoning with, nauseating with, sickening with
	smilex gas	poisoning with, nauseating with, sickening with
a	Smith & Wesson M&P Revolver	shooting with, pistol-whipping with, blowing away with
a	Smith & Wesson Model 60	shooting with, pistol-whipping with, blowing away with
a	smoking gun	shooting with, pistol-whipping with
a	soporific voice	repelling with, numbing with, frightening away with
	soul-stirring poetry	electrifying with, disorienting with
a	spicy chicken zingers	burning with, bombarding with
a	spiky mace	spraying with, squirting with, burning with, repelling with
	spinach	spraying with, squirting with, repelling with
a	splatter gun	blasting with, shooting with, splatting with
a	spring-action mousetrap	crushing with, crunching with
a	Springfield M1 Garand rifle	shooting with, blasting with, blowing away with
a	spruce goose	running over with, flattening with
	sprung rhythm	disorienting with, confusing with, wrong-footing with
an	SS-issued Luger	shooting with, pistol-whipping with
a	staple gun	stapling with, piercing with, puncturing with
a	steel spatula	crushing with, battering with, bitch-slapping with
	steel-capped cowboy boots	kicking black-and-blue with, ass-kicking with
a	steel-cutting laser beam	cutting, burning, slicing, zapping
a	steel-ribbed handbag	battering with, walloping with, coshing with, hammering with, knocking out with
	Sting	running through with, puncturing with, cutting with, stabbing with, slashing with
	street magic	disorienting with, confusing with, wrong-footing with
a	suicide penguin squad	overwhelming with, intimidating with, bombarding with
	sulphuric acid	burning with, melting with, frying with
	Sumo Kung Fu	beating black-and-blue with, ass-kicking with, crushing with, bear-hugging with
	Sumo wrestling	crushing with, bear-hugging with, swatting away with
a	Sundance six-shooter	shooting with, pistol-whipping with
a	Sunday-school wedgie	humiliating with, degrading with
a	Super Gun	blowing up with, blowing away with
a	super-powered boyfriend	intimidating with, frightening away with, manipulating with
	super-strength	crushing with, bear-hugging with, swatting away with
a	suspender-powered catapult	bombarding with, battering with, shooting with
a	Swedish penis pump	blowing up with, pummelling with
a	swinging chain	slashing with, cutting with, slicing with
a	T square	slashing with, cutting with, slicing with
a	tailor's scissors	stabbing with, puncturing with, piercing with, shredding with
a	talking car	running over with, flattening with
a	talking headbutt	head-butting with, knocking out with
a	tambourine	entrancing with, charming with, battering with, whacking with
a	Taser gun	shooting with, zapping with, electrifying with, electrocuting with
a	Taurus PT92	shooting with, pistol-whipping with
a	Taurus PT99  pistol	shooting with, pistol-whipping with
a	Taxi Driver "special"	shooting with, pistol-whipping with
	teenage angst	horrifying with, frightening away with
a	tentacle chokehold	choking with
the	Tesla death-ray	zapping with, frying with, electrifying with, electrocuting with
	Teutonic wit	disorienting with, bullying with, withering with, tongue-lashing with
the	comfort of strangers	entrancing with, charming with, disorienting with
the	Laevateinn wand	scarring with, burning with, withering with, tongue-lashing with
the	One true ring	entrancing with, charming with, manipulating with
the	Tesseract	blowing up with, blowing away with, blasting with
a	thong-powered catapult	knocking over with, bombarding with
a	throat punch	choking with, immobilizing with
	thumb screws	crushing with, torturing with, nipping with
a	Tiffany knuckle-duster	pummelling with, beating black-and-blue with
	Tin Man's axe	chopping with, dismembering with, cutting with, 
a	wooden crutch	battering with, pummelling with, poking with
a	turkey leg	battering with, pummelling with, poking with
a	Titan dart gun	shooting with, pistol-whipping with, piercing with
a	Todd AO spike	piercing with, puncturing with, stabbing with, running through with
a	tomahawk	chopping with, dismembering with, cutting with, 
a	toothy grin	entrancing with, charming with, manipulating with
	toxic puns	frightening away with, repelling with
a	toy lightsaber	intimidating with, frightening away with, manipulating with, whacking with
a	trained Black Panther	intimidating with, frightening away with, manipulating with
a	rabid dingo	infecting with, poisoning with, mauling with, savaging with
a	rabid iguana	infecting with, poisoning with, mauling with, savaging with
a	trashcan lid	battering with, pummelling with
a	tricked out smartphone	zapping with, hacking with, electrifying with, electrocuting with
a	trompe l'oeil	confusing with, disorienting with, repelling with
a	trumpet blow-pipe	shooting with, piercing with, puncturing with, poisoning with
a	trust fund	intimidating with, crushing with, manipulating with
a	TV set through a hotel window	flattening with, crushing with
a	twirling cane	whipping with, stinging with, battering with
a	twirling swizzle stick	whipping with, stinging with, battering with
a	twisted coat hanger	stabbing with, puncturing with, piercing with
a	two-handed sword	running through with, slashing with, cutting with, stabbing with, gutting with
a	tyre iron	battering with, walloping with, coshing with, hammering with, knocking out with
	Ulak blades	slashing with, cutting with, stabbing with
	unassailable self-belief	flattening with, crushing with, intimidating with
	uncontrollable rage	attacking with, overwhelming with
	unctious charm	neutralizing with, entrancing with, manipulating with
	unethical legal trickery	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
	unflattering style	repelling with, sickening with, frightening away with
	Unha-9 rocket	blowing up with, blowing away with
	unknown unknowns	confusing with, disorienting with, frightening away with
an	unrefusable offer	intimidating with, bullying with, manipulating with
	Uruk-hai orcs	targeting with, intimidating with, bullying into submission with, overwhelming with
an	Uzi	blasting with, shooting with, splatting with, shredding with, blowing away with
a	V-2 missile	blowing up with, blowing away with
a	very short sword	running through with, puncturing with, cutting with, stabbing with
a	vibranium shield	battering with, pummelling with
a	vibrator set to stun	stunning with, shocking with, immobilizing with, zapping with
a	vine wood magic wand	scarring with, burning with, withering with, zapping with, blasting with
a	violin-string garrote	choking with
a	Voice cannon	blowing away with, deafening with
a	voice-activated Taser	shooting with, frying with, electrifying with, electrocuting with
the	Vulcan nerve pinch	immobilizing with, flattening with
	vulgar jokes	repelling with, sickening with, frightening away with
	VX gas	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
a	walking stick	battering with, pummelling with, whipping with, poking with
a	Walther P-38 semi-automatic pistol	shooting with, pistol-whipping with
a	Walther PPK	shooting with, pistol-whipping with
	washboard abs	intimidating with, frightening away with, humiliating with
	weapons-grade plutonium	poisoning with, sickening with
	web-shooters	immobilizing with
a	Webley Bulldog pistol	shooting with, pistol-whipping with
a	Westinghouse M95A1 Phased Plasma Rifle	blasting with, shooting with, splatting with, shredding with, blowing away with
a	wheelchair-mounted machine gun	shooting with, peppering with, shredding with
	whiny persistence	repelling with, numbing with, frightening away with
a	whip	whipping with, stinging with, battering with
a	white cane	whipping with, stinging with, battering with, poking with
a	Who Dat Ninja shuriken star	shredding with, slashing with, perforating with
	wooden acting	horrifying with, frightening away with, repelling with
	wooden dentures	horrifying with, frightening away with, repelling with
a	wooden oar	battering with, walloping with, coshing with, hammering with, knocking out with
a	wooden ruler	slashing with, cutting with, poking with
a	wooden spoon	battering with, pummelling with, poking with
a	woodsman's axe	chopping with, dismembering with, cutting with, 
a	workhouse sledgehammer	battering with, pummelling with, poking with, hammering with
	xenophobic jokes	hammering with, battering with, pummelling with
an	XL dildo	battering with, pummelling with, running through with, stabbing with, ramming with, intimidating with
a	Yawara Stick	battering with, pummelling with, whipping with, poking with
a	Yes We Cannon	blowing away with
	yogic hopping	confusing with, disorienting with, frightening away with
	yogic Kung Fu	beating black-and-blue with, ass-kicking with, zapping with
	zany antics	confusing with, disorienting with, frightening away with
a	zap gun	zapping with, frying with, electrifying with, electrocuting with
	zombie antibodies	infecting with, infiltrating with
a	Zulu spear	running through with, slashing with, cutting with, stabbing with
a	demon blade	stabbing with, gutting with, slashing with
an	angel blade	stabbing with, gutting with, running through with
	holy water	spraying with, squirting with, burning with, repelling with
	burning holy oil	spraying with, squirting with, burning with, repelling with
	hellfire	burning with, melting with, frying with
	hell hounds	savaging with, mauling with, shredding with
a	pair of sai	stabbing with, gutting with, running through with
a	handheld hypno-beam	entrancing with, neutralizing with, immobilizing with, manipulating with
a	Smith and Wesson M&P	shooting with, pistol-whipping with
a	used syringe	infecting with, poisoning with, puncturing with, piercing with
	pointed questions	wounding with, disorienting with, repelling with, piercing with
	Etonian charm	neutralizing with, entrancing with, manipulating with, disarming with
the	Old Boy Network	intimidating with, crushing with, manipulating with
	poisonous rue	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
	bureaucratic skullduggery	intimidating with, crushing with, manipulating with, undermining with
	apothecary poison	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
a	home-made handbag	battering with, walloping with, coshing with, hammering with, knocking out with
the	Phantom Zone Projector	zapping with, banishing with, repelling with
	heat-ray vision	zapping with, frying with, burning with, melting with
	super-breath	repelling with, numbing with, blowing away with, freezing with
a	shard of broken wine glass	stabbing with, slashing with, cutting with
a	sharp tongue	offending with, repelling with, withering with, tongue-lashing with, cutting with
a	magic wand of Yew wood	scarring with, burning with, withering with, zapping with, blasting with
the	Elder Wand	scarring with, burning with, withering with, zapping with, blasting with
the	Deathstick	scarring with, burning with, withering with, zapping with, blasting with
the	"Good Samaritan" revolver	shooting with, pistol-whipping with, blasting with
the	"Big Baby" revolver	shooting with, pistol-whipping with, blasting with
	tiger blood	spraying with, squirting with, poisoning with, repelling with
a	broken shot glass	slashing with, cutting with, stabbing with
a	MAC-10 with sound suppressor	shooting with, pistol-whipping with, blasting with
a	Smith & Wesson  22147 Magnum revolver	shooting with, pistol-whipping with, blasting with
the	Wolfsbane potion	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
a	traditional marriage sack	abducting with, immobilizing with, trapping with
a	pet bear	intimidating with, frightening away with, terrifying with, scaring senseless with
an	elbow strike	striking with, knocking out with, whacking with
an	uppercut	striking with, knocking out with, whacking with
a	headbutt	striking with, knocking out with, whacking with
a	rusty chisel	stabbing with, puncturing with, piercing with, shredding with
a	cigarette holder	stabbing with, puncturing with, piercing with
a	billy club	beating black-and-blue with, hitting with, beating with, battering with, pummelling with



