Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
George Clooney	George Clooney	male	Beverly Hills, Hollywood	California	USA	left	single		starring in Hollywood movies, starring in indy movies, womanizing, promoting political causes	 Tesla Roadster	unctious charm	sharp suit, polo neck	Hollywood, Acting	movies					Ocean's 11		Actor, Director, Campaigner	selfrighteous, earnest, pious, bland	handsome, charming, affable, rugged
George Costanza	George Costanza	male	Upper East Side	New York City	USA		single		complaining about life	1983 Chrysler LeBaron convertible	Festivus pole	big-boy jeans	The Seinfeld Chronicles, Comedy	comedy, television	fictional	Jason Alexander	Jerry Seinfeld, Larry David	Vandelay Industries		Seinfeld	Fool, Friend	argumentative, neurotic, self-loathing, stingy, selfish, dishonest, insecure	loyal, modest
George Foreman	George Foreman	male	Houston	Texas	USA			Muhammad Ali	winning heavyweight titles, knocking out opponents, winning boxing matches	1970 Dodge Swinger	hot grill	boxing shorts	Boxing	sport				The George Foreman Grill			Boxer, Businessman	rope-a-dopey	strong, athletic, avuncular, business-savvy
George Harrison	George Harrison	male		Liverpool	UK	left			playing guitar, singing pop songs	Yellow Submarine	yogic hopping	hippy shirt	The Beatles, Pop music	music, singing				Free as a Bird, Here Comes the Sun	The Beatles		Rock Singer, Guitarist	bland, tepid, naïve, mysticism-peddling	melodic, tuneful, spiritual
George Orwell	George Orwell	male		London	UK	left	married	Big Brother	promoting liberalism, warning about totalitarianism, writing political tracts, writing polemics	1930 Rudge Whithworth motorcycle	Room 101	staid suit	Dystopian fiction, 	literature				1984			Writer, Novelist, Campaigner, Reporter	pessimistic, schoolmasterish, gloomy	literate, erudite, lucid, progressive
George Soros	George Soros	male		Budapest	Hungary	right	married	Glenn Beck, Bill O'Reilly	managing hedge funds, making billions	armored Rolls Royce	hedge fund trimmer	business suit	Hedge Funds, Speculation	business				 The Quantum Fund			Billionaire, Investor, Speculator	predatory, ruthless, opportunistic, greedy	rich, privileged, wealthy, powerful, wealthy, business-savvy
George W. Bush	George Bush	male	Crawford	Texas	USA	right	married to Laura Bush	Al Gore, John Kerry, Osama Bin Laden	 launching foreign wars	Ford F-150 truck	family connections	cowboy hat, Stetson, cowboy boots	the Right, the Republicans, American politics	politics, history, culture		Johh Brolin		The Bush Doctrine	The Republican Party, Neo-Conservatism		Politician, President, Political Leader	dumb, inarticulate, shallow, unthinking, inarticulate, over-zealous	affable, entertaining, cheery, good-hearted, folksy
George Washington	George Washington	male	Mount Vernon	Virginia	USA	right	married to Martha Washington	Benedict Arnold	leading revolutions, fighting for liberty	horse-drawn carriage	wooden dentures	redcoat	the American War of Independence	politics, history, culture		David Morse					General, President, Political Leader, General	condescending, snooty, humorless, 	inspiring, charismatic, strategic, farseeing, athletic, tall
Gerard Manley Hopkins	Gerard Manley-Hopkins	male	Stratford	London	USA	left	single		writing modern poetry		sprung rhythm		Poetry, Sprung Rhyme	poetry				Sprung Rhyme			Poet	tortured, anxious, guilt-wracked	poetic, lyrical, innovative, experimental
Megyn Kelly	Megyn Kelly	female	Syracuse	New York	USA	right	Douglas Brunt	Donald Trump, Bill O'Reilly	promoting conservative values, ranting about liberals	Cadillac gas-guzzler	anti-logic, selfrighteous preaching	hair extensions, blue leather dress	the Right, the Republicans, American politics, Fox News	politics, culture				The Kelly File	FOX News		Pundit, TV Host, Interviewer	incendiary, rabble-rousing, demagogic, conspiracy-addled	patriotic, libertarian, fiery
Bill O'Reilly	Bill O'Reilly	male	Manhattan	New York City	USA	right	divorced from Maureen McPhilmy	Michael Moore, Jon Stewart, Megyn Kelly	promoting conservative values, ranting about liberals	Lincoln Continental	selfrighteous preaching, caustic put-downs	staid suit	the Right, the Republicans, American politics, Fox News	politics, culture				The O'Reilly Factor	FOX News		Pundit, TV Host, Interviewer	opinionated, rude, aggressive, gruff, abrasive, haughty	outspoken, provocative, media-savvy
Glenn Beck	Glenn Beck	male	New Canaan	Connecticut	USA	right		George Soros	promoting conservative values, ranting about liberals	Cadillac gas-guzzler	anti-logic		the Right, the Republicans, American politics, Fox News	politics, culture				The Glenn Beck Radio Program	FOX News		Pundit, Campaigner, TV Host, Radio Host	incendiary, rabble-rousing, demagogic, conspiracy-addled	patriotic, libertarian, fiery
Gloria Steinem	Gloria Steinem	female	Manhattan	New York City	USA	left		Betty Friedan	promoting feminism, moaning about men	New York taxicab	pepper spray, Taser gun, knee kick	miniskirt	Feminism, the Woman's movement	politics, culture				Ms. Magazine, Women's Action Alliance	National Organization of Women		Campaigner, Feminist, Writer	strident, pushy	passionate, progressive
Mikhail Gorbachev	Mikhail Gorbachev	male		Moscow	Russia	left	married	Boris Yeltsin	coasting on past glories	ZIL-111 convertible	KGB poison umbrella	sable hat	the Soviet Union, the Cold War	politics, history, culture				Perestroika, Glasnost	The U.S.S.R., The Communist Party		Politician, President, Political Leader	over-the-hill, faded	radical, reforming, progressive
Gordon Ramsay	Gordon Ramsay	male	Chelsea	London	UK		married	Marco Pierre White	cursing at kitchen staff, winning Michelin stars, cooking fancy food	Ferrari 458 Italia	kitchen cleaver	kitchen whites	Cooking, the Kitchen, Haute Cuisine	television, cooking				Hell's Kitchen, Kitchen Nightmares			Chef, Restauranteur, TV Host	foul-mouthed, vulgar, profane, aggressive, pushy, bossy, arrogant	creative, artful, masterful, accomplished, capable
Grace Kelly	Grace Kelly	female	Monte Carlo	Monaco	France		married to Prince Rainier		dining with playboy princes, starring in Hollywood movies, starring in romantic comedies	Rover P6 3500V8	pearl bolas	ball gown	Hollywood, Acting, Monacco	movies							Actress, Princess	vapid, bland, shallow	beautiful, graceful, elegant, pretty, regal
Greta Garbo	Greta Garbo	female		Stockholm	Sweden		single	Marlene Dietrich	starring in Hollywood movies, 	1933 Duesenberg J Victoria	Ninotchka nunchucks	little black dress	Hollywood, Acting	movies							Actress, Recluse	taciturn, silent, reclusive, moody	enigmatic, beautiful, mysterious
Groucho Marx	Groucho Marx	male	Beverly Hills, Hollywood	California	USA		married		starring in madcap comedies, 	1954 Desoto Plymouth	exploding cigars	fake moustache, funny glasses, shabby suit	Hollywood, Comedy, The Marx Brothers	movies, television, comedy				The Marx Brothers	The Marx Brothers		Comedian, Host, Writer, Actor	offensive, obnoxious, insensitive, outrageous	witty, entertaining, zany, humorous
Gwyneth Paltrow	Gwyneth Paltrow	female	Kensington	London	UK	left	divorced from Chris Martin	Martha Stewart	running a new-age website, starring in Hollywood movies, raising new-age children, picking weird children names	Prius, BMW X5	selfrighteous preaching	little black dress	Hollywood, Acting	movies				GOOP Website, GOOP clothing			Actress	twee, inspid, bland, pretentious	pretty, attractive, slim
H.P. Lovecraft	Howard Lovecraft	male	Providence	Rhode Island	USA	right	single		writing purple prose, writing horror stories, writing for pulp magazines		purple prose	tweed jacket	Horror fiction	literature, horror				The Call of Cthulhu			Writer	dark, pessimistic, misanthropic, xenophobic	engrossing, inventive, imaginative, 
Han Solo	Han Solo	male			Corellia	libertarian	dating Princess Leia	Jabba the Hutt	piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance	Millenium Falcon	laser blaster, laser cannon	gun belt, black vest, black riding boots	Star Wars	science fiction	fictional	Harrison Ford	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	Hero, Smuggler, Rebel	reckless, sarcastic, materialistic, cynical	heroic, dashing, daring, intrepid, brave
Jabba the Hutt	Jabba Hutt	male		Northern Dune Sea	Tatooine	libertarian	pursuing Princess Leia	Han Solo	running a crime family, running a smuggling business	Khetanna sail barge	halitosis		Star Wars	science fiction	fictional		George Lucas			Star Wars, The Empire Strikes Back, Return of the Jedi	Crimeboss, Villain	fat, disgusting, gelatinous, corpulent, ruthless, disgusting, ugly, flabby, cruel	cunning, crafty, shrewd, powerful
Hannibal Lecter	Hannibal Lecter	male			Lithuania	right, libertarian	single	Will Graham, 	eating census takers, eluding FBI profilers, eating people	 Bentley Arnage T	scalpel, carving knife, melon baller	hard plastic mask, guard's face	Detective fiction, Horror fiction	literature, horror, crime	fictional	Anthony Hopkins	Thomas Harris	Liver and Fava beans		Silence of the Lambs	Serial Killer, Psychiatrist, Cannibal	cruel, ruthless, cannabalistic, sadistic, cold, sinister, creepy	intelligent, smart, insightful, urbane, cunning, brilliant, witty, charming
Harry Houdini	Harry Houdini	male		Budapest	Hungary	right	married	Arthur Conan Doyle	escaping from handcuffs, escaping from water tanks,	914 Packard 2-38 Touring car	Chinese water-torture cell	chains, manacles	Escapology, Stage Magic	magic		Tony Curtis		The Chinese Water Torture Cell			Escapologist, Magician	egotistical, short, mother-obsessed	dexterous, cunning, agile, nimble, strong, clever, shrewd
Harry Potter	Harry Potter	male	Hogwarts	Scotland	UK	left	single	Draco Malfoy, Lord Voldemort	performing magic tricks, studying magic tricks, playing quidditch	Nimbus 2000 broomstick	magic wand	Hogwarts uniform, black robe, black pointed hat	Hogwarts, Teen fiction	literature, magic	fictional	Daniel Radcliffe	J. K. Rowling		The Order of the Phoenix, Hogwarts	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	Magician, Wizard, Schoolkid, Student	nerdy, weedy, orphaned	honest, decent, loyal, studious
Lord Voldemort	Tom Voldemort	male	Hogwarts	Scotland	UK	right	dating Merope Gaunt	Harry Potter, Albus Dumbledore	devising evil schemes, striving for world domination, meddling in the dark arts, tormenting muggles	Floo powder	magic wand of Yew wood	large black robe	Hogwarts, Teen fiction	literature, magic	fictional	Ralph Fiennes	J. K. Rowling	The Horcrux	The Death Eaters	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	Wizard, Magician, Villain, Psychopath, Necromancer	self-hating, evil, malevolent, cruel, power-hungry, hateful, ugly, flat-faced, bitter, malicious, sadistic, murderous, cursed, tyrannical, psychopathic, bald, arrogant	powerful, skilled, commanding, intelligent
Albus Dumbledore	Albus Dumbledore	male	Hogwarts	Scotland	UK	left	dating Gellert Grindelwald	Lord Voldemort	performing magic tricks, studying magic tricks, teaching magic, running a school for gifted teens, teaching the next generation 	Floo powder	the Elder Wand, the Deathstick	 half-moon spectacles, colorful robe, tassel hat	Hogwarts, Teen fiction	literature, magic	fictional	Richard Harris, Michael Gambon	J. K. Rowling		The Order of the Phoenix, Hogwarts	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	Wizard, Magician, Professor, Teacher	effeminate, eccentric, kooky, Machiavellian	honest, serene, benevolent, wise, powerful, loving, inspiring, inspirational, cunning, whimsical, skilled, accomplished, perceptive
Heath Ledger	Heath Ledger	male	Brokeback Mountain		USA		dating Michelle Williams		starring in Hollywood movies, 	Jokermobile	prescription drugs	purple suit	Hollywood, Acting	movies							Actor	drug-addled, tragic, reckless	talented, compelling, entertaining, versatile, convincing
Helen Keller	Helen Keller	female	Tuscumbia	Alabama	USA		single		reading braille, avoiding eye contact	horse-drawn carriage	white cane	bustle	American education	education		Patty Duke					Role Model, Campaigner	blind, deaf, dumb, handicapped	resolute, determined, capable, resourceful, courageous, tenacious, fearless
Henry Ford	Henry Ford	male	Dearborn	Michigan	USA	right	married	Alfred P. Sloan	mass-producing cars, running assembly lines, making cars	Ford Model T	model-T-100 Terminator	black business suit	the Motor industry, the Car industry	business				Ford Motor Company	Ford Motor Company		Businessman, Industrialist	antisemitic, bossy, calculating	industrious, innovative, productive, successful, visionary, practical
Henry James	Henry James	male	Manhattan	New York City	USA				writing modern fiction	horse-drawn carriage	modernistic prose	wing collar, top hat, Astrakhan coat	American literature	literature				Washington Square			Writer, Novelist, Playwright	long-winded, stuttering	literary, realistic, expressive
Henry Kissinger	Henry Kissinger	male		Fürth	Germany	right		Christopher Hitchens	brokering peace deals	armored towncar	ruthless ambition	tweed jacket	the Right, the Republicans, American politics	politics, history, culture				The Paris Peace Accord			Politician, Advisor	conniving, cynical, manipulative, Machiavellian	shrewd, clever, witty, strategic
Henry Miller	Henry Miller	male	Yorkville	New York City	USA	left, libertarian			writing erotic fiction	streetcar	iron dildo		American literature	literature		Fred Ward		Tropic of Cancer			Writer, Novelist	surreal, sex-mad, lewd	experimental, explicit, expressive, mystical 
Hercule Poirot	Hercule Poirot	male		London	UK		single		solving crimes, pursuing criminals, tricking criminals, extracting confessions	1931 Lagonda 	little grey cells	Homburg, bow tie, wing collar	Detective fiction, Drawing room mysteries	literature	fictional	David Suchet, Peter Ustinov	Agatha Christie			Agatha Christie's Mysteries	Detective, Foreigner, Private Detective	preening, effete, vain, dandified, foppish	clever, insightful, shrewd, inquisitive, observant, dignified, fastidious, pernickety
Hillary Clinton	Hillary Clinton	female	Chappaqua	New York	USA	left	married to Bill Clinton	Barack Obama, Monica Lewinsky	running for the senate, campaigning for the presidency, frowning at errant husbands, tolerating adultery	armored towncar	ruthless ambition	pant suit	American politics, the Left, the Democrats	politics, culture					The Democratic Party		Politician, First Lady	polarizing, controversial, bossy, grasping	capable, driven, ambitious, 
Homer	Homer	male			Greece				writing epic poetry, telling epic tales	sedan chair	Homeric similes	toga	Ancient Greece, the Ancient world	poetry, literature				The Illiad, The Odyssey			Poet	blind, long-winded	poetic, lyrical, compelling, classical
Homer Simpson	Homer Simpson	male	Springfield		USA		married to Marge Simpson	Ned Flanders	eating donuts, avoiding work, working with nuclear materials, drinking Duff beer	pink sedan	nuclear waste, 	tie with a short-sleeved shirt, extra-wide pants	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening	Be-Sharps Barbershop quartet	The Simpsons Family,  Be-Sharps Barbershop quartet, Team Homer	The Simpsons	Father, Fool	dumb, stupid, insensitive, boorish, oafish, lazy, fat, thoughtless 	fatherly, loving, loveable
Howard Hughes	Howard Hughes	male	Houston	Texas	USA	right	single	Juan Trippe 	running an empire, building airplanes, running a movie studio, hiding from the public	1936 Lincoln V-12 Model K Aero Mobile	spruce goose, foot-long fingernails 	Kleenex boxes as shoes 	the Aviation industry, the Movie business	business		Leonardo DiCaprio		The Spruce Goose	The Howard Hughes Corporation, RKO Pictures		Billionaire, Philanthropist, Aviator, Recluse	obsessive, reclusive, crazy, antisocial, controlling, compulsive, daffy	rich, adventurous,wealthy, 
Howard Stern	Howard Stern	male	Manhattan	New York City	USA	left	divorced	Don Imus, Rush Limbaugh	shocking  radio listeners, hosting radio shows	pimpmobile	foul-mouthed rant		Talk radio	radio				The Howard Stern Show	Sirius XM Radio		Radio Personality, Radio Host	shocking, rude, vulgar, crass, crude	entertaining, witty, attention-grabbing
Hugh Grant	Hugh Grant	male	Notting Hill	London	USA	left	dating Jemima Khan		starring in romantic comedies	Aston Martin Vanquish	self-effacing charm	tweed jacket	Hollywood, Acting, Comedy	movies, comedy							Actor	bumbling, bland, sappy	attractive, handsome, polite, charming, charismatic, modest, kind
Hugh Hefner	Hugh Hefner	male	Playboy  Mansion	Los Angeles	USA	libertarian	single	Larry Flynt	publishing soft pornography, dating centrefolds, popping Viagra	1961 Mercedes Benz 300SL Roadster	big bazookas	smoking jacket	Playboy Magazine, Soft pornography	publishing, pornography				Playboy Magazine	Playboy		Publisher, Pornographer, Playboy	vulgar, libidinous, sex-crazed, Viagra-guzzling, exploitative, over-the-hill, sexist, lecherous, hedonistic	charming, avuncular, engaging, free-spirited, charismatic, liberal
Hugh Jackman	Hugh Jackman	male		Sydney	Australia		married	Ryan Reynolds	starring in Hollywood movies, 	Audi R8 Spyder	retractable Adamantium claws	brushed-back hair	Acting, Movies, Singing, Hollywood, Australia	movies, singing,							Actor, Singer	camp, muscle-bound, meat-headed	muscular, well-built, athletic, handsome, strong, toned
Hulk Hogan	Hulk Hogan	male	Clearwater	Florida	USA	right		Jesse Ventura	pretending to wrestle, pretending to fight	1968 Dodge Challenger 	head lock, 'roid rage	red and yellow tights, bandana	Wrestling	sport					WWF		Wrestler, Strongman	lunk-headed, meat-headed, dim, dull	muscular, well-built, athletic, agile, strong, nimble
Humphrey Bogart	Humphrey Bogart	male	Beverly Hills, Hollywood	California	USA		married to Lauren Bacall	Jimmy Cagney	starring in Hollywood movies, playing tough guys	1940 Buick phaeton	mobster's gat, mobster's heater	trench coat, Fedora	Hollywood, Acting	movies							Actor	cynical, sarcastic, world-weary	tough, hard-boiled, charismatic, witty
Imelda Marcos	Imelda Marcos	female		Manila	Philippines	right	married to Ferdinand Marcos		shopping for shoes, collecting shoes	gold-plated Rolls Royce	sharpened stiletto heel, pepper spray	ever-changing shoes	the Phllippines	politics, culture							Wife, Tyrant	mean-spirited, cruel, insensitive, covetous	rich, wealthy
Indiana Jones	Indiana Jones	male	New Haven	Connecticut	USA	left	dating Marion Ravenwood	René Emile Belloq	looking for hidden treasures, punching out Nazis, digging for antiquities, unearthing ancient tombs	Softail Springer motorbike	whip, revolver, Sankara stones, Ark of the Covenant	Fedora, leather jacket, khakis	Raiders of the Lost Ark, Archeology	archeology, exploration	fictional	Harrison Ford	George Lucas			Raiders of the Lost Ark	Explorer, Adventurer, Archeologist, Professor	hard-boiled, cynical, reckless, restless	scholarly, educated, adventurous, intrepid, daring, dashing, tough, indomitable
Jack Bauer	Jack Bauer	male	Los Angeles	California	USA	right	widowed		chasing terrorists, punishing terrorists, tracking down terrorists, preventing terrorism	black Chrysler SUV	SIG Sauer P228		24, American Counter-Terrorism	television	fictional	Keifer Sutherland	Joel Surnow		The CTU	24	Spy, Adventurer, Hero	ruthless, unscrupulous, brutal	tough, resilient, capable, proficient, patriotic, committed, determined, relentless
Jack Kerouac	Jack Kerouac	male	Lowell	Massachusetts	USA	left			writing beat fiction, driving around America	1949 Hudson Commodore	On The Road-rage		the Beat generation, American literature	literature				On The Road	The Beat Generation	On the Road	Writer, Novelist, Poet, Wanderer	alcoholic, hard-drinking, irresponsible	adventurous, spontaneous, iconoclastic, pioneering, spirited
Jack Nicholson	Jack Nicholson	male	Beverly Hills, Hollywood	California	USA	libertarian	single		starring in Hollywood movies, womanizing, starring in romantic comedies	Jokermobile	Titanium golf club	black sunglasses	Hollywood, Acting	movies							Actor	neurotic, psychopathic, volatile, hot-tempered, hedonistic	charming, charismatic, spirited, captivating, witty
Jack The Ripper	Jack D.-Ripper	male	Whitechapel	London	USA	libertarian	single	Fred Aberline	terrorizing prostitutes, eluding authorities, slashing victims, eluding capture	horse-drawn carriage	butcher knife, scalpel	Astrakhan coat, top hat, wing collar	Victorian London, Victorian England	crime		Ian Holm			The Freemasons	From Hell	Serial Killer, Killer	violent, vicious, predatory, murderous, bloodthirsty, rapacious, brutal, misogynistic	elusive, cunning, enigmatic
Jackie Chan	Jackie Chan	male		Hong Kong	China	right			starring in action movies, starring in comedies	Bentley Mulsanne	Kung Fu, bad acting	Chinese pyjamas	Hong Kong, Martial Arts	movies, stunts							Actor, Martial Artist	silly, cheesy, guileless	skillful, graceful, balletic, nimble, entertaining, acrobatic
Jackson Pollock	Jackson Pollock	male	Springs	New York	USA		dating Lee Krasner	Clifford Still, Mark Rothko	dripping paint onto canvas, painting abstract paintings	Oldsmobile convertible	splatter gun	stripey jersey	Modern art, Abstract art, Abstract painting	art, painting		Ed Harris		Drip painting, No. 5 1948			Artist, Painter	volatile, alcoholic, moody, reclusive, chaotic	innovative, spontaneous, fluid, lively
James Bond	James Bond	male	Mayfair	London	USA	right, libertarian	single, widowed by Theresa Bond	Auric Goldfinger, Ernst Stavro Blofeld, Dr. Julius No, Sir Hugo Drax, Le Chiffre	foiling the schemes of evil villains, shagging spies, killing for Mi6	Aston Martin Vanquish	Walther PPK 	tuxedo	James Bond, Mi6, Espionage	espionage	fictional	Sean Connery, Roger Moore, Daniel Craig, Pierce Brosnan	Ian Fleming		Mi:6	Thunderball, You Only Live Twice, On Her Majesty's Secret Service, Goldfinger, Doctor No, Casino Royale, Moonraker	Spy, Adventurer, Hero, Secret Agent	ruthless, cold-blooded, sadistic, lecherous, misogynistic	handsome, charming, rugged, adventurous, resilient, tough, resourceful, brave, intrepid, patriotic, sartorial
Auric Goldfinger	Auric Goldfinger	male	Fort Knox	Kentucky	USA	right, libertarian	single	James Bond	devising evil schemes, cheating at golf 	Rolls-Royce Silver Ghost	steel-cutting laser beam, nerve gas	gold-lamé jacket	James Bond, Terrorism, Finance	crime, finance, business	fictional	Gert Fröbe	Ian Fleming		SMERSH	Goldfinger	Villain, Smuggler, Criminal	acquisitive, greedy, ruthless, cruel, sadistic, sinister, gold-obsessed, kinky, 	rich, wealthy, business-savvy
Ernst Stavro Blofeld	Ernst-Stavro Blofeld	male		Gdingen	Germany	right, libertarian	single	James Bond	devising evil schemes, running a clandestine spy organization	bobsled	phosgene gas jets	Nehru jacket, Mao suit, monocle	James Bond, Terrorism, Finance, SPECTRE	crime, finance, business	fictional	Donald Pleasance, Telly Savalas, Charles Gray	Ian Fleming	SPECTRE	SPECTRE	Thunderball, You Only Live Twice, On Her Majesty's Secret Service	Villain, Criminal, Crimeboss, Mastermind	sinister, menacing, ruthless, sadistic	tall, strong, shrewd, cultured, brilliant
Dr. Julius No	Julius No	male		Peking	China	right, libertarian	single	James Bond	devising evil schemes,  collecting stamps		metal pincer claws	gunmetal kimono	James Bond, Terrorism, Finance	crime, finance, business	fictional	Joseph Wiseman	Ian Fleming		SMERSH	Doctor No	Villain, Criminal, Crimeboss, Mastermind	ruthless, cold-blooded, sadistic, cruel, greedy, cold-handed, vengefui, lacking-in-manual-dexterity, sinister	tall, resilient, business-savvy, brilliant, scientific
Sir Hugo Drax	Hugo Drax	male		Berlin, Leipzig	Germany	right, libertarian	single	James Bond	devising evil schemes, striving for world domination 	space shuttle	chemical toxins, Dobermann hounds	smoking jacket	James Bond, Terrorism, Finance	crime, finance, business	fictional	Michael Lonsdale	Ian Fleming	Moonraker rocket	SMERSH	Moonraker	Villain, Terrorist, Crimeboss, Mastermind	ruthless, megalomaniacal, genocidal, sinister, delusional, arrogant, manipulative, treacherous	strategic, visionary, brilliant, cunning
Le Chiffre	Lee Chiffre	male		Marseille	France	right, libertarian	single	James Bond	devising evil schemes, cheating at poker, playing Baccarat 		carpet beater	white tuxedo	James Bond, Terrorism, Finance	crime, finance, business	fictional	Mads Mikkelsen, Orson Welles	Ian Fleming		SMERSH	Casino Royale	Villain, Terrorist, Crimeboss	ruthless, cold-blooded, sadistic, cruel, greedy, sinister	strategic, shrewd, cool-headed, business-savvy, poker-faced
James Dean	James Dean	male	Marion	Indiana	USA		single		starring in Hollywood movies, racing fast cars	1955 Porsche 550 Spyder	teenage angst	Lee 101 Riders jeans , black leather jacket, white T-shirt, black sunglasses	Hollywood, Acting	movies							Actor	disillusioned, surly, rebellious, angst-ridden, aloof, disaffected	handsome, sincere, compelling
James Franco	James Franco	male	Palo Alto	California	USA	left	single		starring in Hollywood movies, 	BMW i3		Lee 101 Riders jeans , black leather jacket, white T-shirt	Hollywood, Acting	movies							Actor, Writer	attention-seeking, greasy, listless	handsome, multi-talented, intelligent, 
James Joyce	James Joyce	male	Dorset Street	Dublin	Ireland	left	married to Nora Barnacle		writing modern fiction	Low-back'd Car 	bad puns	tweed suit	Modern literature, Irish literature	literature				Ulysses, Dubliners, Finnegan's Wake			Writer, Novelist, Playwright	foul-mouthed, vulgar, profane, blasphemous, linguistically-perverse	innovative, fluid
James T. Kirk	James Kirk	male	Riverside	Iowa	USA		single	Khan Noonien Singh	making strategic decisions, commanding a spaceship	U.S.S. Enterprise NCC-1701	phaser, photon torpedo	tight black trousers, Starfleet tunic, Starfleet uniform, black leather boots	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	William Shatner, Chris Pine	Gene Roddenberry		Starfleet	Star Trek	Captain, Adventurer, Astronaut, Hero	randy, self-regarding, promiscuous, pompous, self-aggrandizing,	adventurous, brave, inspiring, resourceful, clever, capable, spirited
Jamie Oliver	Jamie Oliver	male	Hoxton	London	UK		married to Jules Oliver	Gordon Ramsay	cooking dinners, running restaurants, promoting healthy eating	Aston Martin Vantage	kitchen cleaver	kitchen whites, goofy sweatshirt	Cooking, the Kitchen	television, cooking				The Naked Chef		The Naked Chef	Chef, Restauranteur	mockney, phony, 	affable, entertaining, cheery, good-hearted, chirpy
Jane Austen	Jane Austen	female		Winchester	UK		single		writing romantic fiction	horse-drawn carriage	lady's fan	bustle	Romantic novels, Romantic literature	literature		Anne Hathaway		Pride and Prejudice, Sense and Sensibility			Writer, Novelist	prim, middle-class, bourgeois	realistic, ironic, comic, observant, socially-aware
Janis Joplin	Janis Joplin	female	Port Arthur	Texas	USA	left	single		singing rock songs	Mercedes Benz, psychedelic Porsche 356	psychedelic scream	hippy shirt, flouncy tunic, flares	Psychadelic music	music, singing		Bette Midler		Ball 'n' Chain, Mercedes Benz	Big Brother and the Holding Company		Rock Singer, Singer, Musician	drug-addled	electrifying, soulful, psychedelic
Jar Jar Binks	Jar-Jar Binks	male	Theed		Naboo		single	Darth Maul	providing comic relief	Gungan submarine	Gungan battle staff	flares	Star Wars	science fiction	fictional	Ahmed Best	George Lucas			Star Wars: The Phantom Menace, Star Wars: Attack of the Clones, Star Wars: Revenge of the Sith, Star Wars	Fool, Friend	foolish, silly, clumsy, goofy, buffoonish, incomprehensible	friendly, laid-back, cute
Jason Bourne	Jason Bourne	male	Nixa	Missouri	USA	left	single	CIA	eluding capture, killing people in ingenious ways, eluding the CIA	Volga 3110 sedan	Martial Arts	long greatcoat	CIA, Espionage	espionage	fictional	Matt Damon	Robert Ludlum		Treadstone	The Bourne Identity	Spy, Adventurer, Hero, Killer, Secret Agent	tormented, amnesiac, traumatized, deadly, unsettled	highly-trained, resourceful, responsive, fast, strong, agile, brave, dashing, nimble, agile, quick-thinking, adept, tactical, proficient
Jay Leno	Jay Leno	male	New Rochelle	New York	USA	moderate	married	David Letterman	doing stand-up, hosting a late night chat show	1967 Lamborghini Miura P400	scripted jokes	sharp suit	Late-night TV, Chat Shows, NBC, Stand-Up Comedy	television, comedy					The Tonight Show	The Tonight Show	Comedian, TV Host	cheesy, corny, big-chinned	affable, entertaining, cheery, good-hearted, funny, witty
Jay-Z Carter	Jay-Z Carter	male	Brooklyn	New York City	USA	left	married to Beyoncé		producing Hipbop records, singing Hipbop songs	1959 Rolls Royce Silver Cloud II convertible	hipbop put-downs	sharp suit	Rap music, Hip-Hop	music, singing, business							Singer, Musician, Rapper	thuggish, loutish, egotistical, self-regarding	soulful, poetic, smooth, clever, entertaining, flowing
JD Salinger	JD Salinger	male	Cornish	New Hampshire	USA				hiding from the public, writing modern fiction, eluding the public gaze				American literature	literature				Catcher in the Rye			Writer, Novelist, Recluse	reclusive, alienated, anti-social	private, influential, insightful, profound
Beyoncé	Beyoncé	female	Houston	Texas	USA		married to Jay-Z Carter		singing Hipbop songs	1959 Rolls Royce Silver Cloud II convertible	pepper spray, Taser gun, knee kick	sequined dress, tight dress	Rap music, Hip-Hop	music, singing							Pop Singer, Singer, Musician	misshapen, tacky, pear-shaped	beautiful, curvacious, melodic, tuneful, sexy, seductive, 
Jeff Koons	Jeff Koons	male	York	Pennsylvania	USA	libertarian			making modern art, selling modern art, making kitsch, selling kitsch	BMW 735i	giant plastic dildo		American art, Modern art	art				Balloon Dog			Artist, Painter, Sculptor	kitschy, crass, cynical, self-merchandising, superficial, decadent, self-promoting, sensationalist, tacky	pioneering, playful, polished, eye-popping, engrossing
