Label	Subject	Verbs	Object
paleontologist:atheist	Paleontologist	disagree_with, debate_with, are_contradicted_by, disillusion, are_worshipped_by, lose_favor_with	Atheist
paleontologist:campaigner	Paleontologist	disagree_with, debate_with, are_contradicted_by	Campaigner
paleontologist:evolutionary biologist	Paleontologist	disagree_with, debate_with, are_contradicted_by	Evolutionary Biologist
paleontologist:skeptic	Paleontologist	disagree_with, debate_with, are_contradicted_by, disillusion, lose_favor_with	Skeptic
writer:scientist	Writer	write_about, study_under, write_for, popularize	Scientist
writer:atheist	Writer	write_about, study_under, write_for, popularize, shill_for, propagandize_for	Atheist
writer:evolutionary biologist	Writer	write_about, study_under, write_for, popularize	Evolutionary Biologist
writer:skeptic	Writer	write_about, lose_favor_with, are_contradicted_by, are_sued_by	Skeptic
billionaire:director	Billionaire	fund, finance, bribe, buy_off, lend_to, sue	Director
billionaire:writer	Billionaire	fund, finance, bribe, buy_off, lend_to, sue	Writer
billionaire:actor	Billionaire	fund, finance, bribe, buy_off, lend_to, sue	Actor
media tycoon:director	Media Tycoon	bully, fire, command	Director
media tycoon:writer	Media Tycoon	bully, hire, fire, command	Writer
media tycoon:actor	Media Tycoon	bully, hire, fire, command	Actor
publisher:director	Publisher	hire, publish, sign_up	Director
publisher:writer	Publisher	hire, publish, sign_up	Writer
publisher:actor	Publisher	hire, publish, are_impersonated_by	Actor
actor:fbi agent	Actor	snitch_to, report_to, tip_off, are_handled_by, leak_to, are_probed_by	FBI Agent
actor:administrator	Actor	are_probed_by, are_investigated_by	Administrator
actor:bureaucrat	Actor	are_probed_by, are_investigated_by	Bureaucrat
actor:lawman	Actor	are_probed_by, are_investigated_by, are_arrested_by, are_interrogated_by, are_charged_by, are_accused_by	Lawman
actor:transvestite	Actor	impersonate, are_mistaken_for	Transvestite
comedian:fbi agent	Comedian	are_probed_by, are_investigated_by, are_arrested_by, are_interrogated_by, are_charged_by, are_accused_by, laugh_at, joke_about	FBI Agent
comedian:administrator	Comedian	are_probed_by, are_investigated_by, laugh_at, joke_about	Administrator
comedian:bureaucrat	Comedian	are_probed_by, are_investigated_by, laugh_at, joke_about	Bureaucrat
comedian:lawman	Comedian	are_probed_by, are_investigated_by, are_arrested_by, are_interrogated_by, are_charged_by, are_accused_by, laugh_at, joke_about	Lawman
comedian:transvestite	Comedian	laugh_at, joke_about, mock, satirize	Transvestite
director:fbi agent	Director	are_investigated_by, are_interrogated_by, are_arrested_by, are_accused_by	FBI Agent
director:administrator	Director	are_probed_by, are_pushed_too_far_by	Administrator
director:bureaucrat	Director	are_probed_by, are_pushed_too_far_by	Bureaucrat
director:lawman	Director	are_investigated_by, are_interrogated_by, are_arrested_by, are_accused_by, are_charged_by	Lawman
director:transvestite	Director	flirt_with, are_fooled_by, are_tricked_by	Transvestite
rebel:politician	Rebel	vote_against, campaign_against, rise_against, overthrow, depose	Politician
rebel:revolutionary	Rebel	disagree_with, debate_with, struggle_against, resent	Revolutionary
rebel:political leader	Rebel	vote_against, campaign_against, rise_against, overthrow, depose	Political Leader
revolutionary:politician	Revolutionary	vote_against, campaign_against, rise_against, overthrow, depose	Politician
revolutionary:revolutionary	Revolutionary	disagree_with, debate_with, struggle_against, resent	Revolutionary
revolutionary:political leader	Revolutionary	vote_against, campaign_against, rise_against, overthrow, depose	Political Leader
politician:revolutionary	Politician	buy_off, suppress, repress, silence, imprison, incarcerate, oppress	Revolutionary
actor:campaigner	Actor	lose_faith_in, break_with, are_persuaded_by, are_roused_by, are_energized_by, are_inspired_by	Campaigner
writer:politician	Writer	write_for, propagandize_for, shill_for, popularize, speak_for, write_about, chronicle, advocate_for	Politician
writer:advisor	Writer	write_for, satirize	Advisor
pundit:politician	Pundit	interview, contradict, disagree_with, debate_with, campaign_for, campaign_against, suck_up_to, lick_up_to, kiss_up_to, advocate_for	Politician
pundit:advisor	Pundit	are_bought_off_by, are_informed_by	Advisor
writer:religious leader	Writer	write_about, chronicle, satirize, mock, are_excommunicated_by	Religious Leader
writer:nun	Writer	are_moved_by, identify_with, are_inspired_by	Nun
pundit:religious leader	Pundit	interview, question, are_excommunicated_by	Religious Leader
pundit:nun	Pundit	interview, question, are_excommunicated_by	Nun
reporter:businessman	Reporter	write_about, are_bought_off_by, investigate, probe	Businessman
reporter:billionaire	Reporter	write_about, are_bought_off_by, investigate, probe, report_to	Billionaire
reporter:villain	Reporter	investigate, probe, write_about, are_bought_off_by, are_blackmailed_by	Villain
reporter:crimeboss	Reporter	investigate, interview, question, probe, write_about, are_threatened_by	Crimeboss
journalist:businessman	Journalist	investigate, interview, question, probe, write_about	Businessman
journalist:billionaire	Journalist	investigate, interview, question, probe, write_about, are_bought_off_by,	Billionaire
journalist:villain	Journalist	investigate, interview, question, probe, write_about, are_threatened_by	Villain
journalist:crimeboss	Journalist	investigate, interview, question, probe, write_about, are_threatened_by	Crimeboss
businessman:clown	Businessman	are_satirized_by, are_mocked_by, are_misrepresented_by, are_embarrassed_by, are_impersonated_by	Clown
businessman:mascot	Businessman	lose_control_over, fire, are_misrepresented_by, are_undermined_by, speak_through, talk_through, communicate_via	Mascot
restauranteur:clown	Restauranteur	cook_for, are_insulted_by	Clown
restauranteur:mascot	Restauranteur	hire, speak_through, talk_through, communicate_via	Mascot
restauranteur:businessman	Restauranteur	are_financed_by, are_funded_by, borrow_from, cook_for, cater_to	Businessman
restauranteur:ceo	Restauranteur	are_financed_by, are_funded_by, borrow_from, cook_for, cater_to	CEO
duck:rabbit	Duck	hunt, chase, chase_after, lay_a_trap_for, track_down, are_tricked_by, are_fooled_by	Rabbit
villain:mentor	Villain	look_up_to, are_overshadowed_by, break_with, are_advised_by, are_mentored_by, lose_faith_in, are_brainwashed_by, are_indoctrinated_by	Mentor
henchman:mentor	Henchman	look_up_to, are_overshadowed_by, break_with, are_advised_by, are_mentored_by, lose_faith_in, are_brainwashed_by, are_indoctrinated_by	Mentor
henchman:hero	Henchman	struggle_with, fight_against, fight, attack, are_defeated_by	Hero
henchman:jedi knight	Henchman	struggle_with, fight_against, fight, attack, are_defeated_by	Jedi Knight
jedi knight:mentor	Jedi Knight	look_up_to, are_overshadowed_by, break_with, are_advised_by, are_mentored_by, lose_faith_in, are_brainwashed_by, are_indoctrinated_by	Mentor
jedi knight:hero	Jedi Knight	preach_to	Hero
jedi knight:jedi knight	Jedi Knight	preach_to, compete_against	Jedi Knight
father:mentor	Father	lose_faith_in, break_with, upstage, supplant, are_overshadowed_by	Mentor
father:hero	Father	discipline, lead_astray, corrupt, lecture_to, preach_to	Hero
father:jedi knight	Father	argue_with, lecture_to, preach_to, lose_control_over	Jedi Knight
father:farm boy	Father	condescend_to	Farm boy
henchman:farm boy	Henchman	fight_against, taunt, mock, attack, overshadow, threaten, intimidate	Farm boy
jedi knight:farm boy	Jedi Knight	train, coach, mentor, guide, mystify	Farm boy
villain:guru	Villain	lose_faith_in, break_with, are_brainwashed_by, are_indoctrinated_by, are_radlcalized_by	Guru
villain:teacher	Villain	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Teacher
villain:philosopher	Villain	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from, are_inspired_by, are_influenced_by	Philosopher
father:guru	Father	are_brainwashed_by, are_indoctrinated_by, are_radlcalized_by	Guru
father:teacher	Father	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Teacher
father:philosopher	Father	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from, are_inspired_by	Philosopher
henchman:guru	Henchman	are_brainwashed_by, are_indoctrinated_by, are_radlcalized_by	Guru
henchman:teacher	Henchman	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Teacher
henchman:philosopher	Henchman	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from, are_inspired_by, are_influenced_by	Philosopher
jedi knight:guru	Jedi Knight	break_with, lose_faith_in	Guru
jedi knight:teacher	Jedi Knight	break_with, lose_faith_in	Teacher
jedi knight:philosopher	Jedi Knight	break_with, lose_faith_in	Philosopher
rock singer:guitarist	Rock Singer	play_with, sing_with, resent, overshadow, are_overshadowed_by	Guitarist
rock singer:rock singer	Rock Singer	sing_with, resent, overshadow, are_overshadowed_by	Rock Singer
rock singer:singer	Rock Singer	sing_with, resent, overshadow, are_overshadowed_by	Singer
rock singer:musician	Rock Singer	sing_with, resent, overshadow, are_overshadowed_by	Musician
rock singer:composer	Rock Singer	are_scripted_by	Composer
singer:guitarist	Singer	play_with, sing_with	Guitarist
singer:rock singer	Singer	sing_with, resent, overshadow, are_overshadowed_by	Rock Singer
singer:singer	Singer	sing_with, resent, overshadow, are_overshadowed_by	Singer
singer:musician	Singer	sing_with, resent, overshadow, are_overshadowed_by	Musician
singer:composer	Singer	are_scripted_by	Composer
comedian:comedian	Comedian	mock, copy, imitate, satirize, are_satirized_by, joke_about, laugh_at	Comedian
comedian:tv host	Comedian	joke_about, laugh_at, are_interviewed_by, mock	TV Host
tv host:comedian	TV Host	interview, question, are_mocked_by, are_satirized_by, are_insulted_by	Comedian
tv host:tv host	TV Host	compete_with, are_overshadowed_by, overshadow	TV Host
writer:guru	Writer	write_for, propagandize_for, shill_for, popularize, speak_for, write_about, chronicle, study_under, study, read_the_works_of	Guru
philosopher:guru	Philosopher	disagree_with, debate_with, are_popularized_by	Guru
guru:philosopher	Guru	popularize, are_influenced_by, are_inspired_by, contradict	Philosopher
guru:guru	Guru	compete_with, fight_against, overshadow, are_overshadowed_by	Guru
duck:mouse	Duck	chase, chase_after, track_down, devour	Mouse
duck:hero	Duck	fight_against, taunt, mock, attack, flee_from, run_away_from, hide_from	Hero
duck:duck	Duck	devour, complain_to, fight_with, compete_against	Duck
doctor:criminal	Doctor	diagnose, cure, treat, operate_on	Criminal
doctor:mastermind	Doctor	diagnose, cure, treat, operate_on	Mastermind
doctor:professor	Doctor	diagnose, cure, treat, operate_on	Professor
doctor:mathematician	Doctor	diagnose, cure, treat, operate_on	Mathematician
sidekick:criminal	Sidekick	spy_on, pursue, monitor, observe, search_for	Criminal
sidekick:mastermind	Sidekick	spy_on, pursue, monitor, observe, search_for	Mastermind
sidekick:professor	Sidekick	spy_on, pursue, monitor, observe, study	Professor
sidekick:mathematician	Sidekick	spy_on, pursue, monitor, observe, study	Mathematician
criminal:private detective	Criminal	are_investigated_by, are_imprisoned_by, are_incarcerated_by, are_pursued_by, are_questioned_by, answer_questions_from	Private Detective
criminal:detective	Criminal	are_investigated_by, are_interrogated_by, are_imprisoned_by, are_incarcerated_by, are_accused_by, confess_to	Detective
mastermind:private detective	Mastermind	are_investigated_by,  are_pursued_by, are_questioned_by, answer_questions_from, condescend_to, underestimate	Private Detective
mastermind:detective	Mastermind	are_investigated_by, are_interrogated_by, are_imprisoned_by, are_incarcerated_by, are_accused_by, confess_to	Detective
professor:private detective	Professor	condescend_to, lecture_to	Private Detective
professor:detective	Professor	are_investigated_by, are_imprisoned_by, are_incarcerated_by, are_pursued_by, are_questioned_by, answer_questions_from	Detective
mathematician:private detective	Mathematician	are_investigated_by,  are_pursued_by, are_questioned_by, answer_questions_from, condescend_to, underestimate	Private Detective
mathematician:detective	Mathematician	are_investigated_by,  are_pursued_by, are_questioned_by, answer_questions_from, condescend_to, underestimate	Detective
actress:actress	Actress	compete_against, compete_with, are_mistaken_for	Actress
hunter:rabbit	Hunter	chase, chase_after, track_down	Rabbit
rock singer:pianist	Rock Singer	play_with, sing_with, resent, overshadow, are_overshadowed_by	Pianist
singer:pianist	Singer	play_with, sing_with, resent, overshadow, are_overshadowed_by	Pianist
actor:rock singer	Actor	impersonate	Rock Singer
actor:singer	Actor	impersonate	Singer
actor:musician	Actor	impersonate	Musician
actor:pianist	Actor	impersonate	Pianist
rapper:pop singer	Rapper	sing_with, mock, satirize, spread_lies_about	Pop Singer
rapper:singer	Rapper	sing_with, mock, satirize, spread_lies_about	Singer
rapper:musician	Rapper	sing_with	Musician
singer:pop singer	Singer	sing_with, compete_with, compete_against	Pop Singer
composer:pop singer	Composer	write_for, compose_with	Pop Singer
composer:singer	Composer	compose_with, write_for	Singer
composer:musician	Composer	compose_with, write_for	Musician
emperor:astronaut	Emperor	banish, fail_to_reward, condemn, denounce	Astronaut
emperor:hero	Emperor	banish, fail_to_reward, condemn, denounce	Hero
tyrant:astronaut	Tyrant	banish, fail_to_reward, condemn, denounce	Astronaut
tyrant:hero	Tyrant	banish, fail_to_reward, condemn, denounce	Hero
villain:astronaut	Villain	banish, fail_to_reward, condemn, denounce	Astronaut
emperor:farm boy	Emperor	condescend_to, underestimate	Farm boy
emperor:jedi knight	Emperor	fear, are_toppled_by, are_overthrown_by, are_deposed_by	Jedi Knight
tyrant:farm boy	Tyrant	fear, are_toppled_by, are_overthrown_by, are_deposed_by	Farm boy
tyrant:jedi knight	Tyrant	fear, are_toppled_by, are_overthrown_by, are_deposed_by	Jedi Knight
emperor:guru	Emperor	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Guru
emperor:teacher	Emperor	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Teacher
emperor:philosopher	Emperor	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Philosopher
tyrant:guru	Tyrant	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Guru
tyrant:teacher	Tyrant	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Teacher
tyrant:philosopher	Tyrant	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Philosopher
emperor:mentor	Emperor	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Mentor
tyrant:mentor	Tyrant	lose_favor_with, are_denounced_by, study_under, are_mentored_by	Mentor
singer:actor	Singer	sing_with, compete_with, compete_against, overshadow	Actor
singer:crooner	Singer	sing_with, compete_with, compete_against, overshadow	Crooner
actor:crooner	Actor	sing_with, compete_with, compete_against, overshadow, impersonate	Crooner
crooner:singer	Crooner	sing_with, compete_with, compete_against, overshadow	Singer
crooner:actor	Crooner	sing_with, compete_with, compete_against, overshadow	Actor
crooner:crooner	Crooner	sing_with, compete_with, compete_against, overshadow	Crooner
composer:composer	Composer	compose_with, compete_with, compete_against, are_overshadowed_by, overshadow, fight_against	Composer
fool:son	Fool	are_fooled_by, are_underestimated_by, embarrass	Son
fool:brother	Fool	are_fooled_by, are_underestimated_by, disappoint, embarrass	Brother
fool:crimeboss	Fool	are_fooled_by, are_underestimated_by, disappoint, are_led_astray_by, embarrass	Crimeboss
son:son	Son	embarrass	Son
son:brother	Son	embarrass	Brother
son:crimeboss	Son	disappoint, are_underestimated_by, disappoint, are_led_astray_by, turn_against, stand_up_to	Crimeboss
criminal:son	Criminal	are_disappointed_by, corrupt, lead_astray	Son
criminal:brother	Criminal	are_disappointed_by, corrupt, lead_astray	Brother
criminal:crimeboss	Criminal	kill_for, turn_against, collude_with, are_overshadowed_by, snitch_on	Crimeboss
chess player:political leader	Chess Player	underestimate, lay_a_trap_for, stand_up_to, are_silenced_by, are_imprisoned_by, lose_faith_in, campaign_against	Political Leader
chess player:president	Chess Player	underestimate, lay_a_trap_for, stand_up_to, campaign_against, are_silenced_by, are_imprisoned_by, lose_faith_in	President
dissident:political leader	Dissident	resist, stand_up_to, are_silenced_by, are_imprisoned_by, lose_faith_in, criticize, campaign_against, heckle	Political Leader
dissident:president	Dissident	resist, stand_up_to, are_silenced_by, are_imprisoned_by, lose_faith_in, criticize, campaign_against, heckle	President
writer:political leader	Writer	write_about, chronicle, satirize, mock	Political Leader
writer:prime minister	Writer	write_about, chronicle, satirize, mock	Prime Minister
writer:writer	Writer	write_about, satirize, overshadow, compete_with, are_overshadowed_by, read_the_works_of	Writer
novelist:political leader	Novelist	write_about, chronicle, satirize, mock	Political Leader
novelist:prime minister	Novelist	write_about, chronicle, satirize, mock	Prime Minister
novelist:writer	Novelist	write_about, satirize, overshadow, compete_with, are_overshadowed_by, read_the_works_of	Writer
playwright:political leader	Playwright	write_about, chronicle, satirize, mock	Political Leader
playwright:prime minister	Playwright	write_about, chronicle, satirize, mock	Prime Minister
playwright:writer	Playwright	write_about, satirize, overshadow, compete_with, are_overshadowed_by, read_the_works_of	Writer
campaigner:prime minister	Campaigner	campaign_for, campaign_against, propagandize_for, spread_lies_about	Prime Minister
campaigner:writer	Campaigner	criticize, are_criticized_by, are_moved_by, are_satirized_by, read_the_works_of, study	Writer
boxer:boxer	Boxer	compete_against, compete_with, fight_against, taunt	Boxer
boxer:sportsman	Boxer	compete_against, compete_with, fight_against, taunt	Sportsman
boxer:athlete	Boxer	compete_against, compete_with, fight_against, taunt	Athlete
businessman:boxer	Businessman	bribe, blackmail, corrupt, pay_off, buy_off	Boxer
businessman:sportsman	Businessman	threaten_with, lend_to, bribe, blackmail, buy_off, pay_off	Sportsman
businessman:athlete	Businessman	lend_to, bribe, blackmail, buy_off, pay_off	Athlete
billionaire:pundit	Billionaire	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by	Pundit
billionaire:campaigner	Billionaire	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, fund, finance , invest_in	Campaigner
billionaire:tv host	Billionaire	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by	TV Host
billionaire:radio host	Billionaire	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by	Radio Host
investor:pundit	Investor	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	Pundit
investor:campaigner	Investor	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, fund, finance, invest_in	Campaigner
investor:tv host	Investor	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	TV Host
investor:radio host	Investor	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	Radio Host
speculator:pundit	Speculator	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	Pundit
speculator:campaigner	Speculator	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	Campaigner
speculator:tv host	Speculator	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	TV Host
speculator:radio host	Speculator	lend_to, bribe, blackmail, buy_off, pay_off, sue, silence, are_criticized_by, invest_in	Radio Host
politician:vice president	Politician	vote_for, vote_against, brief_against, campaign_for, campaign_against, run_against	Vice President
president:vice president	President	are_supported_by, are_betrayed_by, are_undermined_by, are_embarrassed_by	Vice President
political leader:campaigner	Political Leader	are_supported_by, are_betrayed_by, are_elected_by, are_undermined_by, pay_off, buy_off, are_criticized_by	Campaigner
political leader:politician	Political Leader	run_against, vote_against, support, undermine, campaign_against	Politician
political leader:vice president	Political Leader	run_against, vote_against, support, undermine, campaign_against	Vice President
political leader:terrorist	Political Leader	indoctrinate, radicalize, are_sickened_by, are_disgusted_by, lose_control_over	Terrorist
political leader:criminal	Political Leader	are_bribed_by, are_blackmailed_by, are_corrupted_by, are_led_astray_by	Criminal
political leader:zealot	Political Leader	indoctrinate, radicalize, are_sickened_by, are_disgusted_by, lose_control_over, are_elected_by	Zealot
general:traitor	General	are_betrayed_by, execute, are_disappointed_by	Traitor
president:traitor	President	are_betrayed_by, execute, are_disappointed_by, are_overthrown_by, are_toppled_by, are_usurped_by	Traitor
president:general	President	appoint, are_overthrown_by, are_toppled_by, are_usurped_by, are_betrayed_by	General
political leader:traitor	Political Leader	are_betrayed_by, execute, are_disappointed_by, are_overthrown_by, are_toppled_by, are_usurped_by	Traitor
political leader:general	Political Leader	appoint, are_overthrown_by, are_toppled_by, are_usurped_by, are_betrayed_by	General
pundit:billionaire	Pundit	lick_up_to, kiss_up_to, suck_up_to are_bought_off_by, criticize, shill_for, propagandize_for, criticize	Billionaire
pundit:investor	Pundit	are_bought_off_by, criticize, shill_for, propagandize_for, criticize	Investor
pundit:speculator	Pundit	are_bought_off_by, criticize, shill_for, propagandize_for, criticize	Speculator
campaigner:billionaire	Campaigner	campaign_against, testify_against, undermine, borrow_from, are_funded_by	Billionaire
campaigner:investor	Campaigner	campaign_against, testify_against, undermine, borrow_from, are_funded_by	Investor
campaigner:speculator	Campaigner	campaign_against, testify_against, undermine, borrow_from, are_funded_by	Speculator
tv host:billionaire	TV Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize, are_bought_off_by	Billionaire
tv host:investor	TV Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize	Investor
tv host:speculator	TV Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize	Speculator
radio host:billionaire	Radio Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize, are_bought_off_by	Billionaire
radio host:investor	Radio Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize	Investor
radio host:speculator	Radio Host	lick_up_to, kiss_up_to, suck_up_to, interview, question, criticize	Speculator
chef:chef	Chef	cook_for, compete_with, compete_against, copy, imitiate	Chef
chef:restauranteur	Chef	cook_for, create_for, are_hired_by, are_fired_by	Restauranteur
restauranteur:chef	Restauranteur	hire, fire, lose_control_over	Chef
restauranteur:restauranteur	Restauranteur	compete_with, compete_against, copy, imitiate	Restauranteur
tv host:chef	TV Host	interview, speak_to, talk_to	Chef
tv host:restauranteur	TV Host	interview, speak_to, talk_to	Restauranteur
recluse:actress	Recluse	hide_from, flee_from, avoid, run_away_from	Actress
actress:chef	Actress	date, flirt_with, marry, divorce	Chef
actress:tv host	Actress	date, flirt_with, marry, divorce	TV Host
actress:media tycoon	Actress	are_scripted_by, are_paid_by, are_popularized_by	Media Tycoon
hero:crimeboss	Hero	are_attacked_by, defeat, undermine, pursue, track_down, testify_against, fight_against	Crimeboss
hero:villain	Hero	are_attacked_by, defeat, undermine, pursue, track_down, testify_against, fight_with	Villain
smuggler:crimeboss	Smuggler	work_for, kill_for, snitch_on, testify_against, betray	Crimeboss
smuggler:villain	Smuggler	work_for, kill_for, snitch_on, testify_against, betray	Villain
rebel:crimeboss	Rebel	turn_against, rebel_against, stand_up_to, fight_against	Crimeboss
rebel:villain	Rebel	turn_against, rebel_against, stand_up_to, fight_against	Villain
crimeboss:hero	Crimeboss	attack, are_defeated_by, are_captured_by, are_caught_by, spread_lies_about	Hero
crimeboss:smuggler	Crimeboss	sacrifice, hire, profit_from, withhold_payment_from, refuse_to_pay	Smuggler
crimeboss:rebel	Crimeboss	suppress, repress, silence, kill, round_up	Rebel
escapologist:writer	Escapologist	speak_through, talk_through, communicate_via, are_interviewed_by, escape_from	Writer
escapologist:novelist	Escapologist	speak_to, are_interviewed_by, escape_from, fail_to_impress	Novelist
magician:writer	Magician	speak_through, talk_through, communicate_via, are_interviewed_by, fail_to_impress, mystify	Writer
magician:novelist	Magician	speak_to, are_interviewed_by, fail_to_impress, trick, mystify	Novelist
magician:wizard	Magician	are_trained_by, are_mentored_by, study_under, compete_with, compete_against	Wizard
magician:magician	Magician	are_trained_by, are_mentored_by, study_under, compete_with, compete_against	Magician
magician:villain	Magician	trick, capture, enchant, fool, mystify	Villain
magician:psychopath	Magician	are_killed_by, capture, mystify, enchant, intimidate_with, threaten_with	Psychopath
magician:necromancer	Magician	are_trained_by, are_mentored_by, study_under, compete_with, compete_against	Necromancer
wizard:wizard	Wizard	are_trained_by, are_mentored_by, study_under, compete_with, compete_against	Wizard
wizard:magician	Wizard	train, coach, instruct, teach, compete_with, compete_against	Magician
wizard:villain	Wizard	trick, capture, enchant, fool, mystify	Villain
wizard:psychopath	Wizard	are_killed_by, capture, mystify, enchant, intimidate_with, threaten_with	Psychopath
wizard:necromancer	Wizard	are_trained_by, are_mentored_by, study_under, compete_with, compete_against	Necromancer
schoolkid:wizard	Schoolkid	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Wizard
schoolkid:magician	Schoolkid	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Magician
schoolkid:psychopath	Schoolkid	hide_from, flee_from, avoid, run_away_from	Psychopath
schoolkid:necromancer	Schoolkid	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Necromancer
student:wizard	Student	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Wizard
student:magician	Student	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Magician
student:villain	Student	are_corrupted_by, are_led_astray_by, are_indoctrinated_by	Villain
student:psychopath	Student	hide_from, flee_from, avoid, run_away_from	Psychopath
student:necromancer	Student	are_trained_by, are_mentored_by, study_under, learn_from, look_up_to	Necromancer
wizard:schoolkid	Wizard	train, coach, instruct, teach	Schoolkid
wizard:student	Wizard	train, coach, instruct, teach	Student
magician:schoolkid	Magician	train, coach, instruct, teach	Schoolkid
magician:student	Magician	train, coach, instruct, teach, overshadow	Student
villain:magician	Villain	are_tricked_by, are_fooled_by, are_counselled_by, intimidate_with, threaten_with	Magician
villain:wizard	Villain	are_tricked_by, are_fooled_by, are_counselled_by, intimidate_with, threaten_with	Wizard
villain:schoolkid	Villain	corrupt, lead_astray	Schoolkid
villain:student	Villain	corrupt, lead_astray	Student
psychopath:magician	Psychopath	kill_for, turn_against, collude_with, are_overshadowed_by	Magician
psychopath:wizard	Psychopath	kill_for, turn_against, collude_with, are_overshadowed_by	Wizard
psychopath:schoolkid	Psychopath	prey_on	Schoolkid
psychopath:student	Psychopath	prey_on	Student
necromancer:magician	Necromancer	compete_with, compete_against, copy, imitiate	Magician
necromancer:wizard	Necromancer	compete_with, compete_against, copy, imitiate	Wizard
necromancer:schoolkid	Necromancer	train, coach, instruct, teach, overshadow, corrupt, lead_astray	Schoolkid
necromancer:student	Necromancer	train, coach, instruct, teach, overshadow, corrupt, lead_astray	Student
wizard:professor	Wizard	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Professor
wizard:teacher	Wizard	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Teacher
magician:professor	Magician	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Professor
magician:teacher	Magician	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Teacher
villain:professor	Villain	blackmail, bribe, threaten, intimidate	Professor
psychopath:professor	Psychopath	blackmail, bribe, threaten, intimidate, are_arrested_for_killing, kill_for, are_expelled_by	Professor
psychopath:teacher	Psychopath	blackmail, bribe, threaten, intimidate, are_arrested_for_killing, kill_for, are_expelled_by	Teacher
necromancer:professor	Necromancer	study_under, read_the_works_of, study, are_taught_by, are_educated_by, learn_from	Professor
necromancer:teacher	Necromancer	teach, leacture_to, educate	Teacher
professor:wizard	Professor	teach, leacture_to, educate	Wizard
professor:magician	Professor	teach, leacture_to, educate	Magician
professor:villain	Professor	are_blackmailed_by, are_bribed_by, lose_control_over, are_unimpressed_by	Villain
professor:psychopath	Professor	fear, are_killed_by, are_intimidated_by, are_threatened_by, intimidate_with, threaten_with	Psychopath
professor:necromancer	Professor	teach, leacture_to, educate	Necromancer
teacher:wizard	Teacher	teach, leacture_to, educate	Wizard
teacher:magician	Teacher	teach, leacture_to, educate	Magician
teacher:villain	Teacher	are_blackmailed_by, are_bribed_by, lose_control_over, are_unimpressed_by	Villain
teacher:psychopath	Teacher	fear, are_killed_by, are_intimidated_by, are_threatened_by, intimidate_with, threaten_with	Psychopath
teacher:necromancer	Teacher	teach, leacture_to, educate	Necromancer
politician:writer	Politician	speak_through, talk_through, communicate_via, are_interviewed_by, answer_questions_from	Writer
politician:pundit	Politician	are_interviewed_by, answer_questions_from, are_criticized_by	Pundit
advisor:writer	Advisor	advise, seek_advice_from	Writer
advisor:pundit	Advisor	seek_advice_from, argue_with	Pundit
politician:orator	Politician	speak_through, talk_through, communicate_via	Orator
first lady:president	First Lady	marry, divorce, campaign_for, campaign_against, run_against	President
first lady:politician	First Lady	campaign_for, campaign_against, run_against	Politician
