Root	Antonym
verbal	visual, mathematical
irrevocable	reversible, revokable
rigged	unrigged, fair
garrulous	laconic
liquid	frozen
savoury	unsavory, unsavoury
serrated	smooth
inconsequential	impressive, great, mighty, grand, respected, significant, important
substantive	unsubstantial
hazardous	safe
polygamous	monogamous
valueless	valuable
freezing	hot
ineffective	relentless, effectual, mighty, overwhelming, powerful, efficacious, magnificent, effective
distinguishable	indistinguishable, undistinguishable
unintelligent	intelligent, smart, clever
reliable	slippery, unreliable, undependable
fledged	unfledged
chubby	skinny
demanding	undemanding
agitated	calm, relaxed
mathematical	verbal
focused	incoherent, diffuse, flustered, muddled, unfocused, bloated, unfocussed, disorganized
desiccated	moist
crippled	sporty
odious	fragrant
digestible	indigestible
dispensable	indispensable
unreceptive	receptive
content	unhappy, discontented, discontent
conscientious	lazy, conscienceless, shiftless, unconscientious
nonconductive	conductive
blond	brunette
lovable	threatening, unlovable, hateful, unlikable, nasty
provident	improvident
toxic	nontoxic, beneficial
inhuman	humane, human
svelte	bulky
unmanlike	manly
restrictive	unrestrictive
simple	intricate, tricky, complicated, elaborate, convoluted, complex
unfathomable	fathomable, knowable
courtly	uncultivated, uncouth, vulgar, rude, undiplomatic, belligerent, disrespectful, impolite, oafish, uncultured, crude, boorish, crass
nonfat	fat
intoxicated	sober
disoriented	focussed, orientated
subservient	reigning, leading, prestigious, exalted, dominant, autonomous, domineering, ruling, lofty, royal, commanding
impersonal	personal
populous	deserted, sparse
cocky	diffident
unpredictable	predictable, deterministic, predetermined
geometric	disorderly
soggy	firm, crispy, crisp, dry, crunchy
parttime	full-time
loud	muted, mute, quiet, silent
selfevident	non_obvious
commonplace	odd, rare, amazing, singular, bizarre
lonely	merry, popular, happy, beloved
tactless	tactful, diplomatic
violable	inviolable
dark	illuminated, light, bright, luminescent
stinky	fragrant
delusional	sane
unshapely	shapely
privileged	orphaned, wretched, neglected, destitute, impoverished, abandoned, underprivileged, troubled, poor, excluded, deprived
clear-thinking	confused
patient	impatient
unsophisticated	urbane, suave, epicurean, intellectual, sophisticated, cultural
chill	warm
unquestionable	questionable
penetrating	shallow, superficial
tense	relaxed
meticulous	sloppy
venerated	reviled, lowly, ignominious, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
wistful	banal
unjustified	justified
lost	successful, found, saved
visible	unseeable, invisible
altruistic	self-centered, self-centred, selfish, self_indulgent, egocentric, egoistical
disturbing	relaxing, tranquil, restful, heartwarming, calming, comforting
inconsistent	consistent
dissuasive	persuasive
mighty	frail, spineless, lightweight, scared, insignificant, inconsequential, ineffective, helpless, harmless, impotent, pathetic, feeble, sickly, powerless, weak, low_level, contemptible, flimsy, puny
unconditioned	learned
undiscerning	discerning
integrated	unintegrated, segregated, nonintegrated
gnarled	beautiful, handsome
modest	vain, arrogant, pampered, haughty, immodest, proud, pretentious, conceited, boastful, smug, spoiled, pompous, selfrighteous
thrilling	boring
acute	mild, obtuse
stern	yielding
felicitous	infelicitous
desolate	merry, happy
differentiated	uniform
movable	immovable
hardheaded	softhearted
truthful	untruthful, false
unscheduled	scheduled
catchy	forgettable
nonmusical	musical
surviving	extinct
flammable	fireproof
stately	humble, low-key
well-behaved	mischievous, troublesome, unruly, naughty
intangible	substantial, physical, tangible
unrestrictive	restrictive
mottled	uniform
scripted	unscripted
disgruntled	merry, happy
dusty	clean
modern	oldfashioned, anachronistic, outdated, dated, archaic, twee, old-fashioned, quaint, traditional, ancient, obsolete, neoclassical, antiquated, classic, outmoded, antique
benevolent	malicious
petrified	fluid
uninterested	interested
talkative	laconic, tightlipped, uncommunicative, mum, enigmatic, voiceless, taciturn
immutable	changeable, mutable, malleable
local	alien, international, general
curved	straight
dressy	casual
selfindulgent	selfless
tawny	pale
outnumbered	overpowering, overwhelming, intimidating, superior
critical	noncritical, uncritical
irresolute	resolute
shocked	unperturbed
scrupulous	unscrupulous, scandalous
skinny	muscular, burly, chubby, orotund, voluptuous, fleshy, fat, statuesque, plump, stout, brawny
dank	welcoming, inviting, fragrant, airy
crushing	lightweight
mildmannered	ferocious
pitiless	sympathetic
stingy	charitable, ample, generous
insubordinate	biddable, obedient
gastight	leaky
unsavory	wholesome, savoury, savory, inoffensive
unlined	lined
irregular	periodic, regular
succulent	dry
committed	indifferent, uncommitted, unattached
talented	untalented, talentless, incompetent
damp	dry
domesticated	fearsome, dreaded, feral, untamed, rampaging, powerful, menacing, wild
monotonous	uneven, eventful
grumpy	gay, pleasant
pragmatic	impractical, idealistic
voracious	restrained
stewed	raw, dry
raunchy	chaste
concave	convex
loved	hated, unloved
spattered	spotless
beaked	beakless
drained	lively
insidious	beneficial
overgrown	stunted
verbose	terse
shortsighted	farsighted
viable	unworkable
secure	unprotected, unsafe
pliable	unworkable
girlish	manly
cheesy	sophisticated
feathery	plucked
fawning	reigning, leading, dominant, ruling
disingenuous	ingenuous, artless, earnest
photogenic	ugly
minute	huge
bedraggled	exalted, lofty, royal
twee	modern
exact	imprecise, inexact
unapologetic	sorry
supernatural	natural
unreflective	introspective, broody
bloodthirsty	vegetarian
soiled	clean
relaxed	antsy, stressed, agitated, tense, frantic, uneasy, skittish
shamed	conquering, winning
prescient	unseeing
offensive	harmless, mild, savory, inoffensive
long	short
impressionable	cynical
flat-chested	chesty, voluptuous
mechanized	organic
unsuitable	suitable
swarthy	pale
cheery	depressed
nonconducting	conductive
hackneyed	imaginative, novel
unsuccessful	successful
sweltering	cold
scrawny	overweight, brawny
straightforward	complicated, convoluted, labyrinthine
coarse	refined, fine, kingly, titled, poised, noble, subtle
receptive	unreceptive
suitable	unsuitable
dreaded	frail, green, domesticated, harmless, unthreatening, friendly, unripe, docile, unfledged, unripened, beloved, impish, cuddly, immature, cute
symmetric	asymmetrical, asymmetric, unbalanced
haughty	obsequious, meek, modest, self-effacing, humble, magnanimous, unassuming, respectful, docile, bashful, gracious, submissive, obedient
plausible	implausible
melancholy	glad, upbeat, happy
wired	wireless, languid
impatient	patient
hypotensive	hypertensive
oblivious	mindful
strategic	unthinking
inessential	vital, essential
well_defined	illdefined
mushy	solid
dispassionate	passionate
radical	mundane
decisive	indecisive
suspenseful	boring
relaxing	traumatic, stressful, bothersome, constricting, disturbing, intimidating, disorienting, troubling
enforceable	unenforceable
mythological	forgettable
mild-mannered	forceful, ferocious, scrappy, pugnacious, menacing
absolute	relative
exquisite	unsightly, ugly
reclusive	sociable
suspicious	ingenuous, unwary, trusting
complicated	simple, straightforward, uncomplicated
salty	bland, sweet
hardshelled	thin-skinned
reddened	pale, colorless
giant	tiny
strange	familiar
native	foreign
detestable	likable
introspective	unreflective
hopeless	hopeful
concentrated	diffuse, dilute
brave	ignoble, scared, cowardly, chicken, fearful
rude	charming, courtly, civil, personable, polite, charismatic, chivalrous, delightful, cultured
stuffed	empty
firm	limp, soggy
highclass	lowclass
immovable	persuadable, portable, movable
sour	happy, sugary, sweet, syrupy
justified	unjustified, arbitrary
skint	rich
tightened	loose, slack
loose	tight, snug, moral, compact, tightened
contagious	non-contagious
unfastened	tied
springy	rigid
underhanded	honorable
undiplomatic	courtly, chivalrous
literate	illiterate
gossipy	laconic
baroque	featureless, austere, stark
perilous	safe
unscholarly	scholarly
tired	rested, tireless
helpless	great, formidable, mighty, grand, independent, majestic, powerful, armed
elementary	advanced
peppy	sluggish
deliberate	random, careless, unstudied, unintentional
hooked	indifferent
roomy	cramped
blunt	piercing, sharp, surgical, incisive
sleazy	honorable, reputable, respected
explosive	nonexplosive, inert
cliched	unconventional
wakeful	restful
covered	bare
purple	colorless
offstage	onstage
comical	unfunny
freakish	handsome
scheduled	unscheduled
genial	uncouth
combustible	incombustible, noncombustible, inert
classical	nonclassical
nontaxable	taxable
teachable	incorrigible
daft	shrewd, clever, insightful, wily
disciplined	undisciplined, rambling, careless, sloppy, reckless, disorganized
stifling	welcoming, inviting, airy, open
harmless	corrosive, fearsome, great, formidable, lethal, damaging, mighty, offensive, dreaded, lifethreatening, destructive, threatening, overwhelming, deadly, harmful, catastrophic, wounding, noxious, powerful
sanitary	unsanitary, insanitary, unhygienic
encumbered	unencumbered
insane	sane
undemonstrative	demonstrative
elliptical	direct
ideal	imperfect
unsparing	thrifty, sparing
indomitable	frightened, trembling, wimpish
sinister	auspicious
loopy	straight
stunted	elongated, towering, overgrown
uplifting	depressing
unenforceable	enforceable
stylish	anachronistic, unstylish, styleless, unfashionable
unrespectable	respectable
harmonious	cacophonous, disorganized
prompt	tardy
old-fashioned	modern, contemporary
unrestricted	restricted
uncomplicated	complicated
glazed	unglazed
smooth	edgy, craggy, spiky, bristly, choppy, wavy, jolting, flakey, calloused, rocky, serrated, rough, prickly, fuzzy, jagged, screechy, unshaven, wrinkled, rumpled, bumpy, angular, wrinkly, ragged, knobbly
downtrodden	rich
featureless	baroque
tentative	assertive
pronounced	unremarkable
finite	infinite
mum	talkative
heavy	lightheaded, dainty, buoyant, light
slippery	nonslippery, reliable, stable
uncreative	creative
boneless	bony
breathless	calm
sore	soothing
unscientific	scientific
unconvincing	convincing
smelly	fragrant
undecorated	decorated, adorned
electric	lifeless
self-effacing	arrogant, pampered, haughty, proud, spoiled
chunky	slim
crying	stoic
closed	wideopen, open, opened
spectacular	boring, mundane
boisterous	dull
lush	barren, stark
grotesque	handsome
cheeky	solemn
fine	harsh, coarse
unplayful	playful
pliant	obdurate, unyielding
bankrupt	solvent
thoughtful	overbearing, mercurial, heedless, unheeding, unthinking, thoughtless
tan	pale
colossal	tiny
uninspired	inspired
loony	sane
vigorous	fragile, demoralized, lifeless, lethargic, exhausted, weak, dead, sluggish
questioning	unquestioning
unquestioning	questioning, inquiring
admirable	despicable, heinous
chilling	warming
nonnative	aboriginal
unnecessary	necessary, crucial, needed
changeless	changeable, mutable
puffy	sunken, shriveled
unpolished	polished, glossy, shiny
passionate	dispassionate, passionless
steep	gradual
territorial	nonterritorial
inspired	uninspired
chatty	laconic, stoic
immoral	moral, respected
scary	handsome, comforting
selfish	honorable, devoted, altruistic, chivalrous, unselfish, crusading, generous, selfless
unclassified	classified
runty	tall
unseeing	perceptive, prescient, observant
compressible	incompressible
unfree	unconstrained, emancipated, liberated, carefree, unrestrained, free
undisciplined	organised, disciplined, drilled, regimented, exhaustive
linear	curvy, twisty
alluring	unappealing, unattractive
polished	unpolished, drab
lineal	discontinuous
lifethreatening	harmless
besieged	complacent, invulnerable, smug
immodest	modest
crimson	pale
expedient	inconvenient
sick	healthy, happy
exalted	lowly, ignoble, subservient, bedraggled, unwashed, destitute, inferior, poor, unimportant, common
diffident	confrontational, cocky, bold
oral	anal
bovine	slim
thorough	sloppy, incompetent
fruity	tasteless
foreign	native, national, domestic
illegal	legal, decriminalized
inelastic	elastic
stuffy	airy
splashy	understated
capricious	constant
sweeping	minor, restricted
vital	inessential
frantic	relaxed
destructive	harmless, constructive, nonviolent
conductive	nonconductive, nonconducting, non-conducting
disruptive	serene, supportive
dizzy	focussed
crispy	soggy
casual	unrelenting, dressy, formal, authoritarian
enigmatic	talkative
foolish	wise, magnificent
indeterminate	determinate
absent	present
orderly	incoherent, topsyturvy, chaotic, disorderly
nostalgic	futuristic
detrimental	advantageous, beneficial
settled	unsettled
unchaste	chaste, saintly
fresh	lifeless, stagnant, rotten, musty, rank, pickled, dead, noxious, stale, shriveled
mindless	considerate, astute, aware, mindful, cerebral, thoughtless
potent	impotent
adventurous	unadventurous, repressed, staid
knowledgeable	ignorant, uneducated
nonexplosive	explosive
manipulative	hands-off
confident	uncertain, insecure
perpendicular	horizontal
unloaded	loaded
familiar	strange, unfamiliar, unusual
purposeless	purposeful, relentless, determined, crusading
dependent	dominant, autonomous, selfcontained, selfreliant, independent, selfsustaining
lowtech	hitech, hightech
bent	upright, straight
scarlet	pale
woolly	shorn
valid	invalid
unafraid	frightened, fearful
drilled	undisciplined, unskilled, untrained, inexperienced, talentless
clever	dumb, unintelligent, daft, clueless, silly, dimwitted, brainless, stupid
indurate	tractable
unproductive	prolific, efficient, productive
feisty	lethargic
substantial	vacuous, slight, ethereal, unreal, intangible, illusive, unsubstantial, illusory, immaterial, piddling, insubstantial, void, attenuated
foul	fair, handsome, sweet
scholarly	unscholarly
youthful	aged
spooky	calming
yellow	colorless
worshipped	reviled, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
agonizing	fortunate, pleasant
understanding	reactionary
revealing	concealing
identifiable	unidentifiable, faceless
goodnatured	foul-natured, ill-tempered
shimmery	dull
undetermined	determined
ungrammatical	grammatical
inviting	frightening, dank, stifling, uninviting
well_known	secret
steadfast	whimsical, suggestible
fighting	spineless, cowardly, retreating, craven
uneducated	educated, trained, knowledgeable, learned, informed, erudite, cultured
filthy	spotless, tidy, clean, immaculate, cleansing
rambunctious	lifeless
unadorned	decorated, adorned
unperplexed	perplexed
hushed	raucous
frenetic	languid
non-conducting	conductive
untechnical	technical
humble	lordly, arrogant, regal, rich, prestigious, pampered, stately, haughty, proud, pretentious, condescending, conceited, self_indulgent, imperious, smug, spoiled, grand, lofty, pompous, deified, selfconfident, unapproachable
livid	calm
gay	harsh, grim, grumpy, belligerent, bitter, threatening, repulsive, malicious, cruel, creepy, unpleasant
drippy	dry
guarded	open, defenseless
indistinguishable	distinguishable
disinterested	fanatic, curious
gritty	refined
ferocious	mildmannered, mild-mannered, friendly
ingenious	dumb
groggy	sober
noticeable	unremarkable, insignificant, unnoticeable, unobtrusive
rare	commonplace, ubiquitous, everyday, mundane
belligerent	peaceful, courtly, gay, chivalrous
undirected	directional, direct
scaly	hairy
ruinous	beneficial
runny	solid, chewy
usable	unwieldy
rested	tired
blatant	mysterious, subtle
immense	tiny
terrifying	comforting
unmelodic	melodious, musical
noncritical	critical
illusive	substantial
agnostic	catholic
riveting	boring
ungallant	gracious, gallant
affable	catty, gruff, quarrelsome, aggressive, ornery, churlish, cranky, unapproachable
directed	aimless, unfocussed
decorated	undecorated, unadorned
poisonous	edible, healthful
uninvolved	involved
unavailable	available
unprepared	prepared
formal	casual, informal
unsubstantial	impressive, substantive, substantial, real
round	square
disgraceful	laudable, respected
stimulating	unexciting
fathomable	unfathomable
necessary	unnecessary
enormous	tiny
organic	mechanized, artificial, inorganic
losing	conquering, winning
moving	fixed, unmoving, nonmoving
becoming	unbecoming, ugly
undimmed	dim
untethered	tethered
flowing	frozen
valiant	frightened, trembling, scared, cowardly
hard-nosed	sappy, romantic
enthroned	deposed, dethroned, conquered, toppled
conventional	quirky, unconventional
sensitive	hardy, insensible, numb, insensitive, annoying, crass
mobile	stationary, rooted, immobile
wasteful	thrifty, sustainable
fallible	infallible
magisterial	pitiable, insignificant, limp, pathetic, powerless, worthless, unimpressive
scrappy	mild-mannered
dehydrated	juicy
hydrophilic	hydrophobic
fortified	fragile, frail, unguarded, weak, insecure, vulnerable, defenseless, flimsy
inconvenient	expedient, convenient
soulful	soulless
barbarous	civilized
insightful	ignorant, daft, clueless, unthinking
attentive	heedless, aloof, inattentive, thoughtless
tranquil	disturbing, noisy
soft	harsh, crusty, reinforced, hardboiled, tempered, bulletproof, tough, hard, hardened
broody	unreflective
bitter	merry, gay, happy, sweet
ordered	disarranged, disorderly, disordered
rank	perfumed, aromatic, fresh, fragrant, pure
artless	arty, disingenuous, artful
floppy	stiff
feared	beloved
dainty	clumsy, armored, heavy, hefty, ugly, ungainly
unrealistic	realistic
illuminating	unilluminating, unenlightening
sure	uncertain
tragic	fortunate
sentimental	unsentimental
discerning	undiscerning
agreeable	pigheaded, obstinate, disagreeable, discordant, stubborn, unpleasant
quaint	modern, sophisticated
antiseptic	unhygienic
amorphous	well-defined
metropolitan	rural
hairraising	banal
reputable	sleazy, disreputable
avertible	inevitable
discouraging	fortunate, encouraging
robed	naked, shivering, ragged, bare
conducive	trying, frustrating
uncalculated	calculated
idiotic	sensible
mild	fiery, acute, offensive, tempestuous, intense
sombre	gaudy
magnanimous	arrogant, haughty
pernicious	tender, benign, delightful
abrasive	dignified, soothing
rangy	fat
rooted	mobile
ungodly	consecrated, holy
civil	rude
unwilling	willing, game
toothed	toothless
interested	uninterested
unjust	just, equitable, fair, fortunate
military	civilian
lanky	short
fickle	constant
incandescent	faint
proprietary	open
emancipated	enslaved, shackled, constrained, unfree, chained, restrained
selfaware	unconscious
forlorn	happy, optimistic
unobservant	watchful
squat	oblong, tall
technological	luddite
troublesome	well-behaved
lumpen	shapely
proud	modest, self-effacing, humble, unassuming, unpretentious, unprepossessing
personable	rude
easy	daunting, taxing, challenging, strenuous, difficult, uneasy
fullblooded	weak, anemic
digital	analogue, analog
uncharitable	charitable
east	west
shut	open
worldshaking	minor
pugnacious	mild-mannered
nonmoving	moving
perplexed	knowing, unperplexed
withdrawn	forthright
technical	untechnical, nontechnical
decadent	prudent
irreligious	religious, godly, devout
translucent	opaque
golden	colorless
clueless	shrewd, alert, astute, clever, insightful, aware
intensive	laidback
pigheaded	agreeable
bloody	bloodless, clean
happy	distressed, moody, unhappy, uncomfortable, gloomy, angry, despairing, worried, nervous, lonely, desolate, disgruntled, melancholy, sour, sick, bitter, forlorn, sad, discouraged, irritable, insecure, neurotic, depressed, unfortunate, discontented, disappointed, bereft, frustrated, troubled, miserable
untuneful	tuneful, melodious
desperate	rich, carefree, fortunate, magnificent
rough	smooth, slick, silky
noninfectious	infectious
humorous	unfunny, humorless, humourless
wacky	well-balanced
patchy	monochrome, comprehensive
randy	impotent
seductive	unattractive, creepy
threatening	frail, charming, tender, appealing, lovable, harmless, gay, feeble, ineffectual, retreating, demure, delightful, docile, soothing, cuddly, cute
enthusiastic	demoralized, unenthusiastic
sonorous	dissonant
bubbly	stale
earthy	high-minded
watertight	leaky, absorbing
rambling	swift, disciplined
grimy	clean
perennial	short-lived
debilitating	invigorating
funny	unfunny, humorless
reflective	nonreflective, nonreflecting, unthinking
logical	incoherent, unlogical, illogical
untouchable	touchable, titled, approachable
enterprising	unenterprising
spunky	lifeless
outspoken	shy, reticent
trustful	distrustful
unbound	bound
farseeing	blind
random	premeditated, planned, deliberate
mediocre	great, grand, magnificent
scarred	picturesque
available	unavailable
oblong	squat
impermeable	permeable
symbolic	literal
successful	pointless, futile, lost, unsuccessful, unpopular, motley, worthless, failed
canny	naive
aware	unaware, forgetful, mindless, clueless, unmindful
heady	dull
mysterious	blatant, obvious
malignant	benign
nonalcoholic	alcoholic
impotent	mighty, potent, randy, strong, sexual, virile, powerful
unethical	ethical
orotund	skinny
dominant	obsequious, low-level, deposed, subservient, fawning, dependent, pathetic, dethroned, inferior, servile, toppled, subordinate, submissive
limited	limitless, extensive, widespread, unlimited, infinite, versatile, compendious
voluptuous	skinny, flat-chested
found	lost
concrete	sandy, abstract
insentient	sentient
kingly	lowborn, impure, ignorant, lowly, ignoble, unclean, coarse, profane, wicked, second-class
fun	grave, solemn, boring, serious, humorless, drab
lazy	relentless, conscientious, active, hardworking, industrious, diligent, dutiful, busy, sporty
emotive	emotionless
insensate	sentient
adaptive	maladaptive
animated	static, inanimate, still, dead, paralyzed, frozen
unwashed	exalted, royal
rapacious	selfless
careless	deliberate, disciplined, careful
droopy	perky
sensuous	unfeeling
sporadic	continual
overwhelming	underwhelming, ineffective, outnumbered, harmless, unthreatening, ineffectual, retreating, powerless
flavorful	bland
crucial	unnecessary
bendable	stiff
analogue	digital
skimpy	large
_hot	snowy
fragrant	stagnant, odious, stinky, dank, smelly, rank, unpleasant-smelling, noxious, acrid, malodorous, ill-smelling, malodourous
celibate	promiscuous
destitute	lordly, rich, privileged, exalted, lofty, wealthy, royal
mad	sane
spendthrift	sparing
luxurious	uncomfortable, confining, spartan, cramped, sparse
funky	dull
miraculous	mundane
symmetrical	asymmetrical, lopsided, asymmetric
tolerant	intolerant
unsurprised	surprised
flatfooted	spry
indiscrete	discrete
limpid	devastating, opaque
apparent	disguised
comprehensible	unintelligible
extinct	surviving, living, thriving
unthreatening	fearsome, dreaded, overwhelming, hostile, menacing
intimate	remote, distant
vacant	congested, full
savory	disgusting, unsavory, offensive, unsavoury
sly	ingenuous, naive
friendly	fearsome, venomous, dreaded, ferocious, hostile, fierce, unfriendly, menacing, unapproachable
realistic	dreamy, unrealistic, surreal
unlovable	lovable, loveable, worthy
diplomatic	overbearing, tactless, unsubtle
anonymous	eminent, public, famous
undaunted	frightened, trembling, fearful
tiny	great, massive, giant, colossal, immense, enormous, grand, huge
masculine	feminine, camp, womanly, unmanly, female
self-serving	honorable
upright	bent, lopsided
disrespectful	courtly, respectful, chivalrous, dignified
winsome	unattractive
featherless	feathered
melodramatic	understated
reactionary	understanding, contemplative
fatty	fat-free, slim
pert	sagging
unobliging	accommodating
strict	indulgent
odorless	scented
riding	pedestrian
effusive	tightlipped
prosaic	poetical
racy	tame
shrill	songful, tuneful, lyrical, melodious, vocal, melodic
instructive	uninstructive
well_built	gangly
deadly	harmless
lopsided	symmetrical, upright
passive	domineering, active, assertive, incendiary, commanding
yielding	stern, unyielding
shunned	beloved
unfaithful	faithful, dutiful
murky	clear, transparent
detailed	vague, general
hardcore	softcore
observant	unseeing
blank	expressive
restricted	unrestricted, sweeping, expansive
gross	pleasant
nebulous	specific, welldefined
bland	addictive, briny, piquant, spicy, extreme, salty, flavorful, acid, intoxicating, tangy, tasty, pungent
reversible	irrevocable, irreversible
pathetic	impressive, great, formidable, mighty, magisterial, dominant, worthy, grand, awesome, majestic, powerful, menacing, magnificent
omnivorous	fussy
strong	fragile, frail, wimpy, flaccid, spineless, impotent, feeble, sickly, powerless, weak, spindly, vulnerable, inneffective
aggravating	soothing
delineated	formless
vaporous	solid
porous	impervious, nonporous
catty	affable
scientific	unscientific, unprincipled
illusory	substantial
lighthearted	depressive, brooding, serious
faultless	flawed
immoderate	moderate
dismal	joyful
feral	domesticated, docile, tame, cultured
bumptious	polite
tempestuous	mild
maximal	minimal
extraverted	introverted
defiant	meek, cowering, compliant, biddable, amenable, brainwashed, obedient
prim	raucous, pornographic
shy	evangelical, outspoken, assertive, boastful, outgoing
glossy	unpolished
speedy	slow
unusable	userfriendly
immobile	spry, mobile
enlightening	unedifying, unilluminating, unenlightening
illiterate	literate, learned, erudite, cultured
unnoticed	noticed
fulfilled	bereft
hectic	uneventful
nonrepetitive	repetitive
awkward	graceful, poised, surefooted, dexterous
unkind	kind
unprejudiced	prejudiced
fleshy	skinny
naive	shrewd, cunning, crafty, canny, sly, sophisticated, calculating, artful
unsupportive	supportive
noncompliant	compliant
mindful	forgetful, oblivious, mindless, unthinking
unprotective	protective
prosperous	poor
inefficient	efficient, ergonomic
immaterial	substantial
feeble	relentless, mighty, threatening, strong, unstoppable
fictional	real
unworldly	worldly
mesmerizing	boring
scalable	unclimbable, unscalable
somber	gaudy, joyful
nonsensical	meaningful
touchable	untouchable
profane	anointed, sacred, kingly, titled, noble
unelected	elected
adult	childish
empty-handed	overpowering
uninstructive	instructive, informative
inexplicable	explicable
classified	unclassified
thickskinned	thinskinned
unsheltered	sheltered
slithering	rigid
widespread	limited
autonomous	subservient, dependent
bouncy	motionless
noncompetitive	competitive
fancy	plain
sealed	open
domineering	deposed, subservient, passive, dethroned, toppled, submissive
trusty	untrustworthy
trustworthy	treacherous, untrustworthy, sneaky, devious
reticent	outspoken, forthcoming
grizzled	young
full	empty, vacant
laidback	compulsive, intensive, hardworking, anxious
revered	reviled, lowly, ignominious, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
lovely	awful
unwished-for	welcome
hairless	bushy, hirsute, hairy
slimy	appealing
pitiful	majestic, magnificent
brusque	polite
defined	vague, undefined
blinding	dull
biddable	impudent, insolent, insubordinate, defiant
unassuming	arrogant, assuming, haughty, proud, smug, pompous
flirtatious	sullen
undesirable	desirable, fortunate
representative	atypical
tangled	untangled
even-tempered	moody, irritable, temperamental
respectful	arrogant, haughty, disrespectful
snug	loose
ritualistic	spontaneous
irrelevant	impressive, great, salient, grand, relevant, important
cynical	honorable, impressionable, sappy, crusading, romantic, principled
solid	squishy, gooey, mushy, runny, vaporous, evaporative, hollow, insubstantial, flimsy
nonintellectual	intellectual
shapeless	shapely
prickly	smooth
unattached	committed, attached
dashing	dreary, lifeless, dull, drab, unimaginative, uninspiring, boring
disheartening	fortunate
surprised	unsurprised, expectant
dethroned	conquering, dominating, reigning, controlling, enthroned, dominant, domineering, triumphant, ruling, crowned, powerful, commanding, throned
capacious	cramped
long-winded	laconic
nonporous	porous
productive	unproductive
sturdy	fragile, brittle, flimsy, wobbly
mute	clarion, loud, audible, expressive
thirsty	hydrophobic
fuzzy	sharp, smooth, distinct
uncertain	confident, sure
attached	detached, uncommitted, unattached, single
hirsute	bald, hairless
united	incoherent, partisan, fragmented, chaotic, divided, disorderly, disorganized
disappointing	fortunate
solvable	insurmountable
angelic	devilish
ineffectual	relentless, effectual, threatening, overwhelming, powerful, efficacious, effective
repellent	handsome
unreliable	reliable, respected, dependable
determined	incoherent, indifferent, listless, uncommitted, purposeless, undetermined, flustered, muddled, unfocused, aimless
energetic	demoralized, listless, lethargic, sedate, exhausted, burntout, sedentary, sluggish
pleasing	displeasing
segregated	integrated
pretentious	modest, humble, unpretentious
coherent	incoherent
nourishing	junky
conscienceless	conscientious
unpopular	honored, popular, adored, celebrated, venerated, worshipped, successful, revered, august
fit	fat, lethargic, unhealthy, unfit
wizened	handsome
onesided	multifaceted
obstinate	agreeable, docile
monochromatic	motley, multicolored, polychromatic
tied	unfastened, untied
white	black
audible	inaudible, muted, mute
sorry	unapologetic, remorseless
unseeable	visible
unfilled	filled
varied	homogeneous, unvaried, unvarying, homogenous
ornate	spartan, plain
tidy	shabby, filthy, dirty, motley, unshaven, disheveled, messy, untidy, wrinkled, rumpled, disorganized, ragged
insistent	indifferent
open-minded	closedminded
transportable	unmovable
understated	overstated, splashy, melodramatic, flashy, showy
eloquent	inarticulate
imbalanced	balanced
condescending	humble
lively	lifeless, dull, limp, drained, still, dead, inert, sleepy, inactive
west	east
jolly	gloomy, morbid
unwary	wary, suspicious
considerable	inconsiderable
deterministic	unpredictable, non-deterministic
rigorous	sloppy
spartan	luxurious, ornate, cosy
lame	sporty
sad	merry, glad, happy, contented, delighted, fortunate, chuffed
stolid	flimsy
unstuck	stuck
communicative	uncommunicative, sullen
unrefined	refined, pure
alive	lifeless, dead
evaporative	solid
heroic	ignoble, cowardly
traditional	modern, untraditional, experimental
ubiquitous	rare, localized
polite	impudent, uncivil, rude, bumptious, brusque, impolite, churlish
cyclical	unrepeatable
intermediate	final
unfeathered	feathered
retreating	conquering, charging, fighting, threatening, overwhelming, intimidating, attacking, winning, rampaging, aggressive, assaulting
covert	overt
hairy	bald, scaly, hairless
temperate	intemperate
proactive	reactive
discouraged	happy
heinous	admirable
disconcerting	reassuring
ancient	modern
dormant	active
unripe	ripe, dreaded, mature
analog	digital
vibrant	lifeless, inert
active	motionless, lazy, passive, dormant, idle, inactive
chaste	lecherous, promiscuous, raunchy, unchaste
challenging	easy
chiseled	formless
primitive	hightech, advanced, sophisticated
paltry	abundant, generous
dishonest	honorable, honest, worthy, respected
unstylish	stylish
old_fashioned	cuttingedge
scandalous	scrupulous, dignified
distrustful	trustful, trusting
junior	highranking, senior
unpretentious	proud, pretentious, smug, ostentatious, pompous, unapproachable
loaded	unloaded
infectious	noncontagious, noninfectious
lifesustaining	lethal
black	white, whitepink
untruthful	true, truthful, honest
unarmed	armed
rubbery	rigid
hostile	peaceful, amiable, unthreatening, friendly, amicable
assertive	meek, cowering, compliant, tentative, passive, shy, submissive
unscripted	theatrical, staged, scripted
indiscreet	discreet
distinctive	undistinguished
spherical	nonspherical
sheltered	unsheltered
circular	square, rectangular
resilient	fragile, weak, flimsy
unresponsive	instant, responsive, maneuverable, deaf
purifying	adulterating, contaminating
indiscernible	discernable
conceited	humble, modest
cerebral	irrational, unthinking, mindless, thoughtless
abused	pampered, spoiled
insulated	drafty
